id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
011001,10688,644,847,276,1413,4210,1290,954,1054,5136,6836,100.0,6.025449101796408,7.924775449101797,2.5823353293413174,13.220434131736528,39.38997005988024,12.069610778443113,8.925898203592816,9.861526946107785,48.05389221556886,63.95958083832335
011002,8149,532,725,178,893,3605,931,614,671,4031,5459,100.0,6.528408393667935,8.896797153024911,2.1843170941219783,10.95839980365689,44.23855687814456,11.424714688918886,7.534666830285924,8.234139158178918,49.46619217081851,66.98981470119033
011003,32076,2214,2756,739,4492,14372,3670,2167,1666,15714,21462,100.0,6.902356902356903,8.592093777278963,2.3039032298291557,14.004239930165857,44.80608554682629,11.441576256391071,6.755829903978052,5.193914453173712,48.98989898989899,66.90983913206135
011004,15508,1169,1468,407,1573,7599,1917,872,503,7822,10517,100.0,7.5380448800619035,9.4660820221821,2.6244518957957186,10.143151921588856,49.0005158627805,12.36136187774052,5.622904307454217,3.2434872323961828,50.43848336342533,67.81661078153212
012005,25530,1508,2132,736,3514,9916,3037,2340,2347,12006,16606,100.0,5.906776341558951,8.35095965530748,2.8828828828828827,13.764198981590287,38.84057971014493,11.895808852330592,9.16568742655699,9.193106149627889,47.02702702702703,65.04504504504504
012006,25296,1691,2264,689,3261,10437,2848,2056,2050,12184,15736,100.0,6.684851359898798,8.950031625553446,2.723750790638836,12.891366223908918,41.259487666034154,11.258697027197975,8.12776723592663,8.10404807084124,48.16571790006325,62.20746363061353
013007,25466,1774,2985,1052,3465,8528,3306,2346,2010,12004,16430,100.0,6.966150946359852,11.72151103432027,4.130998193669991,13.606377130291369,33.48778763841985,12.982015236000944,9.212283044058744,7.8928767768789765,47.13735961674389,64.51739574334407
013008,26658,1806,3311,1150,3623,8342,3503,2571,2352,13040,14470,100.0,6.774701778077875,12.420286593142771,4.3139020181559005,13.590666966764198,31.29267011778828,13.140520669217496,9.644384424938105,8.822867431915373,48.91589766674169,54.280141045839905
014009,25059,1807,2335,744,3229,9407,3057,2338,2142,11942,15720,100.0,7.210982082285805,9.318009497585699,2.9689931761043935,12.885590007582106,37.53940699948122,12.199209864719263,9.329981244263537,8.547827127977973,47.65553294225627,62.73195259188316
014010,37531,2146,3435,1306,5548,13520,4651,3754,3171,17523,24715,100.0,5.717939836401908,9.152433987903333,3.4797900402334068,14.782446510884336,36.02355386214063,12.392422264261544,10.002398017638752,8.44901548053609,46.68940342650076,65.85222882417202
021001,29145,1853,3165,1247,3402,9372,4112,3262,2732,14258,15633,100.0,6.357865843197804,10.859495625321667,4.27860696517413,11.672671127123007,32.156459083890894,14.108766512266255,11.192314290615887,9.373820552410363,48.920912677989364,53.638703036541436
022002,30088,1865,2616,1024,3409,11747,4097,2796,2534,14654,17927,100.0,6.198484445626163,8.694496144642383,3.4033501728263764,11.330098378090932,39.04214304706195,13.616724275458655,9.29274129220952,8.421962244084021,48.703802180271204,59.58189311353364
023003,11151,486,933,378,1079,3737,1862,1333,1343,5363,6530,100.0,4.358353510895883,8.36696260425074,3.389830508474576,9.676262218635099,33.512689444892835,16.698053986189578,11.954084835440767,12.043762891220517,48.0943413146803,58.5597704241772
023004,13994,699,1057,397,1452,5712,2087,1320,1270,6672,8798,100.0,4.994997856224096,7.553237101614978,2.8369301129055313,10.375875375160783,40.8174932113763,14.91353437187366,9.432613977418894,9.075317993425754,47.67757610404459,62.8698013434329
024005,10443,931,1069,259,1064,5026,1027,593,474,5269,6483,100.0,8.915062721440199,10.236522072201474,2.4801302307765964,10.18864311021737,48.12793258642153,9.834338791535,5.678444891314757,4.538925596093077,50.454850138849,62.07986210858949
024006,13531,976,1077,291,2423,6302,1140,694,628,6400,9319,100.0,7.213066292217871,7.959500406474023,2.1506171014706967,17.907028305372847,46.57453255487399,8.425097923287266,5.128963121720494,4.64119429458281,47.298795358805705,68.871480304486
025007,12419,932,959,238,1281,6901,1188,542,378,6065,8337,100.0,7.504630002415653,7.722038811498511,1.9164183911748127,10.314840164264433,55.5680811659554,9.565987599645705,4.364280537885498,3.043723327159997,48.83646026250101,67.1310089379177
025008,24403,1842,1840,437,2825,13638,2239,1006,576,11733,16965,100.0,7.548252264065894,7.5400565504241275,1.7907634307257305,11.576445518993566,55.88657132319796,9.175101421956317,4.122443961807974,2.3603655288284227,48.08015407941647,69.52014096627464
031001,4977,580,599,172,750,1845,471,275,285,2214,3723,100.0,11.653606590315452,12.035362668274061,3.455897126783203,15.06931886678722,37.070524412296564,9.463532248342375,5.525416917821981,5.726341169379144,44.48462929475588,74.80409885473178
032002,7351,680,1022,266,1205,2478,807,440,453,3649,4830,100.0,9.250442116718814,13.902870357774452,3.61855529859883,16.392327574479662,33.709699360631205,10.978098217929533,5.985580193170997,6.162426880696504,49.63950482927493,65.70534621139981
032003,3711,409,602,166,284,1154,481,281,334,1910,1865,100.0,11.021288062516842,16.222042576125034,4.47318781999461,7.652923740231743,31.09673942333603,12.96146591215306,7.572082996496901,9.000269469145783,51.46860684451631,50.25599568849367
033004,4277,513,770,206,433,1296,471,273,315,2130,2542,100.0,11.994388590133271,18.00327332242226,4.816460135609072,10.123918634556931,30.301613280336685,11.012391863455694,6.382978723404255,7.3649754500818325,49.801262567220014,59.434182838438154
