id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
01,231961,15291,22258,7277,31011,89936,28210,20012,17966,111402,147951,100.0,6.59205642327805,9.595578567086708,3.1371652993391135,13.36905772953212,38.77203495415177,12.161527153271456,8.627312349920892,7.745267523419885,48.02617681420583,63.78270485124654
02,145174,9584,12716,4271,16935,62435,17752,11546,9935,70414,89992,100.0,6.60173309270255,8.759144199374544,2.9419868571507295,11.665311970463032,43.00701227492526,12.228084918787111,7.953214762974087,6.843511923622687,48.50317549974513,61.98906140217946
03,128358,11563,14664,4048,14965,55653,14372,7230,5863,64023,84171,100.0,9.008398385764814,11.42429766746132,3.153679552501597,11.658798049206126,43.35764034964708,11.196808925037786,5.632683588089562,4.567693482291715,49.87846491843126,65.57518814565512
04,159964,10633,15601,5310,18555,53233,20904,16376,19352,81320,93506,100.0,6.647120602135481,9.752819384361482,3.31949688679953,11.599484884098922,33.27811257532945,13.067940286564477,10.237303393263485,12.097721987447176,50.83643819859468,58.45440224050411
05,118420,10449,16144,5088,13050,36790,15102,11019,10778,58490,69363,100.0,8.823678432697179,13.632832291842595,4.296571525080223,11.02009795642628,31.067387265664582,12.75291335922986,9.305016044587063,9.101503124472217,49.39199459550751,58.573720655294714
06,102718,7442,12495,4110,12376,30627,13311,10367,11990,53094,55338,100.0,7.245078759321638,12.164372359274909,4.001246130181663,12.048521193948481,29.816585213886565,12.958780350084698,10.09268093226114,11.672735061040909,51.68909051967523,53.87371249440215
07,152431,11814,16918,5381,16538,50478,19487,15486,16329,75137,83582,100.0,7.750391980633861,11.098792240423535,3.5301218256129,10.849499117633552,33.11531118998104,12.784144957390556,10.159350788225492,10.712387900099062,49.29246675545001,54.83267839219057
08,169398,12689,19147,6217,18424,59857,21996,16223,14845,81869,93795,100.0,7.490643336993353,11.302966977178007,3.6700551364242786,10.876161465896882,35.33512792358824,12.984805015407503,9.57685450831769,8.763385636194052,48.32937815086365,55.369602946906106
09,76574,7932,8761,2471,10560,31210,7307,4178,4155,36737,50836,100.0,10.35860736020059,11.441220257528666,3.2269438712879044,13.790581659571133,40.757959620759,9.542403426750594,5.456160054326534,5.426123749575574,47.975814245044006,66.38806905738241
10,87584,9556,12010,3449,11083,29874,9298,5938,6376,42716,57643,100.0,10.910668615272195,13.712550237486298,3.937933869199854,12.654137742053342,34.10896967482645,10.616094263792473,6.779777128242602,7.2798684691267805,48.77146510778224,65.814532334673
11,115611,11923,13971,3896,15930,45716,11013,6828,6334,56303,79702,100.0,10.313032496907734,12.08449023016841,3.3699215472576136,13.77896566935672,39.542950065305206,9.525910164257727,5.906012403664011,5.478717423082578,48.70038318153117,68.93980676579218
12,113672,9661,14403,4570,13626,35640,14447,10889,10436,54996,65999,100.0,8.49901470898726,12.670666478992187,4.0203392216201,11.987120838904918,31.353367583925678,12.70937434020691,9.579315926525442,9.180800900837498,48.381307621929764,58.060912097966074
