id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
01100101,2404,137,170,43,376,957,272,190,259,1154,1581,100.0,5.698835274542429,7.071547420965059,1.788685524126456,15.640599001663894,39.80865224625624,11.314475873544092,7.903494176372712,10.773710482529118,48.00332778702163,65.76539101497504
01100102,1438,79,96,24,153,653,176,167,90,672,1093,100.0,5.493741307371349,6.675938803894297,1.6689847009735743,10.639777468706537,45.41029207232267,12.23922114047288,11.613351877607789,6.258692628650904,46.73157162726008,76.00834492350486
01100103,3594,234,299,104,418,1332,428,330,449,1741,2202,100.0,6.51085141903172,8.319421257651642,2.893711741791875,11.630495269894269,37.061769616026716,11.908736783528102,9.181969949916526,12.493043962159154,48.44184752365053,61.26878130217028
01100104,3252,194,282,105,466,1268,414,267,256,1569,1960,100.0,5.9655596555965555,8.671586715867159,3.2287822878228782,14.329643296432964,38.99138991389914,12.730627306273062,8.210332103321033,7.872078720787208,48.247232472324725,60.27060270602706
01100205,2033,91,155,43,291,922,212,145,174,941,1528,100.0,4.476143630103295,7.624200688637482,2.115100836202656,14.313821938022627,45.35169699950812,10.42793900639449,7.132316773241515,8.558780127889817,46.28627643876045,75.15986227250369
01100206,1027,73,91,31,107,424,164,80,57,523,674,100.0,7.108081791626096,8.860759493670885,3.0185004868549172,10.41869522882181,41.28529698149951,15.96884128529698,7.789678675754626,5.550146056475171,50.925024342745864,65.62804284323272
01100207,5089,368,479,104,495,2259,555,389,440,2567,3257,100.0,7.2312831597563365,9.412458243269798,2.043623501670269,9.726861858911377,44.38986048339556,10.905875417567303,7.64393790528591,8.646099430143446,50.44213008449597,64.0007860090391
01100308,3650,242,272,59,400,1849,461,198,169,1827,2502,100.0,6.63013698630137,7.4520547945205475,1.6164383561643836,10.95890410958904,50.657534246575345,12.630136986301368,5.424657534246576,4.63013698630137,50.054794520547944,68.54794520547945
01100309,5700,378,508,171,574,2525,841,457,246,2837,3660,100.0,6.631578947368421,8.912280701754385,3.0,10.070175438596491,44.29824561403509,14.75438596491228,8.017543859649123,4.315789473684211,49.771929824561404,64.21052631578948
01100310,5618,379,429,121,724,2684,600,403,278,2650,3877,100.0,6.74617301530794,7.636169455322178,2.1537913848344603,12.887148451406194,47.7750088999644,10.679957280170878,7.173371306514774,4.948380206479174,47.16981132075472,69.01032395870416
01100311,5368,387,597,162,914,2054,530,370,354,2675,3455,100.0,7.209388971684054,11.12146050670641,3.0178837555886737,17.026825633383012,38.26378539493294,9.873323397913563,6.892697466467958,6.594634873323398,49.83233979135618,64.36289120715351
01100312,5681,438,481,121,635,2685,629,389,303,2704,3784,100.0,7.709910227072698,8.466819221967963,2.129906706565745,11.177609575778911,47.262805844041544,11.071994367188875,6.847386023587397,5.333568033796867,47.59725400457666,66.60799155078331
01100313,6059,390,469,105,1245,2575,609,350,316,3021,4184,100.0,6.436705727017659,7.740551246080211,1.7329592341970623,20.54794520547945,42.49876217197557,10.051163558342962,5.7765307806568735,5.215382076250206,49.859712823898334,69.05429938933817
01100414,3289,329,353,71,275,1789,297,85,90,1641,2422,100.0,10.003040437823046,10.73274551535421,2.1587108543630285,8.361204013377927,54.393432654302224,9.03010033444816,2.584372149589541,2.736394040741867,49.89358467619337,73.63940407418669
01100415,6171,392,549,183,778,2873,790,412,194,3093,4163,100.0,6.352292983309026,8.896451142440446,2.9654837141468158,12.60735699238373,46.5564738292011,12.801814940852374,6.6763895640900985,3.1437368335764058,50.12153621779291,67.4607032895803
01100416,6048,448,566,153,520,2937,830,375,219,3088,3932,100.0,7.4074074074074066,9.35846560846561,2.5297619047619047,8.597883597883598,48.56150793650794,13.723544973544973,6.200396825396826,3.6210317460317465,51.05820105820106,65.0132275132275
01200517,2489,141,245,81,395,987,285,179,176,1095,1767,100.0,5.6649256729610284,9.843310566492567,3.2543190036159104,15.869827239855363,39.654479710727195,11.450381679389313,7.191643230212937,7.071112896745681,43.99357171554841,70.99236641221374
01200518,4742,325,365,104,801,1814,542,433,358,2214,3270,100.0,6.853648249683678,7.697174188106285,2.193167439898777,16.891606916912696,38.253901307465206,11.429776465626318,9.131168283424715,7.549557148882329,46.68916069169127,68.95824546604808
01200519,5611,293,468,169,741,2273,659,484,524,2586,3831,100.0,5.221885581892711,8.34075922295491,3.0119408305114956,13.206202103011941,40.50971306362502,11.744787025485653,8.625913384423454,9.338798788094813,46.08804134735342,68.27659953662449
01200520,4841,257,382,141,610,1891,578,516,466,2293,2989,100.0,5.30882049163396,7.89093162569717,2.912621359223301,12.600702334228464,39.06217723610824,11.939681883908284,10.65895476141293,9.626110307787647,47.36624664325553,61.74344143771948
01200521,3289,185,327,119,434,1212,398,320,294,1523,2126,100.0,5.62480997263606,9.942231681362117,3.6181210094253577,13.195500152021891,36.85010641532381,12.100942535725144,9.729401033748859,8.938887199756765,46.305868044998476,64.63970811796898
01200522,4558,307,345,122,533,1739,575,408,529,2295,2623,100.0,6.735410267661254,7.569109258446686,2.676612549363756,11.693725318121984,38.15269855199649,12.615182097411145,8.951294427380429,11.605967529618253,50.35103115401491,57.54716981132076
01200623,6023,355,499,180,764,2445,742,539,499,2891,3731,100.0,5.894072721235265,8.284907853229289,2.988543914992529,12.684708616968287,40.594388178648515,12.319442138469201,8.949028723227627,8.284907853229289,47.99933587913,61.94587414909514
01200624,5139,492,375,79,638,2792,394,229,140,2424,3593,100.0,9.573847051955633,7.297139521307646,1.5372640591554778,12.414866705584744,54.329636115975866,7.666861257053902,4.456119867678536,2.7242654212881883,47.16870986573263,69.91632613348901
01200625,4293,247,492,181,510,1382,574,424,483,2118,2441,100.0,5.753552294432797,11.46051712089448,4.216165851385977,11.87980433263452,32.191940368040996,13.370603307710226,9.876543209876543,11.250873515024457,49.3361285814116,56.860004658746796
01200626,2856,154,240,70,264,1232,369,235,292,1332,1772,100.0,5.392156862745098,8.403361344537815,2.450980392156863,9.243697478991598,43.13725490196079,12.920168067226893,8.22829131652661,10.224089635854341,46.63865546218487,62.04481792717087
01200627,2328,182,341,97,284,662,312,228,222,1142,1195,100.0,7.81786941580756,14.647766323024056,4.166666666666666,12.199312714776632,28.436426116838486,13.402061855670103,9.793814432989691,9.536082474226804,49.054982817869416,51.33161512027491
01200628,1573,126,146,37,149,635,178,172,130,792,886,100.0,8.010171646535284,9.281627463445645,2.3521932612841705,9.4723458359822,40.368722186904,11.315956770502225,10.934520025429116,8.264462809917356,50.349650349650354,56.32549268912905
01200629,3084,135,171,45,652,1289,279,229,284,1485,2118,100.0,4.3774319066147855,5.544747081712062,1.4591439688715953,21.141374837872892,41.79636835278859,9.04669260700389,7.4254215304798965,9.208819714656292,48.15175097276265,68.67704280155642
01300730,5901,411,719,258,853,1863,780,511,506,2744,3968,100.0,6.9649211997966445,12.184375529571259,4.372140315200814,14.455177088629046,31.57092018301983,13.218098627351296,8.659549228944247,8.574817827486866,46.500593119810205,67.24284019657685
01300731,5654,405,637,223,795,1981,655,546,412,2633,3745,100.0,7.1630703926423775,11.266360099044924,3.9441103643438273,14.060841881853555,35.03714184648037,11.584718783162364,9.656880084895649,7.286876547576937,46.56880084895649,66.23629288998939
01300732,6403,506,759,234,856,2233,795,589,431,3057,4075,100.0,7.902545681711698,11.853818522567547,3.654536935811339,13.368733406215835,34.874277682336405,12.41605497423083,9.198813056379821,6.731219740746525,47.743245353740434,63.642042792441046
01300733,7508,452,870,337,961,2451,1076,700,661,3570,4642,100.0,6.020245071923282,11.587639850825786,4.4885455514118275,12.799680340969633,32.64517847629195,14.331379861481086,9.323388385721897,8.803942461374534,47.54928076718167,61.82738412360149
01300834,9698,710,1400,498,972,2815,1309,1032,962,4854,4465,100.0,7.321097133429573,14.435966178593523,5.135079397813983,10.022685089709219,29.026603423386266,13.497628376984947,10.641369354506084,9.919571045576408,50.051557022066405,46.040420705300065
01300835,6823,424,773,259,1251,1987,834,634,661,3380,3641,100.0,6.2142752454931856,11.329327275392057,3.7959841711856956,18.335043236113147,29.122087058478673,12.223362157408763,9.292100249157262,9.687820606771215,49.538326249450385,53.3636230397186
01300836,10137,672,1138,393,1400,3540,1360,905,729,4806,6364,100.0,6.629180230837525,11.226201045674262,3.8768866528558745,13.81079214757818,34.92157443030482,13.416198086218802,8.927690638255894,7.191476768274637,47.410476472329094,62.77991516227681
01400937,6004,404,516,183,764,2226,767,606,538,2860,3760,100.0,6.7288474350433045,8.594270486342438,3.0479680213191207,12.724850099933377,37.075283144570285,12.774816788807462,10.093271152564958,8.960692871419054,47.63491005996003,62.62491672218521
01400938,5386,334,467,155,720,2108,671,486,445,2486,3452,100.0,6.201262532491645,8.670627552914965,2.877831414779057,13.367991088005942,39.138507240995175,12.45822502784998,9.02339398440401,8.262161158559229,46.15670256219829,64.09209060527293
01400939,3572,253,348,110,505,1355,430,298,273,1658,2529,100.0,7.082866741321389,9.742441209406495,3.0795072788353863,14.137737961926092,37.93393057110862,12.038073908174692,8.342665173572229,7.642777155655095,46.41657334826428,70.8006718924972
01400940,3092,368,375,88,283,1038,351,308,281,1560,1417,100.0,11.901681759379043,12.128072445019406,2.846054333764554,9.152652005174645,33.57050452781371,11.351875808538162,9.961190168175937,9.087968952134542,50.45278137128072,45.82794307891332
01400941,1952,141,193,48,233,666,221,199,251,958,1110,100.0,7.2233606557377055,9.887295081967213,2.459016393442623,11.936475409836065,34.11885245901639,11.32172131147541,10.19467213114754,12.858606557377051,49.07786885245902,56.864754098360656
01400942,5053,307,436,160,724,2014,617,441,354,2420,3452,100.0,6.075598654264793,8.628537502473778,3.166435780724322,14.328121907777557,39.85751038986741,12.210567979418167,8.727488620621413,7.005739164852563,47.89234118345537,68.31585196912725
01401043,5264,290,512,238,712,1589,755,657,511,2550,3237,100.0,5.509118541033434,9.72644376899696,4.521276595744681,13.5258358662614,30.186170212765955,14.342705167173253,12.481003039513677,9.707446808510637,48.44224924012158,61.493161094224924
01401044,7225,448,787,270,847,2657,954,705,557,3390,4636,100.0,6.200692041522491,10.892733564013842,3.7370242214532867,11.72318339100346,36.775086505190316,13.204152249134948,9.757785467128027,7.709342560553633,46.92041522491349,64.16608996539792
01401045,4110,282,479,169,514,1395,538,412,321,1897,2481,100.0,6.86131386861314,11.654501216545011,4.111922141119222,12.506082725060827,33.941605839416056,13.090024330900244,10.024330900243308,7.81021897810219,46.15571776155718,60.36496350364964
01401046,4778,277,335,142,713,1960,577,402,372,2193,3138,100.0,5.797404771871076,7.011301799916284,2.971954792800335,14.922561741314357,41.02134784428631,12.076182503139389,8.41356215989954,7.785684386772708,45.89786521557137,65.67601506906655
01401047,5867,300,451,188,1178,2397,570,459,324,2697,4299,100.0,5.113345832623146,7.687063235043463,3.2043633884438387,20.078404636100224,40.85563320265894,9.71535708198398,7.823419123913414,5.522413499232998,45.96897903528209,73.27424578148968
01401048,6093,319,475,171,1099,2231,717,589,492,2792,4081,100.0,5.235516166092237,7.795831281798786,2.806499261447563,18.03709174462498,36.61578860988019,11.767602166420483,9.666830789430495,8.074839980305267,45.82307566059413,66.97849991793862
01401049,4194,230,396,128,485,1291,540,530,594,2004,2843,100.0,5.484024797329519,9.44206008583691,3.0519790176442534,11.56413924654268,30.78206962327134,12.875536480686694,12.63710061993324,14.163090128755366,47.78254649499284,67.78731521220791
02100101,5489,321,536,160,791,2015,707,537,422,2616,3629,100.0,5.848059755875387,9.764984514483514,2.9149207505920933,14.41063946073966,36.709783202769174,12.880306066678813,9.783202769174713,7.688103479686646,47.65895427218073,66.11404627436691
