id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
01,231961,59230,5336,3347,6972,2599,3910,11425,8084,4047,2199,4107,11949,2522,3611,23820,9000,8174,1174,82619,36405,2916,30011,6853,7703,3588,5409,12096,100.0,25.534464845383493,2.3003867029371317,1.4429149727755959,3.005677678575278,1.1204469716892063,1.685628187497036,4.925396941727273,3.4850686106716218,1.7446898401024309,0.9480041903595863,1.770556257301874,5.1512969852690755,1.0872517362832546,1.5567272084531452,10.268967628178876,3.8799625799164517,3.5238682364707863,0.5061195632024349,35.617625376679705,15.694448635762045,1.2571078758929302,12.937950776208067,2.9543759511297156,3.3208168614551585,1.5468117485266921,2.331857510529787,5.214669707407711
02,145174,39105,4672,2097,6645,2125,3677,5350,2427,1778,1183,3987,5097,1218,1328,13266,4428,4982,736,46801,25650,1542,13580,2740,4293,3955,5154,8628,100.0,26.936641547384514,3.218207116976869,1.4444735283177428,4.577265901607726,1.4637607285051042,2.53282268174742,3.6852328929422624,1.6717869590973589,1.224737211897447,0.814884207916018,2.7463595409646357,3.5109592626778903,0.8389932081502196,0.9147643517434252,9.13799991734057,3.0501329439155773,3.4317439761940842,0.5069778334963561,32.237866284596414,17.668453028779258,1.0621736674611157,9.354292090870265,1.8873903040489346,2.9571410858693707,2.724317026464794,3.550222491630733,5.943212972019783
03,128358,40900,4339,1696,5866,2518,3128,7773,2466,2539,928,3675,4569,864,1336,21106,7413,7169,1269,28169,5784,1728,11360,696,4723,3440,4801,2660,100.0,31.864005360008722,3.380389223889434,1.321304476542171,4.570030695398806,1.9617008678851338,2.436934199660325,6.055719160473052,1.921189174028888,1.9780613596347716,0.7229779211268483,2.863086056186603,3.5595755620997522,0.6731173748422381,1.0408389036912384,16.44307327942162,5.775253587622119,5.585160254912043,0.9886411442995372,21.945652004549775,4.50614687047165,1.3462347496844762,8.850246965518316,0.5422334408451362,3.6795525015970956,2.6800043627978,3.740320042381464,2.072328954954113
04,159964,41725,3531,2422,4789,2146,2242,10809,2504,3044,2301,2668,9157,1409,2954,27740,8943,11349,1024,42026,13617,5043,14990,2167,4394,1864,4701,8054,100.0,26.083993898627188,2.2073716586231904,1.51409067040084,2.993798604686054,1.3415518491660623,1.401565352204246,6.757145357705483,1.5653522042459553,1.9029281588357378,1.4384486509464631,1.6678752719361856,5.7244129929234076,0.8808231852166738,1.8466654997374408,17.341401815408467,5.59063289240079,7.094721312295267,0.6401440324072917,26.272161236278162,8.512540321572354,3.1525843314745816,9.370858443149709,1.354679802955665,2.746868045310195,1.1652621839913981,2.9387862269010525,5.034882848640944
05,118420,28313,545,916,1700,665,656,11957,3963,3030,1678,1033,9702,2157,3286,18658,5500,7316,2467,47099,16001,2637,16991,2327,6799,1437,650,7059,100.0,23.908968079716264,0.4602263131227833,0.7735179868265496,1.4355683161628103,0.561560547204864,0.553960479648708,10.09711197432866,3.346563080560716,2.5586894105725384,1.4169903732477622,0.8723188650565783,8.192872825536227,1.8214828576254012,2.774869109947644,15.755784495862185,4.644485728762033,6.178010471204189,2.083262962337443,39.772842425266006,13.512075662894782,2.226819793953724,14.348083094071947,1.9650396892416822,5.7414288127005575,1.2134774531329167,0.548893767944604,5.9609863198783986
06,102718,28866,1807,2005,2670,1695,1219,9334,1373,1762,1935,1957,6809,1323,1911,14127,4230,5783,820,27604,8630,3264,9512,1232,3333,1025,4516,5105,100.0,28.10218267489632,1.7591853423937382,1.9519461048696432,2.5993496758114447,1.650148951498277,1.186744290192566,9.087014934091396,1.3366693276738255,1.7153760781946688,1.88379836055998,1.9052162230573026,6.628828442921396,1.2879923674526375,1.8604334196538095,13.753188340894487,4.118070834712514,5.629977219182616,0.798302147627485,26.87357619891353,8.401643334177066,3.1776319632391594,9.260304912478826,1.199400299850075,3.244806168344399,0.9978776845343562,4.39650304717771,4.969917638583306
07,152431,39884,2842,2469,4233,1748,1724,12491,2721,2757,2975,2257,11051,1969,3265,17739,5499,6986,1398,52643,23226,2431,18134,3966,6266,1332,3329,11460,100.0,26.165281340409756,1.8644501446556148,1.6197492636012358,2.7769941809736864,1.146748364833925,1.1310035360261363,8.194527359920226,1.7850699660830145,1.8086872092946973,1.9517027376321088,1.4806699424657714,7.24983763145292,1.2917319967723102,2.141952752392886,11.637396592556632,3.6075339005845266,4.583057252133752,0.9171362780536768,34.53562595535029,15.237058078737265,1.5948199513222376,11.896530233351484,2.60183296048704,4.110712387900099,0.8738379988322584,2.1839389625469883,7.518155755718981
08,169398,40109,2830,2127,4725,1540,1914,11689,3966,3319,1741,2785,12731,2019,4536,9585,2552,3843,843,73051,37193,1341,27083,9527,6105,1161,2964,15524,100.0,23.677375175621908,1.6706218491363536,1.2556228526901143,2.7892891297417917,0.9091016422862135,1.1298834696985796,6.900317595249058,2.341231891757872,1.9592911368493133,1.0277571163768167,1.6440571907578603,7.5154370181466135,1.1918676725817305,2.67771756455212,5.658272234619063,1.5065112929314395,2.268621825523324,0.4976446002904402,43.12388576016246,21.955985312695546,0.7916268196790989,15.987792063660727,5.624033341597894,3.6039386533489175,0.685368186165126,1.749725498530089,9.164216814838428
09,76574,20395,1035,690,1840,778,1019,5985,1912,2487,575,1038,4451,977,1558,13458,4232,4992,1303,24070,5218,1212,10214,1073,4304,2093,1177,2312,100.0,26.63436675634027,1.3516337137931935,0.9010891425287956,2.4029043800767886,1.0160106563585551,1.3307388930968735,7.815968866717163,2.496931073210228,3.2478386919842244,0.7509076187739964,1.3555514926737535,5.8126779324574915,1.2758899887690338,2.0346331653041503,17.575156058192075,5.526680074176613,6.519184057251809,1.701621960456552,31.43364588502625,6.814323399587327,1.5827826677462324,13.338731162013215,1.4012589129469533,5.620706767310053,2.7333037323373466,1.5370752474730325,3.0193015906182255
10,87584,19356,281,480,675,280,393,5711,1809,6027,341,279,4345,717,1775,27042,9332,6804,5292,29165,2582,915,10829,348,5521,7762,261,1276,100.0,22.099926927292657,0.320834855681403,0.5480453050785532,0.7706887102667154,0.319693094629156,0.4487120935330654,6.520597369382536,2.0654457435147973,6.881393861892583,0.38934051881622217,0.318551333576909,4.960951772013153,0.8186426744610888,2.0266258677384,30.87550237486299,10.65491413956887,7.768542199488492,6.042199488491049,33.29946108878334,2.948027036901717,1.0447113628059919,12.364130434782608,0.397332846181951,6.303662769455608,8.862349287541104,0.2979996346364633,1.456887102667154
11,115611,22927,976,832,2012,563,1128,5989,2691,3477,689,823,7205,1255,2654,24757,8237,7288,3638,36274,3962,1508,16244,618,7894,13272,942,2382,100.0,19.83115793479859,0.8442103260070409,0.7196547041371496,1.7403188277932031,0.48697788272742215,0.9756857046474816,5.180302912352631,2.3276331836935933,3.007499286400083,0.595964051863577,0.7118699777702814,6.232105941476157,1.0855368433799553,2.2956293086298016,21.414052296061794,7.124754564877045,6.303898417970609,3.146759391407392,31.37590713686414,3.4270095406146472,1.3043741512485836,14.050566122600792,0.53455121052495,6.828069993339734,11.479876482341647,0.8148013597322054,2.060357578431118
12,113672,28581,1506,1347,2307,732,799,10512,4045,2364,1571,807,8643,1872,2715,15288,3776,7881,1083,43695,19006,1587,14356,2408,4537,1361,846,7865,100.0,25.143395031318178,1.3248645224857485,1.1849883876416356,2.0295235414174115,0.6439580547540291,0.7028995706946302,9.247659933844746,3.5584840593989724,2.079667816172848,1.3820465901893166,0.7099373636427616,7.603455556337532,1.646843549862763,2.3884509817721162,13.449222323879232,3.3218382715180517,6.93310577802801,0.9527412203532972,38.43954535857555,16.72003659652333,1.3961221760855795,12.629319445421917,2.1183756773875713,3.991308325709057,1.1973045253008658,0.7442466042649025,6.919030192131748
