id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
0110,66421,18062,2125,761,2730,1178,1671,2404,1285,937,419,1841,1938,309,549,10363,4361,3252,441,14783,4090,1038,6517,688,2003,2347,3046,2184,100.0,27.193206967675888,3.1992893813703493,1.1457219855166287,4.110145887595791,1.7735354782373043,2.5157706147152257,3.6193372577949745,1.9346291082639526,1.4106984236913025,0.6308245886090242,2.7717137652248534,2.917751915809759,0.4652143147498532,0.826545821351681,15.601993345478087,6.565694584544045,4.8960419144547656,0.6639466433808585,22.256515258728417,6.157691091672814,1.562758766052905,9.811655952183797,1.0358169855919062,3.015612532181087,3.5335210249770403,4.585899037954864,3.288116710076632
0120,50826,13350,1294,750,1503,553,849,2917,1450,896,585,897,2807,513,923,5284,1861,1957,229,17317,6574,933,6881,1768,1637,491,982,2562,100.0,26.266084287569353,2.5459410537913665,1.4756227127847952,2.9571479164207295,1.088025813559989,1.6704049108723882,5.739188604257663,2.852870578050604,1.7628772675402353,1.1509857159721404,1.7648447644906151,5.522763939715893,1.0093259355447999,1.815999685200488,10.396253885806477,3.6615118246566722,3.8503915318931257,0.4505568016369575,34.07114468972573,12.934324951796325,1.8356746547042853,13.538346515562901,3.4785346082713575,3.220792507771613,0.9660410026364459,1.9320820052728918,5.040727186872861
0130,52124,11210,680,779,1114,327,570,2470,2021,975,562,530,3319,759,969,3884,1385,1299,309,24991,13272,345,8209,2352,2019,263,617,3724,100.0,21.506407796792264,1.3045813828562658,1.4945130841838692,2.1372112654439412,0.6273501649911749,1.0935461591589286,4.738700023022025,3.8772926099301666,1.8705394827718518,1.0781981428900314,1.0168060778144425,6.367508249558744,1.456143043511626,1.8590284705701787,7.451461898549612,2.6571253165528352,2.4921341416621905,0.5928171283861561,47.94528432200138,25.46235899010053,0.6618832015961937,15.748983193922186,4.51231678305579,3.8734556058629424,0.504566034839997,1.1837157547387,7.1445015731716675
0140,62590,16608,1237,1057,1625,541,820,3634,3328,1239,633,839,3885,941,1170,4289,1393,1666,195,25528,12469,600,8404,2045,2044,487,764,3626,100.0,26.534590190126217,1.9763540501677586,1.6887681738296851,2.596261383607605,0.8643553283272088,1.3101134366512222,5.806039303403099,5.3171433136283754,1.979549448793737,1.0113436651222238,1.340469723598019,6.207061830963412,1.5034350535229268,1.8693081961974758,6.852532353411088,2.2255951429940883,2.6617670554401665,0.3115513660329126,40.78606806199073,19.921712733663526,0.9586195877935774,13.42706502636204,3.2672950950631092,3.2656973957501196,0.7780795654257868,1.2206422751238217,5.793257708899185
0210,29145,4247,340,347,559,183,234,876,576,214,183,273,826,232,208,2869,629,1487,92,15170,9636,316,4047,1236,951,276,327,3291,100.0,14.57196774746955,1.1665808886601476,1.1905987304855035,1.9179962257677132,0.6278950077200206,0.8028821410190426,3.0056613484302623,1.9763252702007204,0.7342597358037399,0.6278950077200206,0.9366958311888832,2.8341053353920054,0.7960199004975124,0.7136730142391491,9.843884028135186,2.158174644021273,5.102075827757763,0.31566306399039284,52.050094355807175,33.06227483273288,1.0842340024017842,13.88574369531652,4.240864642305713,3.2629953679876476,0.9469891919711785,1.1219763252702009,11.291816778178076
0220,30088,9413,1232,571,1657,556,869,1214,475,371,412,1071,1226,243,312,1828,610,691,69,8838,4741,376,2706,826,618,135,1607,1660,100.0,31.284897633608082,4.094655676681733,1.8977665514490827,5.507178941770806,1.8479127891518214,2.8881946290880087,4.03483116192502,1.5787024727466097,1.233049720818931,1.3693166710981122,3.5595586280244618,4.074714171762829,0.8076309492156342,1.0369582557830364,6.075511831959585,2.0273863334219624,2.296596649827174,0.22932730656740227,29.3738367455464,15.757112470087742,1.249667641584685,8.993618718425951,2.7452805105025258,2.0539750066471685,0.4486838606753523,5.340999734113268,5.517149694230258
0230,25145,6104,786,357,1054,400,591,637,425,219,171,749,656,165,165,1042,275,456,50,11028,8465,219,1594,363,446,50,861,1944,100.0,24.275203817856433,3.1258699542652617,1.4197653609067409,4.19168820839133,1.5907735136209984,2.350367866375025,2.5333068204414397,1.6901968582223106,0.8709484987074965,0.6800556770729768,2.9787234042553195,2.6088685623384373,0.6561940743686618,0.6561940743686618,4.1439650029827,1.0936567906144363,1.8134818055279378,0.1988466892026248,43.85762577053092,33.66474448200438,0.8709484987074965,6.339232451779678,1.443626963611056,1.773712467687413,0.1988466892026248,3.4241399880691983,7.731159276198052
0240,23974,6298,615,257,1017,285,552,955,455,371,164,537,994,217,238,3393,1329,1053,239,5583,1316,283,2520,133,1156,2039,664,856,100.0,26.270125969800617,2.5652790523066655,1.0719946608826227,4.242095603570535,1.188787853507967,2.3024943688996413,3.983482105614416,1.8978893801618422,1.5475098022858096,0.6840744139484441,2.2399265871360643,4.146158338199717,0.905147242846417,0.9927421373154252,14.152832234921163,5.543505464252941,4.39225827980312,0.9969133227663302,23.28772837240344,5.489280053391174,1.1804454826061568,10.51138733628097,0.5547676649703845,4.82189038124635,8.505047134395594,2.769667139401018,3.570534745974806
0250,36822,13043,1699,565,2358,701,1431,1668,496,603,253,1357,1395,361,405,4134,1585,1295,286,6182,1492,348,2713,182,1122,1455,1695,877,100.0,35.42175873119331,4.614089403074249,1.5344087773613602,6.403780348704578,1.9037531910271033,3.8862636467329312,4.52990060290044,1.3470208027809463,1.6376079517679647,0.6870892401281843,3.685296833414806,3.788496007821411,0.9803921568627451,1.0998859377546033,11.22698386833958,4.304491879854435,3.516919233067188,0.7767095757970778,16.788876215306068,4.051925479333008,0.9450871761446961,7.36787789908207,0.4942697300526859,3.0470914127423825,3.9514420726739448,4.6032263320840805,2.3817283145945356
0310,4977,958,36,26,43,40,38,405,119,49,15,19,167,60,43,1198,321,441,44,1928,295,87,825,26,380,275,29,65,100.0,19.24854329917621,0.7233273056057866,0.5224030540486236,0.8639742816958007,0.8036970062286517,0.7635121559172192,8.1374321880651,2.390998593530239,0.9845288326300985,0.3013863773357444,0.3817560779586096,3.355435001004621,1.2055455093429777,0.8639742816958007,24.070725336548122,6.4496684749849305,8.860759493670885,0.8840667068515169,38.73819570022102,5.927265420936307,1.7480409885473176,16.576250753465942,0.5224030540486236,7.635121559172192,5.525416917821981,0.5826803295157725,1.3060076351215593
0320,11062,3125,180,158,278,163,119,983,277,302,79,179,476,93,168,2241,745,678,204,3025,671,174,1181,74,491,205,346,264,100.0,28.249864400650875,1.6271921894774906,1.4283131440969083,2.513107937081902,1.4735129271379497,1.0757548363767853,8.88627734586874,2.504067980473694,2.7300668956789007,0.7141565720484542,1.6181522328692823,4.303019345507141,0.84071596456337,1.5187127101789912,20.258542758994757,6.734767673115169,6.129090580365214,1.8441511480744892,27.34586873983005,6.065810884107757,1.5729524498282406,10.676188754293978,0.6689567890074127,4.438618694630265,1.8531911046826974,3.127824986440065,2.386548544566986
0330,8434,1904,79,81,101,101,79,618,149,303,38,97,444,110,164,1810,488,579,231,2978,438,137,1241,79,623,219,84,203,100.0,22.575290490870287,0.9366848470476643,0.9603983874792505,1.197533791795115,1.197533791795115,0.9366848470476643,7.327483993360209,1.7666587621531897,3.592601375385345,0.45055726820014225,1.1501067109319423,5.264405975812188,1.304244723737254,1.9445103153900876,21.460754090585723,5.786103865307091,6.865069954944274,2.7389139198482333,35.309461702632206,5.19326535451743,1.624377519563671,14.714251837799383,0.9366848470476643,7.386767844439175,2.596632677258715,0.9959686981266304,2.406924353806023
0340,23791,7564,655,293,974,401,484,1829,530,438,217,550,993,168,264,3933,1424,1272,300,5911,1474,373,2067,178,718,380,578,726,100.0,31.79353537051826,2.7531419444327687,1.2315581522424446,4.09398512042369,1.6855113278130385,2.0343827497793283,7.687781093690892,2.227733176411248,1.8410323231474086,0.91210962128536,2.3117985792946913,4.173847253162961,0.7061493842209239,1.1096633180614517,16.531461477029126,5.985456685301164,5.3465596233869945,1.2609810432516497,24.845529822201673,6.1956201925097725,1.5678197637762177,8.688159388003868,0.7481820856626455,3.0179479635156152,1.5972426547854233,2.429490143331512,3.0515741246689925
0350,16255,4796,383,175,708,244,286,1094,379,303,134,325,791,172,250,2915,1104,941,149,4020,692,238,1620,49,720,571,372,277,100.0,29.504767763764995,2.3561980928944943,1.076591817902184,4.355582897569978,1.501076591817902,1.7594586281144262,6.730236850199939,2.331590279913873,1.864041833282067,0.8243617348508151,1.9993848046754845,4.866195016917872,1.058135958166718,1.5379883112888342,17.932943709627807,6.791756382651491,5.7889880036911725,0.9166410335281452,24.730852045524454,4.257151645647493,1.46416487234697,9.966164257151645,0.30144570901261153,4.429406336511843,3.5127653029836976,2.288526607197785,1.7040910489080283
0360,40739,13790,1787,570,2273,845,1271,1876,705,821,295,1432,1122,164,302,6028,2064,2368,220,7389,1475,463,3294,206,1441,1277,1793,740,100.0,33.84962812047424,4.3864601487518105,1.3991506909840694,5.579420211590859,2.0741795331255064,3.1198605758609688,4.60492402857213,1.7305284862171384,2.015267925084072,0.7241218488426323,3.5150592798055915,2.7541176759370627,0.4025626549498024,0.7413044011880507,14.796632219740296,5.066398291563367,5.812611993421537,0.5400230737131495,18.13741132575665,3.6206092442131617,1.136503105132674,8.085618203686886,0.5056579690223129,3.53715113282113,3.1345884778713273,4.401188050762169,1.8164412479442302
0370,23100,8763,1219,393,1489,724,851,968,307,323,150,1073,576,97,145,2981,1267,890,121,2918,739,256,1132,84,350,513,1599,385,100.0,37.93506493506493,5.2770562770562774,1.7012987012987015,6.445887445887447,3.1341991341991347,3.683982683982684,4.190476190476191,1.329004329004329,1.398268398268398,0.6493506493506493,4.645021645021645,2.4935064935064934,0.4199134199134199,0.6277056277056277,12.904761904761905,5.484848484848484,3.852813852813853,0.5238095238095238,12.632034632034634,3.1991341991341993,1.1082251082251082,4.9004329004329,0.36363636363636365,1.5151515151515151,2.220779220779221,6.922077922077922,1.6666666666666667
0410,11322,2777,35,79,153,42,47,1514,308,227,129,28,974,121,280,1395,429,564,125,4589,1632,295,1752,352,581,153,52,688,100.0,24.527468645115704,0.30913266207383855,0.6977565801095212,1.3513513513513513,0.37095919448860626,0.41512100335629754,13.372195725136901,2.720367426249779,2.0049461225931813,1.1393746687864335,0.24730612965907084,8.602720367426251,1.0687157745981275,2.4730612965907084,12.32114467408585,3.7890832008479065,4.9814520402755695,1.1040452216922805,40.531708178767,14.414414414414415,2.6055467231937817,15.474297827239003,3.108991344285462,5.13160219042572,1.3513513513513513,0.4592828122239887,6.076664900194312
0420,15468,3954,298,193,410,251,214,1027,234,312,192,292,799,127,271,2508,649,1196,81,4089,1180,601,1390,121,418,194,429,712,100.0,25.56245151280062,1.926558055340057,1.247737264028963,2.6506335660718903,1.6227049392293766,1.3835014222911817,6.639513835014223,1.5128006206361522,2.017067494181536,1.2412723041117144,1.8877682958365658,5.165502973881562,0.8210499094905611,1.7520041375743471,16.21411947245927,4.195758986294285,7.732092061029222,0.5236617532971295,26.435221101629168,7.628652702353246,3.8854409102663565,8.986294284975434,0.78226014998707,2.7023532454098786,1.2542022239462114,2.773467804499612,4.603051461080941
0430,55663,13943,1268,872,1747,678,864,3206,904,995,744,870,3133,487,1081,8723,2883,3522,371,15613,5682,1730,5342,908,1451,763,1574,2868,100.0,25.048955320410325,2.2779943589098686,1.566570253130446,3.1385300828198264,1.2180443023193144,1.5521980489732856,5.759660815981891,1.624059069759086,1.7875428920467815,1.336614986615885,1.5629772020911556,5.6285144530478055,0.8749079280671183,1.9420440867362518,15.671092107863394,5.179383073136553,6.327362880189713,0.6665109677882974,28.049152938217485,10.207858002622928,3.1079891489858613,9.597039325943625,1.631245171837666,2.6067585290049045,1.3707489714891399,2.8277311679212405,5.152435190341879
0440,21276,5693,498,292,517,330,235,1645,289,404,326,337,1050,183,302,4714,1678,1809,113,4744,1351,892,1482,190,326,160,696,1091,100.0,26.75784921977815,2.340665538635082,1.3724384282759916,2.429968039105095,1.551043429216018,1.1045309268659522,7.731716488061665,1.3583380334649369,1.8988531678887008,1.5322429028012785,1.5839443504418123,4.935138183869149,0.8601240834743373,1.4194397443128408,22.156420379770633,7.886820830983267,8.50253807106599,0.531114871216394,22.29742432788118,6.349877796578304,4.192517390486934,6.965595036661027,0.8930250047001317,1.5322429028012785,0.7520210565895845,3.2712915961646925,5.1278435796202295
