id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
01100101,2404,574,46,43,70,34,67,109,30,29,27,43,79,3,28,453,142,175,21,558,128,60,256,26,53,21,46,81,100.0,23.87687188019967,1.913477537437604,1.788685524126456,2.9118136439267883,1.4143094841930115,2.7870216306156403,4.534109816971714,1.2479201331114809,1.2063227953410982,1.123128119800333,1.788685524126456,3.2861896838602327,0.12479201331114809,1.1647254575707155,18.84359400998336,5.906821963394343,7.279534109816972,0.8735440931780365,23.211314475873543,5.324459234608985,2.4958402662229617,10.64891846921797,1.0815307820299502,2.204658901830283,0.8735440931780365,1.913477537437604,3.369384359400998
01100102,1438,322,22,10,46,32,24,54,27,18,6,30,31,6,12,343,213,75,6,389,95,35,216,3,24,6,54,58,100.0,22.39221140472879,1.52990264255911,0.6954102920723227,3.1988873435326846,2.2253129346314324,1.6689847009735743,3.7552155771905427,1.8776077885952713,1.2517385257301807,0.4172461752433936,2.086230876216968,2.1557719054242,0.4172461752433936,0.8344923504867872,23.852573018080665,14.812239221140471,5.21557719054242,0.4172461752433936,27.05146036161335,6.606397774687066,2.433936022253129,15.02086230876217,0.2086230876216968,1.6689847009735743,0.4172461752433936,3.7552155771905427,4.033379694019471
01100103,3594,939,161,39,97,33,69,194,51,112,27,69,124,19,50,579,265,163,41,1089,353,90,443,75,122,29,107,138,100.0,26.12687813021703,4.47968836950473,1.0851419031719534,2.6989426822481914,0.9181969949916527,1.9198664440734556,5.397885364496383,1.4190317195325544,3.116304952698943,0.7512520868113522,1.9198664440734556,3.450194769059544,0.528658875904285,1.3912075681691707,16.110183639398997,7.373400111296606,4.535336672231497,1.1407902058987203,30.30050083472454,9.821925431274346,2.5041736227045077,12.326099053978853,2.0868113522537564,3.394546466332777,0.806900389538119,2.9771841958820255,3.8397328881469113
01100104,3252,609,67,24,90,35,39,121,40,42,27,43,98,35,15,413,167,137,10,1299,427,67,605,146,153,25,77,222,100.0,18.726937269372694,2.060270602706027,0.7380073800738007,2.7675276752767526,1.0762607626076262,1.1992619926199262,3.720787207872079,1.2300123001230012,1.2915129151291513,0.8302583025830259,1.3222632226322262,3.013530135301353,1.0762607626076262,0.46125461254612543,12.699876998769987,5.13530135301353,4.212792127921279,0.3075030750307503,39.94464944649446,13.130381303813039,2.060270602706027,18.603936039360395,4.4895448954489545,4.70479704797048,0.7687576875768758,2.367773677736777,6.826568265682657
01100205,2033,483,43,16,61,27,51,46,98,21,6,26,18,0,3,477,219,150,11,433,99,41,235,38,30,49,43,28,100.0,23.757993113625183,2.115100836202656,0.7870142646335464,3.0004918839153962,1.3280865715691097,2.5086079685194296,2.2626660108214462,4.820462370880472,1.0329562223315296,0.2951303492375799,1.278898180029513,0.8853910477127398,0.0,0.14756517461878996,23.462862764387605,10.772257747171668,7.378258730939498,0.5410723069355633,21.298573536645353,4.869650762420069,2.016724053123463,11.559272011805213,1.8691588785046727,1.4756517461878997,2.410231185440236,2.115100836202656,1.3772749631087065
01100206,1027,255,28,13,36,16,42,20,17,16,0,35,28,3,25,300,180,45,0,160,62,3,60,7,9,12,63,15,100.0,24.829600778967865,2.726387536514119,1.2658227848101267,3.5053554040895816,1.557935735150925,4.089581304771178,1.9474196689386565,1.6553067185978578,1.557935735150925,0.0,3.4079844206426486,2.726387536514119,0.2921129503407984,2.4342745861733204,29.211295034079843,17.526777020447906,4.381694255111976,0.0,15.579357351509252,6.0370009737098345,0.2921129503407984,5.8422590068159685,0.6815968841285297,0.8763388510223954,1.1684518013631937,6.134371957156767,1.4605647517039921
01100207,5089,1225,90,44,150,66,98,187,191,62,16,92,145,29,43,1119,548,284,65,1181,261,84,578,62,217,220,134,202,100.0,24.071526822558457,1.768520337983887,0.8646099430143446,2.9475338966398112,1.296914914521517,1.925722145804677,3.674592257810965,3.75319316172136,1.218314010611122,0.31440361564157987,1.8078207899390841,2.8492827667518177,0.5698565533503636,0.844959717036746,21.988602868932993,10.768323835724111,5.580664177638043,1.2772646885439183,23.206916879544114,5.128708980153272,1.6506189821182942,11.357830615052073,1.218314010611122,4.264099037138927,4.323049715071723,2.6331302809982313,3.969345647474946
01100308,3650,1238,132,43,151,102,109,170,96,65,31,132,102,12,20,525,241,156,24,584,158,72,212,6,46,45,190,82,100.0,33.91780821917808,3.616438356164384,1.178082191780822,4.136986301369864,2.7945205479452055,2.9863013698630136,4.657534246575342,2.63013698630137,1.7808219178082192,0.8493150684931507,3.616438356164384,2.7945205479452055,0.32876712328767127,0.547945205479452,14.383561643835616,6.602739726027397,4.273972602739726,0.6575342465753425,16.0,4.328767123287671,1.9726027397260273,5.808219178082192,0.16438356164383564,1.2602739726027399,1.2328767123287672,5.205479452054795,2.246575342465753
01100309,5700,1957,277,74,369,136,182,206,116,71,39,265,175,22,57,790,362,236,30,890,223,68,396,39,141,137,400,107,100.0,34.333333333333336,4.859649122807017,1.2982456140350878,6.473684210526316,2.3859649122807016,3.192982456140351,3.614035087719298,2.0350877192982457,1.2456140350877192,0.6842105263157895,4.649122807017544,3.070175438596491,0.3859649122807018,1.0,13.859649122807017,6.3508771929824555,4.140350877192982,0.5263157894736842,15.6140350877193,3.9122807017543857,1.1929824561403508,6.947368421052631,0.6842105263157895,2.473684210526316,2.4035087719298245,7.017543859649122,1.8771929824561404
01100310,5618,1480,161,78,229,95,141,193,112,69,36,126,166,25,48,769,285,253,37,1266,237,73,715,60,261,382,208,139,100.0,26.343894624421505,2.8657885368458524,1.3883944464222144,4.076183695265219,1.6909932360270559,2.5097899608401564,3.4353862584549666,1.9935920256318975,1.2281950872196512,0.6407974368102528,2.2427910288358848,2.9547881808472765,0.44499822000711997,0.8543965824136703,13.688145247419008,5.072979708081168,4.503381986472054,0.6585973656105376,22.534709861160557,4.2185831256674975,1.2993948024207902,12.726949092203633,1.067995728017088,4.645781416874333,6.799572801708793,3.702385190459238,2.474190103239587
