id,points,inhabitants,_100k_inhabitants
011001,144,16293,0.16293
011002,101,13637,0.13637
011003,109,62233,0.62233
011004,16,32384,0.32384
012005,13,46905,0.46905
012006,39,43624,0.43624
013007,10,38744,0.38744
013008,9,40026,0.40026
014009,28,46542,0.46542
014010,17,56616,0.56616
021001,45,40981,0.40981
022002,21,64657,0.64657
023003,26,19454,0.19454
023004,8,26326,0.26326
024005,27,26010,0.2601
024006,146,27252,0.27252
025007,3,31174,0.31174
025008,16,56770,0.5677
031001,30,17674,0.17674
032002,11,30231,0.30231
032003,2,18833,0.18833
033004,1,20185,0.20185
033005,1,17566,0.17566
034006,11,18885,0.18885
034007,22,39348,0.39348
034008,3,37120,0.3712
035009,29,41559,0.41559
035010,10,15993,0.15993
036011,7,27973,0.27973
036012,9,28115,0.28115
036013,3,22853,0.22853
036014,17,30041,0.30041
037015,8,27309,0.27309
037016,16,33591,0.33591
041001,7,19646,0.19646
042002,44,13147,0.13147
042003,20,27965,0.27965
043004,58,42997,0.42997
043005,1,16150,0.1615
043006,40,50836,0.50836
044007,11,19829,0.19829
044008,13,34447,0.34447
045009,20,28316,0.28316
045010,57,40669,0.40669
045011,21,49498,0.49498
051001,5,29637,0.29637
051002,1,43147,0.43147
051003,3,41028,0.41028
052004,1,23759,0.23759
052005,3,30971,0.30971
052006,5,37211,0.37211
053007,1,20008,0.20008
053008,11,13438,0.13438
054009,17,20078,0.20078
061001,2,22146,0.22146
061002,11,54101,0.54101
062003,3,44698,0.44698
062004,1,35974,0.35974
063005,8,34282,0.34282
063006,7,49471,0.49471
064007,41,26664,0.26664
064008,22,42708,0.42708
071001,10,26387,0.26387
071002,20,23957,0.23957
072003,4,21247,0.21247
072004,8,31676,0.31676
073005,2,25939,0.25939
073006,4,21462,0.21462
074007,7,19307,0.19307
074008,18,32691,0.32691
074009,8,15380,0.1538
075011,1,21059,0.21059
076013,1,14362,0.14362
081001,4,33049,0.33049
081002,30,37581,0.37581
081003,10,37805,0.37805
081004,12,38919,0.38919
081005,16,15194,0.15194
082006,4,21540,0.2154
082007,68,23196,0.23196
082008,1,29646,0.29646
083009,1,20234,0.20234
083010,3,18497,0.18497
084011,1,9662,0.09662
091001,34,13453,0.13453
091002,27,11753,0.11753
091003,22,19404,0.19404
091004,19,21636,0.21636
092005,69,25664,0.25664
092006,8,14508,0.14508
092007,9,22417,0.22417
092008,4,12918,0.12918
093009,5,31244,0.31244
093010,2,15695,0.15695
093011,4,8376,0.08376
094013,5,12925,0.12925
094014,14,12042,0.12042
094015,29,7494,0.07494
095017,16,19036,0.19036
095018,4,11138,0.11138
095019,6,12525,0.12525
095020,5,13462,0.13462
101001,19,25148,0.25148
101002,27,52190,0.5219
101003,46,42246,0.42246
102004,21,44060,0.4406
102005,5,23435,0.23435
102006,12,26017,0.26017
103007,8,30959,0.30959
104008,6,19683,0.19683
104009,2,30353,0.30353
111001,4,6451,0.06451
111002,15,30968,0.30968
111003,12,28157,0.28157
112004,1,17330,0.1733
112005,9,35756,0.35756
113006,23,34484,0.34484
113007,23,34329,0.34329
113008,6,10508,0.10508
114009,36,35831,0.35831
114010,134,16561,0.16561
114011,20,28351,0.28351
115013,12,31923,0.31923
121001,38,28760,0.2876
121002,24,28322,0.28322
122003,2,28242,0.28242
122004,11,20355,0.20355
122005,5,11322,0.11322
124006,1,24332,0.24332
124007,5,32978,0.32978
125009,1,32190,0.3219
126011,3,27454,0.27454
