id,points,inhabitants,_100k_inhabitants
0110,370,124547,1.24547
0120,52,90529,0.90529
0130,19,78770,0.7877
0140,45,103158,1.03158
0210,45,40981,0.40981
0220,21,64657,0.64657
0230,34,45780,0.4578
0240,173,53262,0.53262
0250,19,87944,0.87944
0310,30,17674,0.17674
0320,13,49064,0.49064
0330,2,37751,0.37751
0340,36,95353,0.95353
0350,39,57552,0.57552
0360,36,108982,1.08982
0370,24,60900,0.609
0410,7,19646,0.19646
0420,64,41112,0.41112
0430,99,109983,1.09983
0440,24,54276,0.54276
0450,98,118483,1.18483
0510,9,113812,1.13812
0520,9,91941,0.91941
0530,12,33446,0.33446
0540,17,20078,0.20078
0610,13,76247,0.76247
0620,4,80672,0.80672
0630,15,83753,0.83753
0640,63,69372,0.69372
0710,30,50344,0.50344
0720,12,52923,0.52923
0730,6,47401,0.47401
0740,33,67378,0.67378
0750,1,53764,0.53764
0760,1,85149,0.85149
0810,72,162548,1.62548
0820,73,74382,0.74382
0830,4,38731,0.38731
0840,1,53827,0.53827
0910,102,66246,0.66246
0920,90,75507,0.75507
0930,11,59802,0.59802
0940,48,39520,0.3952
0950,31,56161,0.56161
1010,92,119584,1.19584
1020,38,93512,0.93512
1030,8,30959,0.30959
1040,8,50036,0.50036
1110,31,65576,0.65576
1120,10,53086,0.53086
1130,52,79321,0.79321
1140,190,80743,0.80743
1150,12,36822,0.36822
1210,62,57082,0.57082
1220,18,59919,0.59919
1240,6,57310,0.5731
1250,1,48950,0.4895
1260,3,50837,0.50837
