id,points,inhabitants,_100k_inhabitants
01100101,10,3580,0.0358
01100102,122,2034,0.02034
01100103,8,5790,0.0579
01100104,4,4889,0.04889
01100205,5,2917,0.02917
01100206,88,1876,0.01876
01100207,8,8844,0.08844
01100308,18,7297,0.07297
01100309,20,12651,0.12651
01100310,49,10181,0.10181
01100311,6,9787,0.09787
01100312,15,10727,0.10727
01100313,1,11590,0.1159
01100414,4,5513,0.05513
01100415,4,13348,0.13348
01100416,8,13523,0.13523
01200517,6,3924,0.03924
01200520,5,9513,0.09513
01200522,2,11521,0.11521
01200623,2,10990,0.1099
01200624,6,6942,0.06942
01200625,2,6905,0.06905
01200626,8,6079,0.06079
01200627,4,3388,0.03388
01200628,5,3281,0.03281
01200629,12,6039,0.06039
01300730,1,8060,0.0806
01300731,3,8922,0.08922
01300732,4,10078,0.10078
01300733,2,11684,0.11684
01300834,1,14258,0.14258
01300835,1,10821,0.10821
01300836,7,14947,0.14947
01400937,3,10966,0.10966
01400938,18,9681,0.09681
01400940,3,7094,0.07094
01400942,4,8789,0.08789
01401043,1,7627,0.07627
01401044,4,10226,0.10226
01401045,3,5531,0.05531
01401046,4,8869,0.08869
01401048,2,9520,0.0952
01401049,3,6637,0.06637
02100101,7,7225,0.07225
02100102,17,8660,0.0866
02100103,2,5470,0.0547
02100104,1,5550,0.0555
02100105,5,9263,0.09263
02100106,13,4813,0.04813
02200207,3,2666,0.02666
02200208,7,5745,0.05745
02200209,5,10957,0.10957
02200210,2,12350,0.1235
02200211,2,14595,0.14595
02200213,2,10004,0.10004
02300314,6,7085,0.07085
02300315,2,8209,0.08209
02300316,18,4160,0.0416
02300417,1,8301,0.08301
02300418,2,7629,0.07629
02300419,5,10396,0.10396
02400520,19,5904,0.05904
02400521,2,8712,0.08712
02400522,6,11394,0.11394
02400623,38,14037,0.14037
02400624,4,11887,0.11887
02400625,104,1328,0.01328
02500727,3,6519,0.06519
02500832,1,9541,0.09541
02500833,5,10045,0.10045
02500834,6,11299,0.11299
02500835,3,8820,0.0882
02500836,1,5137,0.05137
03100101,24,4720,0.0472
03100102,1,3505,0.03505
03100103,5,9449,0.09449
03200204,3,2423,0.02423
03200206,5,6842,0.06842
03200207,3,11799,0.11799
03200309,1,5484,0.05484
03200310,1,8088,0.08088
03300411,1,11764,0.11764
03300514,1,6869,0.06869
03400618,1,4783,0.04783
03400619,1,10596,0.10596
03400620,9,3506,0.03506
03400721,3,11895,0.11895
03400722,10,3807,0.03807
03400723,4,7507,0.07507
03400724,5,8494,0.08494
03400826,2,7222,0.07222
03400829,1,5968,0.05968
03500932,12,6659,0.06659
03500933,14,7686,0.07686
03500934,1,10363,0.10363
03500935,1,6799,0.06799
03500936,1,10052,0.10052
03501037,5,8487,0.08487
03501038,5,7506,0.07506
03601140,2,6016,0.06016
03601141,1,7057,0.07057
03601142,4,10860,0.1086
03601243,3,6990,0.0699
03601244,3,7614,0.07614
03601245,3,13511,0.13511
03601346,3,5888,0.05888
03601449,8,9928,0.09928
03601450,7,5449,0.05449
03601451,2,6527,0.06527
03701554,4,11453,0.11453
03701555,2,7258,0.07258
03701556,2,8598,0.08598
03701657,6,3215,0.03215
03701658,2,8285,0.08285
03701659,4,9477,0.09477
03701660,4,12614,0.12614
04100101,6,11768,0.11768
04100102,1,7878,0.07878
04200203,30,1456,0.01456
04200204,1,3325,0.03325
04200205,8,2522,0.02522
04200207,5,2996,0.02996
04200308,4,6113,0.06113
04200309,2,6895,0.06895
04200310,8,7533,0.07533
04200311,6,7424,0.07424
04300412,32,4539,0.04539
04300413,4,9973,0.09973
04300414,13,10581,0.10581
04300415,8,6258,0.06258
04300416,1,11646,0.11646
04300518,1,6682,0.06682
04300619,4,9007,0.09007
04300620,6,4118,0.04118
04300621,5,10941,0.10941
04300622,17,5269,0.05269
04300623,2,12187,0.12187
04300624,6,9314,0.09314
04400726,6,5417,0.05417
04400727,3,8322,0.08322
04400729,2,2840,0.0284
04400830,5,8457,0.08457
04400832,1,6998,0.06998
04400833,3,3901,0.03901
04400834,2,3384,0.03384
04400835,2,10164,0.10164
04500936,3,5621,0.05621
04500937,7,7653,0.07653
04500938,2,8281,0.08281
04500939,8,6761,0.06761
04501040,6,5895,0.05895
04501041,13,5420,0.0542
04501042,17,3664,0.03664
04501043,15,10999,0.10999
04501044,3,5328,0.05328
04501045,3,9363,0.09363
04501146,10,4744,0.04744
04501147,1,5452,0.05452
04501148,3,4564,0.04564
04501150,2,3016,0.03016
04501153,5,7563,0.07563
05100101,5,4504,0.04504
05100210,1,7911,0.07911
05100313,2,7231,0.07231
05100316,1,10505,0.10505
05200420,1,5910,0.0591
05200527,3,12030,0.1203
05200631,1,8679,0.08679
05200634,4,4319,0.04319
05300736,1,3575,0.03575
05300839,8,8314,0.08314
05300840,1,503,0.00503
05300841,2,4605,0.04605
05400942,7,3691,0.03691
05400943,9,10533,0.10533
05400944,1,2183,0.02183
06100101,2,6912,0.06912
06100204,4,6803,0.06803
06100205,2,9988,0.09988
06100206,3,7751,0.07751
06100208,1,7065,0.07065
06100209,1,9322,0.09322
06200312,1,6285,0.06285
06200315,2,6890,0.0689
06200419,1,4539,0.04539
06300526,3,3350,0.0335
06300528,5,10947,0.10947
06300629,3,6988,0.06988
06300632,4,13695,0.13695
06400735,31,10188,0.10188
06400736,2,5139,0.05139
06400737,8,11337,0.11337
06400838,3,7341,0.07341
06400839,1,5370,0.0537
06400840,2,7080,0.0708
06400842,3,4773,0.04773
06400843,12,4690,0.0469
06400844,1,7263,0.07263
07100101,4,9794,0.09794
07100102,4,8696,0.08696
07100103,2,7897,0.07897
07100204,8,10425,0.10425
07100205,12,5177,0.05177
07200307,2,10549,0.10549
07200308,2,10698,0.10698
07200409,4,9300,0.093
07200413,4,7708,0.07708
07300517,2,10082,0.10082
07300618,2,9243,0.09243
07300619,2,12219,0.12219
07400720,2,11668,0.11668
07400721,5,7639,0.07639
07400822,14,3291,0.03291
07400824,2,7387,0.07387
07400826,2,5110,0.0511
07400927,6,11415,0.11415
07400928,2,3965,0.03965
07501134,1,10548,0.10548
07601341,1,2225,0.02225
08100101,2,4626,0.04626
08100102,2,8181,0.08181
08100206,5,9350,0.0935
08100207,13,7442,0.07442
08100208,9,11955,0.11955
08100209,3,8834,0.08834
08100310,1,7560,0.0756
08100311,2,7076,0.07076
08100312,4,11499,0.11499
08100314,3,7930,0.0793
08100415,1,6388,0.06388
08100416,9,6577,0.06577
08100417,2,9569,0.09569
08100520,4,5737,0.05737
08100521,12,9457,0.09457
08200622,1,5860,0.0586
08200623,3,6692,0.06692
08200726,9,6109,0.06109
08200727,3,8115,0.08115
08200728,1,1206,0.01206
08200729,53,1869,0.01869
08200730,2,3373,0.03373
08200832,1,12116,0.12116
08300935,1,7611,0.07611
08301036,1,7448,0.07448
08301037,2,11049,0.11049
08401139,1,4092,0.04092
09100101,34,13453,0.13453
09100202,4,4280,0.0428
09100203,23,7473,0.07473
09100304,14,12007,0.12007
09100305,2,4338,0.04338
09100306,6,3059,0.03059
