id,points,inhabitants,_100k_inhabitants
011001,15,16293,0.16293
011002,11,13637,0.13637
011003,50,62233,0.62233
011004,32,32384,0.32384
012005,13,46905,0.46905
012006,7,43624,0.43624
013007,22,38744,0.38744
013008,17,40026,0.40026
014009,21,46542,0.46542
014010,49,56616,0.56616
021001,7,40981,0.40981
022002,37,64657,0.64657
023003,22,19454,0.19454
023004,20,26326,0.26326
024005,4,26010,0.2601
024006,10,27252,0.27252
025007,9,31174,0.31174
025008,54,56770,0.5677
031001,2,17674,0.17674
032002,1,30231,0.30231
034007,4,39348,0.39348
034008,4,37120,0.3712
035009,10,41559,0.41559
035010,2,15993,0.15993
036011,11,27973,0.27973
036012,9,28115,0.28115
036013,20,22853,0.22853
036014,1,30041,0.30041
037015,30,27309,0.27309
037016,12,33591,0.33591
042002,2,13147,0.13147
042003,2,27965,0.27965
043004,9,42997,0.42997
043005,2,16150,0.1615
043006,24,50836,0.50836
044008,2,34447,0.34447
045009,7,28316,0.28316
045010,22,40669,0.40669
045011,4,49498,0.49498
051001,1,29637,0.29637
051003,2,41028,0.41028
052006,5,37211,0.37211
053007,1,20008,0.20008
061001,6,22146,0.22146
061002,4,54101,0.54101
062003,2,44698,0.44698
062004,1,35974,0.35974
063005,2,34282,0.34282
063006,2,49471,0.49471
064008,1,42708,0.42708
071001,26,26387,0.26387
071002,10,23957,0.23957
072003,8,21247,0.21247
072004,14,31676,0.31676
073005,4,25939,0.25939
073006,4,21462,0.21462
074007,1,19307,0.19307
074008,2,32691,0.32691
074009,1,15380,0.1538
075010,2,32705,0.32705
076014,1,21257,0.21257
081001,12,33049,0.33049
081002,28,37581,0.37581
081003,44,37805,0.37805
081004,33,38919,0.38919
081005,1,15194,0.15194
082006,1,21540,0.2154
082007,1,23196,0.23196
082008,1,29646,0.29646
083009,1,20234,0.20234
083010,1,18497,0.18497
084012,1,44165,0.44165
091001,2,13453,0.13453
091003,2,19404,0.19404
091004,1,21636,0.21636
092005,5,25664,0.25664
092006,6,14508,0.14508
092007,2,22417,0.22417
092008,1,12918,0.12918
093011,1,8376,0.08376
094014,1,12042,0.12042
094015,5,7494,0.07494
095017,1,19036,0.19036
095019,3,12525,0.12525
101001,6,25148,0.25148
101002,1,52190,0.5219
101003,1,42246,0.42246
102004,6,44060,0.4406
102005,2,23435,0.23435
102006,2,26017,0.26017
111002,2,30968,0.30968
112004,3,17330,0.1733
112005,3,35756,0.35756
113006,5,34484,0.34484
113007,6,34329,0.34329
113008,2,10508,0.10508
114009,10,35831,0.35831
114010,1,16561,0.16561
114011,1,28351,0.28351
115012,1,4899,0.04899
115013,1,31923,0.31923
121001,11,28760,0.2876
121002,5,28322,0.28322
122003,6,28242,0.28242
122005,5,11322,0.11322
124007,3,32978,0.32978
125008,1,16760,0.1676
125009,4,32190,0.3219
126010,1,9583,0.09583
126011,1,27454,0.27454
126012,1,13800,0.138
