id,points,inhabitants,_100k_inhabitants
0110,108,124547,1.24547
0120,20,90529,0.90529
0130,39,78770,0.7877
0140,70,103158,1.03158
0210,7,40981,0.40981
0220,37,64657,0.64657
0230,42,45780,0.4578
0240,14,53262,0.53262
0250,63,87944,0.87944
0310,2,17674,0.17674
0320,1,49064,0.49064
0340,8,95353,0.95353
0350,12,57552,0.57552
0360,41,108982,1.08982
0370,42,60900,0.609
0420,4,41112,0.41112
0430,35,109983,1.09983
0440,2,54276,0.54276
0450,33,118483,1.18483
0510,3,113812,1.13812
0520,5,91941,0.91941
0530,1,33446,0.33446
0610,10,76247,0.76247
0620,3,80672,0.80672
0630,4,83753,0.83753
0640,1,69372,0.69372
0710,36,50344,0.50344
0720,22,52923,0.52923
0730,8,47401,0.47401
0740,4,67378,0.67378
0750,2,53764,0.53764
0760,1,85149,0.85149
0810,118,162548,1.62548
0820,3,74382,0.74382
0830,2,38731,0.38731
0840,1,53827,0.53827
0910,5,66246,0.66246
0920,14,75507,0.75507
0930,1,59802,0.59802
0940,6,39520,0.3952
0950,4,56161,0.56161
1010,8,119584,1.19584
1020,10,93512,0.93512
1110,2,65576,0.65576
1120,6,53086,0.53086
1130,13,79321,0.79321
1140,12,80743,0.80743
1150,2,36822,0.36822
1210,16,57082,0.57082
1220,11,59919,0.59919
1240,3,57310,0.5731
1250,5,48950,0.4895
1260,3,50837,0.50837
