id,points,inhabitants,_100k_inhabitants
01100101,2,3580,0.0358
01100102,5,2034,0.02034
01100103,5,5790,0.0579
01100104,3,4889,0.04889
01100206,9,1876,0.01876
01100207,2,8844,0.08844
01100308,5,7297,0.07297
01100309,28,12651,0.12651
01100310,14,10181,0.10181
01100311,2,9787,0.09787
01100313,1,11590,0.1159
01100414,5,5513,0.05513
01100415,15,13348,0.13348
01100416,12,13523,0.13523
01200517,2,3924,0.03924
01200518,1,7096,0.07096
01200519,4,9592,0.09592
01200520,4,9513,0.09513
01200521,1,5259,0.05259
01200522,1,11521,0.11521
01200623,3,10990,0.1099
01200624,1,6942,0.06942
01200625,2,6905,0.06905
01200626,1,6079,0.06079
01300730,4,8060,0.0806
01300731,6,8922,0.08922
01300732,4,10078,0.10078
01300733,8,11684,0.11684
01300834,2,14258,0.14258
01300836,15,14947,0.14947
01400937,1,10966,0.10966
01400938,6,9681,0.09681
01400939,11,6149,0.06149
01400941,1,3863,0.03863
01400942,2,8789,0.08789
01401043,9,7627,0.07627
01401044,6,10226,0.10226
01401045,8,5531,0.05531
01401046,6,8869,0.08869
01401047,6,8206,0.08206
01401048,6,9520,0.0952
01401049,8,6637,0.06637
02100101,4,7225,0.07225
02100102,2,8660,0.0866
02100106,1,4813,0.04813
02200207,1,2666,0.02666
02200208,5,5745,0.05745
02200209,8,10957,0.10957
02200210,2,12350,0.1235
02200211,10,14595,0.14595
02200212,4,8340,0.0834
02200213,7,10004,0.10004
02300314,16,7085,0.07085
02300315,4,8209,0.08209
02300316,2,4160,0.0416
02300417,7,8301,0.08301
02300418,8,7629,0.07629
02300419,5,10396,0.10396
02400521,2,8712,0.08712
02400522,2,11394,0.11394
02400623,2,14037,0.14037
02400624,5,11887,0.11887
02400625,3,1328,0.01328
02500726,3,9175,0.09175
02500727,3,6519,0.06519
02500728,3,10073,0.10073
02500830,6,4071,0.04071
02500831,5,7857,0.07857
02500832,6,9541,0.09541
02500833,22,10045,0.10045
02500834,13,11299,0.11299
02500835,2,8820,0.0882
03100101,1,4720,0.0472
03100102,1,3505,0.03505
03200206,1,6842,0.06842
03400721,2,11895,0.11895
03400723,2,7507,0.07507
03400826,2,7222,0.07222
03400827,1,9703,0.09703
03400830,1,9293,0.09293
03500934,2,10363,0.10363
03500935,4,6799,0.06799
03500936,4,10052,0.10052
03501037,1,8487,0.08487
03501038,1,7506,0.07506
03601139,1,4040,0.0404
03601141,3,7057,0.07057
