id,lat,lon,name,street,zip_code,city,planning_area_id
79675952,52.56382,13.32884,Alberts,Scharnweberstraße 16,13405.0,Berlin,12100205
86001835,52.51205,13.39187,Bellboy Berlin,Anton-Wilhelm-Amo-Straße 30,10117.0,Berlin,01100207
86005430,52.51293,13.39122,Newton Bar,Charlottenstraße 57,10117.0,Berlin,01100206
111644760,52.56556,13.32092,No Limit Shishabar,,,,12200309
149607257,52.54422,13.41288,en passant,Schönhauser Allee 58,10437.0,Berlin,03601346
150989271,52.56464,13.32794,Can,Ollenhauerstraße 139,13403.0,Berlin,12200309
248651127,52.52952,13.39563,Z-Bar,Bergstraße 2,10115.0,Berlin,01100415
267780050,52.53636,13.42507,Immertreu,Christburger Straße 6,10405.0,Berlin,03701658
269414693,52.54140,13.36849,Tiger Karaoke,Müllerstraße 6,,,01300836
275375441,52.48826,13.36192,Café Nostalgie,Crellestraße 22,10827.0,Berlin,07200411
276762554,52.46897,13.43546,Schloss Neuschweinsteiger,Emser Straße 122,12051.0,Berlin,08100208
278876847,52.51204,13.46131,Keyif,,,,02500833
282420247,52.51025,13.45662,Himmelreich,Simon-Dach-Straße 36,10245.0,Berlin,02500833
282428260,52.51581,13.45917,Ysy,,,,02500727
282737297,52.51824,13.45530,Lauschangriff,,,,02500727
285066943,52.51118,13.46130,Zeitgeist,Gärtnerstraße 15,10245.0,Berlin,02500833
286428394,52.53721,13.20226,Charlotte,Charlottenstraße 14a,13597.0,Berlin,05100316
291796493,52.51274,13.45870,booze bar berlin,Boxhagener Straße 105,10245.0,Berlin,02500830
293644418,52.50593,13.32837,Quasimodo,Kantstraße 12A,10623.0,Berlin,04300622
306675633,52.39183,13.09530,Konsum,,,,
306915565,52.54765,13.48871,Bar im Wasserturm,Waldowstraße 20,13053.0,Berlin,11200512
309902514,52.52520,13.40185,Billardsalon Köh,Sophienstraße 6,10178.0,Berlin,01100309
318810769,52.54938,13.41646,Deck 5,Greifenhagener Straße 47,,,03601243
320217866,52.53446,13.40473,macke prinz,Zionskirchstraße 39,10119.0,Berlin,01100416
326807333,52.51950,13.42343,Salon Babette,Karl-Marx-Allee 36,10178.0,Berlin,01100311
331397676,52.50860,13.46109,Süß war gestern,Wühlischstraße 43,10245.0,Berlin,02500834
332554291,52.52158,13.38609,Vincent Piano Bar,Schiffbauerdamm 6,10117.0,Berlin,01100308
339323154,52.51426,13.45954,Sohnemann,Niederbarnimstraße 23,10247.0,Berlin,02500830
