id,points,inhabitants,_100k_inhabitants
011003,3,62233,0.62233
012006,1,43624,0.43624
023004,1,26326,0.26326
024006,1,27252,0.27252
031001,1,17674,0.17674
035009,1,41559,0.41559
037015,1,27309,0.27309
041001,1,19646,0.19646
042002,4,13147,0.13147
044007,1,19829,0.19829
062003,1,44698,0.44698
063006,2,49471,0.49471
064007,3,26664,0.26664
064008,1,42708,0.42708
072003,1,21247,0.21247
074007,3,19307,0.19307
076012,1,17997,0.17997
081004,2,38919,0.38919
081005,1,15194,0.15194
091001,2,13453,0.13453
091003,1,19404,0.19404
092005,1,25664,0.25664
094013,2,12925,0.12925
094015,1,7494,0.07494
115013,2,31923,0.31923
124007,2,32978,0.32978
125009,5,32190,0.3219
