id,points,inhabitants,_100k_inhabitants
0110,3,124547,1.24547
0120,1,90529,0.90529
0230,1,45780,0.4578
0240,1,53262,0.53262
0310,1,17674,0.17674
0350,1,57552,0.57552
0370,1,60900,0.609
0410,1,19646,0.19646
0420,4,41112,0.41112
0440,1,54276,0.54276
0620,1,80672,0.80672
0630,2,83753,0.83753
0640,4,69372,0.69372
0720,1,52923,0.52923
0740,3,67378,0.67378
0760,1,85149,0.85149
0810,3,162548,1.62548
0910,3,66246,0.66246
0920,1,75507,0.75507
0940,3,39520,0.3952
1150,2,36822,0.36822
1240,2,57310,0.5731
1250,5,48950,0.4895
