id,points,inhabitants,_100k_inhabitants
01100308,1,7297,0.07297
01100310,1,10181,0.10181
01100313,1,11590,0.1159
01200626,1,6079,0.06079
02300418,1,7629,0.07629
02400623,1,14037,0.14037
03100101,1,4720,0.0472
03500933,1,7686,0.07686
03701556,1,8598,0.08598
04100101,1,11768,0.11768
04200203,2,1456,0.01456
04200207,2,2996,0.02996
04400726,1,5417,0.05417
06200315,1,6890,0.0689
06300630,1,5667,0.05667
06300634,1,8285,0.08285
06400735,3,10188,0.10188
06400842,1,4773,0.04773
07200308,1,10698,0.10698
07400720,1,11668,0.11668
07400721,2,7639,0.07639
07601237,1,4785,0.04785
08100418,1,9193,0.09193
08100419,1,7192,0.07192
08100520,1,5737,0.05737
09100101,2,13453,0.13453
09100304,1,12007,0.12007
09200512,1,4433,0.04433
09401329,2,11009,0.11009
09401534,1,7494,0.07494
11501339,1,10574,0.10574
11501341,1,10103,0.10103
12400722,2,8517,0.08517
12500926,1,5181,0.05181
12500927,1,6874,0.06874
12500928,1,5158,0.05158
12500929,2,5104,0.05104
