id,lat,lon,name,street,zip_code,city,planning_area_id
167013475,52.49169,13.43899,Jockel,Ratiborstraße 14c,10999.0,Berlin,02300418
255049657,52.43372,13.16424,Haus Sanssouci,,,,06400735
276134997,52.42998,13.35401,Balkes Park-Treff,,,,06200315
300327588,52.54228,13.28165,Kulturbiergarten Jungfernheide,Heckerdamm 274,,,04100101
302953838,52.57158,13.12296,,,,,
388514302,52.41232,13.60959,Schmetterlingshorst,Zum Schmetterlingshorst 2,12559.0,Berlin,09401329
400916176,52.47475,13.52418,Albers Biergarten,,,,11501341
438209267,52.46088,13.54591,Der Waldkater,An der Wuhlheide 195,12459.0,Berlin,09200512
492022191,52.61815,13.33538,Freibad Lübars,,,,12500929
573395588,52.51195,13.23993,Stadionterrassen,,,,04200203
573398147,52.51565,13.24393,Pepe Mager,,,,04200203
622472685,52.46745,13.26175,Im Jagdschloss,Hüttenweg 100,14193.0,Berlin,06400842
627600191,52.65542,13.53807,,,,,
783980399,52.41083,13.37443,PUBalapap Ponyhof,,,,07601237
986839191,52.48666,13.47913,Biergarten Bootsverleih Rent a´ Boat,,,,09100101
1329387334,52.48684,13.48130,Insel,Alt-Treptow 6,12435.0,Berlin,09100101
1336750491,52.44801,13.57654,Freiheit 15,Freiheit 15,12555.0,Berlin,09401534
1405977761,52.48400,13.34382,PlatzHirsch,Freiherr-vom-Stein-Straße 20,10825.0,Berlin,07200308
1727023627,52.59516,13.33265,Fassl Schänke,Oranienburger Straße 196,13437.0,Berlin,12500926
1763903215,52.51088,13.41738,republik-berlin,Köpenicker Straße 74,10179.0,Berlin,01100313
1861543922,52.47359,13.45814,Estrel Biergarten,,,,08100520
1907437298,52.55451,13.45703,Sommergarten Königin Luise,Parkstraße 87,13086.0,Berlin,03500933
2121135269,52.44712,13.31653,Gulliver,Marschnerstraße 2,12203.0,Berlin,06300630
2293407394,52.60643,13.56233,Gaststätte Lindenstübchen,Gudrunstraße 49,16356.0,Ahrensfelde,
2572205659,52.48474,13.39291,,,,,07400721
2713948988,52.42840,13.12245,Zur Pfaueninsel,,,,06400735
2820136908,52.46999,13.48384,Little Popo in der KGA zur Linde,Kiefholzstraße 281,12437.0,Berlin,09100304
2997206233,52.50139,13.20853,Alte Liebe,,,,04200207
3695148772,52.61952,13.30486,Arnos Biergarten,,,,12400722
4926338321,52.48852,13.27700,Biergarten am Herthasee,,,,04400726
4946021958,52.43890,13.30045,,,,,06300634
4969998321,52.50947,13.43008,Yaam,,,,02400623
5107182643,52.47777,13.44882,Hertzberg Golf,Sonnenallee 165,12059.0,,08100418
5526313920,52.37280,13.39469,Waldstübchen,Arcostraße 45,15831.0,Blankenfelde-Mahlow,
6777268885,52.63866,13.49028,,,,,03100101
7946130647,52.47787,13.19620,Kaisergarten,,,,04200207
7946203034,52.57524,13.66930,,,,,
7968208886,52.42145,13.17613,,,,,06400735
8319379070,52.59243,13.32604,Zur Dorf-Quelle,Alt-Wittenau 36a,13437.0,Berlin,12500927
8330198887,52.60691,13.36408,Tinis Inn,Quickborner Straße 102,13439.0,Berlin,12500929
8544292187,52.61956,13.30486,Arnos Biergarten,,,,12400722
9014983201,52.48306,13.52376,Gundelfinger,Gundelfinger Straße 52,,,11501339
9038024709,52.62896,13.36461,,,,,
9448539845,52.48448,13.45811,Berliner Berg Brauerei Biergarten,,,,08100419
9552043698,52.59969,13.55564,Karins Bierstube,Birkholzer Allee 90,16356.0,Ahrensfelde,
9741742487,52.60728,13.31943,Kindl Stübl,,,,12500928
9813921660,52.53011,13.38288,Biergarten Speisekombinat,Chausseestraße 116,10115.0,Berlin,01100308
9912640154,52.52511,13.34882,Biergarten am Kleinen Tiergarten,Alt-Moabit 25,10559.0,Berlin,01200626
12008124069,52.47682,13.38766,Neulich Biergarten,Tempelhofer Damm 45,12101.0,Berlin,07400721
12047430912,52.52940,13.41668,Augustiner auf Bötzow,Prenzlauer Allee 242-245,10405.0,Berlin,03701556
12243965940,52.51720,13.40612,Fischer & Lustig,Poststraße 26,10178.0,Berlin,01100310
12802563611,52.42659,13.64148,Prinzengarten,,,,09401329
13025350499,52.47563,13.36840,Yard Vibes,,,,07400720
