id,points,inhabitants,_100k_inhabitants
011001,12,16293,0.16293
011002,5,13637,0.13637
011003,23,62233,0.62233
011004,10,32384,0.32384
012005,7,46905,0.46905
012006,15,43624,0.43624
013007,2,38744,0.38744
013008,9,40026,0.40026
014009,5,46542,0.46542
014010,9,56616,0.56616
021001,14,40981,0.40981
022002,17,64657,0.64657
023003,8,19454,0.19454
023004,5,26326,0.26326
024005,8,26010,0.2601
024006,6,27252,0.27252
025007,2,31174,0.31174
025008,11,56770,0.5677
031001,3,17674,0.17674
032003,1,18833,0.18833
033004,1,20185,0.20185
033005,2,17566,0.17566
034006,2,18885,0.18885
034007,4,39348,0.39348
035009,2,41559,0.41559
035010,1,15993,0.15993
036011,5,27973,0.27973
036012,5,28115,0.28115
036013,3,22853,0.22853
036014,5,30041,0.30041
037015,12,27309,0.27309
037016,6,33591,0.33591
041001,2,19646,0.19646
042003,1,27965,0.27965
043004,6,42997,0.42997
043005,2,16150,0.1615
043006,10,50836,0.50836
044007,1,19829,0.19829
045009,6,28316,0.28316
045010,8,40669,0.40669
045011,5,49498,0.49498
051001,6,29637,0.29637
051002,1,43147,0.43147
051003,2,41028,0.41028
052004,1,23759,0.23759
052005,2,30971,0.30971
052006,4,37211,0.37211
053007,4,20008,0.20008
053008,1,13438,0.13438
054009,3,20078,0.20078
061001,3,22146,0.22146
061002,6,54101,0.54101
062003,2,44698,0.44698
063005,4,34282,0.34282
063006,5,49471,0.49471
064007,1,26664,0.26664
064008,5,42708,0.42708
071001,6,26387,0.26387
071002,3,23957,0.23957
072003,1,21247,0.21247
072004,9,31676,0.31676
073005,4,25939,0.25939
073006,3,21462,0.21462
074007,4,19307,0.19307
074009,3,15380,0.1538
075010,2,32705,0.32705
075011,1,21059,0.21059
076014,1,21257,0.21257
076015,1,31533,0.31533
081001,4,33049,0.33049
081002,4,37581,0.37581
081003,10,37805,0.37805
081004,3,38919,0.38919
081005,3,15194,0.15194
082007,3,23196,0.23196
082008,1,29646,0.29646
083010,1,18497,0.18497
084012,2,44165,0.44165
091001,3,13453,0.13453
091002,1,11753,0.11753
091003,3,19404,0.19404
091004,1,21636,0.21636
092005,5,25664,0.25664
092007,2,22417,0.22417
092008,1,12918,0.12918
093009,2,31244,0.31244
093010,1,15695,0.15695
094013,3,12925,0.12925
094015,2,7494,0.07494
095017,2,19036,0.19036
095018,1,11138,0.11138
095019,1,12525,0.12525
095020,1,13462,0.13462
101001,1,25148,0.25148
101002,1,52190,0.5219
101003,3,42246,0.42246
102004,2,44060,0.4406
102006,1,26017,0.26017
103007,3,30959,0.30959
104008,1,19683,0.19683
104009,2,30353,0.30353
111002,2,30968,0.30968
111003,1,28157,0.28157
112004,3,17330,0.1733
113006,6,34484,0.34484
113007,11,34329,0.34329
113008,1,10508,0.10508
114009,8,35831,0.35831
114010,2,16561,0.16561
114011,4,28351,0.28351
115012,1,4899,0.04899
115013,3,31923,0.31923
121001,1,28760,0.2876
121002,1,28322,0.28322
122003,2,28242,0.28242
122005,2,11322,0.11322
124006,2,24332,0.24332
124007,2,32978,0.32978
125008,1,16760,0.1676
125009,1,32190,0.3219
126010,1,9583,0.09583
126011,1,27454,0.27454
