id,points,inhabitants,_100k_inhabitants
0110,50,124547,1.24547
0120,22,90529,0.90529
0130,11,78770,0.7877
0140,14,103158,1.03158
0210,14,40981,0.40981
0220,17,64657,0.64657
0230,13,45780,0.4578
0240,14,53262,0.53262
0250,13,87944,0.87944
0310,3,17674,0.17674
0320,1,49064,0.49064
0330,3,37751,0.37751
0340,6,95353,0.95353
0350,3,57552,0.57552
0360,18,108982,1.08982
0370,18,60900,0.609
0410,2,19646,0.19646
0420,1,41112,0.41112
0430,18,109983,1.09983
0440,1,54276,0.54276
0450,19,118483,1.18483
0510,9,113812,1.13812
0520,7,91941,0.91941
0530,5,33446,0.33446
0540,3,20078,0.20078
0610,9,76247,0.76247
0620,2,80672,0.80672
0630,9,83753,0.83753
0640,6,69372,0.69372
0710,9,50344,0.50344
0720,10,52923,0.52923
0730,7,47401,0.47401
0740,7,67378,0.67378
0750,3,53764,0.53764
0760,2,85149,0.85149
0810,24,162548,1.62548
0820,4,74382,0.74382
0830,1,38731,0.38731
0840,2,53827,0.53827
0910,8,66246,0.66246
0920,8,75507,0.75507
0930,3,59802,0.59802
0940,5,39520,0.3952
0950,5,56161,0.56161
1010,5,119584,1.19584
1020,3,93512,0.93512
1030,3,30959,0.30959
1040,3,50036,0.50036
1110,3,65576,0.65576
1120,3,53086,0.53086
1130,18,79321,0.79321
1140,14,80743,0.80743
1150,4,36822,0.36822
1210,2,57082,0.57082
1220,4,59919,0.59919
1240,4,57310,0.5731
1250,2,48950,0.4895
1260,2,50837,0.50837
