id,points,inhabitants,_100k_inhabitants
01100102,10,2034,0.02034
01100103,1,5790,0.0579
01100104,1,4889,0.04889
01100205,2,2917,0.02917
01100206,2,1876,0.01876
01100207,1,8844,0.08844
01100308,5,7297,0.07297
01100309,5,12651,0.12651
01100310,7,10181,0.10181
01100311,4,9787,0.09787
01100312,2,10727,0.10727
01100415,3,13348,0.13348
01100416,7,13523,0.13523
01200517,1,3924,0.03924
01200518,1,7096,0.07096
01200519,1,9592,0.09592
01200520,1,9513,0.09513
01200522,3,11521,0.11521
01200623,3,10990,0.1099
01200625,3,6905,0.06905
01200626,1,6079,0.06079
01200627,1,3388,0.03388
01200628,5,3281,0.03281
01200629,2,6039,0.06039
01300730,1,8060,0.0806
01300732,1,10078,0.10078
01300834,4,14258,0.14258
01300835,2,10821,0.10821
01300836,3,14947,0.14947
01400937,1,10966,0.10966
01400939,1,6149,0.06149
01400941,1,3863,0.03863
01400942,2,8789,0.08789
01401043,1,7627,0.07627
01401044,1,10226,0.10226
01401045,1,5531,0.05531
01401046,2,8869,0.08869
01401047,2,8206,0.08206
01401048,2,9520,0.0952
02100101,5,7225,0.07225
02100102,2,8660,0.0866
02100103,2,5470,0.0547
02100104,2,5550,0.0555
02100106,3,4813,0.04813
02200207,3,2666,0.02666
02200208,1,5745,0.05745
02200209,2,10957,0.10957
02200210,6,12350,0.1235
02200211,2,14595,0.14595
02200212,1,8340,0.0834
02200213,2,10004,0.10004
02300314,3,7085,0.07085
02300315,4,8209,0.08209
02300316,1,4160,0.0416
02300417,3,8301,0.08301
02300418,2,7629,0.07629
02400520,2,5904,0.05904
02400521,1,8712,0.08712
02400522,5,11394,0.11394
02400623,1,14037,0.14037
02400624,2,11887,0.11887
02400625,3,1328,0.01328
02500727,1,6519,0.06519
02500729,1,5407,0.05407
02500831,2,7857,0.07857
02500834,2,11299,0.11299
02500835,6,8820,0.0882
02500836,1,5137,0.05137
03100103,3,9449,0.09449
03200310,1,8088,0.08088
03300411,1,11764,0.11764
03300514,1,6869,0.06869
03300516,1,9560,0.0956
03400618,1,4783,0.04783
