id,points,inhabitants,_100k_inhabitants
011001,54,16293,0.16293
011002,51,13637,0.13637
011003,113,62233,0.62233
011004,13,32384,0.32384
012005,44,46905,0.46905
012006,66,43624,0.43624
013007,28,38744,0.38744
013008,56,40026,0.40026
014009,38,46542,0.46542
014010,39,56616,0.56616
021001,54,40981,0.40981
022002,78,64657,0.64657
023003,36,19454,0.19454
023004,14,26326,0.26326
024005,17,26010,0.2601
024006,36,27252,0.27252
025007,3,31174,0.31174
025008,43,56770,0.5677
031001,51,17674,0.17674
032002,73,30231,0.30231
032003,29,18833,0.18833
033004,42,20185,0.20185
033005,64,17566,0.17566
034006,57,18885,0.18885
034007,48,39348,0.39348
034008,36,37120,0.3712
035009,44,41559,0.41559
035010,32,15993,0.15993
036011,8,27973,0.27973
036012,13,28115,0.28115
036014,22,30041,0.30041
037015,4,27309,0.27309
037016,8,33591,0.33591
041001,58,19646,0.19646
042002,41,13147,0.13147
042003,94,27965,0.27965
043004,39,42997,0.42997
043005,20,16150,0.1615
043006,60,50836,0.50836
044007,55,19829,0.19829
044008,48,34447,0.34447
045009,40,28316,0.28316
045010,52,40669,0.40669
045011,52,49498,0.49498
051001,58,29637,0.29637
051002,90,43147,0.43147
051003,87,41028,0.41028
052004,50,23759,0.23759
052005,60,30971,0.30971
052006,75,37211,0.37211
053007,37,20008,0.20008
053008,37,13438,0.13438
054009,89,20078,0.20078
061001,36,22146,0.22146
061002,76,54101,0.54101
062003,78,44698,0.44698
062004,100,35974,0.35974
063005,92,34282,0.34282
063006,101,49471,0.49471
064007,123,26664,0.26664
064008,121,42708,0.42708
071001,30,26387,0.26387
071002,16,23957,0.23957
072003,22,21247,0.21247
072004,31,31676,0.31676
073005,27,25939,0.25939
073006,27,21462,0.21462
074007,42,19307,0.19307
074008,66,32691,0.32691
074009,34,15380,0.1538
075010,54,32705,0.32705
075011,43,21059,0.21059
076012,45,17997,0.17997
076013,38,14362,0.14362
076014,27,21257,0.21257
076015,66,31533,0.31533
081001,31,33049,0.33049
081002,27,37581,0.37581
081003,32,37805,0.37805
081004,36,38919,0.38919
081005,41,15194,0.15194
082006,43,21540,0.2154
082007,51,23196,0.23196
082008,60,29646,0.29646
083009,20,20234,0.20234
083010,17,18497,0.18497
084011,19,9662,0.09662
084012,127,44165,0.44165
091001,26,13453,0.13453
091002,21,11753,0.11753
091003,50,19404,0.19404
091004,46,21636,0.21636
092005,22,25664,0.25664
092006,25,14508,0.14508
092007,46,22417,0.22417
092008,20,12918,0.12918
093009,68,31244,0.31244
093010,42,15695,0.15695
093011,10,8376,0.08376
093012,25,4487,0.04487
094013,21,12925,0.12925
094014,18,12042,0.12042
094015,16,7494,0.07494
094016,21,7059,0.07059
095017,23,19036,0.19036
095018,43,11138,0.11138
095019,23,12525,0.12525
095020,26,13462,0.13462
101001,22,25148,0.25148
101002,42,52190,0.5219
101003,58,42246,0.42246
102004,29,44060,0.4406
102005,13,23435,0.23435
102006,23,26017,0.26017
103007,80,30959,0.30959
104008,72,19683,0.19683
104009,91,30353,0.30353
111001,32,6451,0.06451
111002,27,30968,0.30968
111003,10,28157,0.28157
112004,31,17330,0.1733
112005,17,35756,0.35756
113006,14,34484,0.34484
113007,46,34329,0.34329
114009,40,35831,0.35831
114010,21,16561,0.16561
114011,22,28351,0.28351
115012,12,4899,0.04899
115013,31,31923,0.31923
121001,45,28760,0.2876
121002,68,28322,0.28322
122003,39,28242,0.28242
122004,50,20355,0.20355
122005,20,11322,0.11322
124006,87,24332,0.24332
124007,92,32978,0.32978
125008,40,16760,0.1676
125009,98,32190,0.3219
126010,23,9583,0.09583
126011,34,27454,0.27454
126012,30,13800,0.138
