id,points,inhabitants,_100k_inhabitants
0110,231,124547,1.24547
0120,110,90529,0.90529
0130,84,78770,0.7877
0140,77,103158,1.03158
0210,54,40981,0.40981
0220,78,64657,0.64657
0230,50,45780,0.4578
0240,53,53262,0.53262
0250,46,87944,0.87944
0310,51,17674,0.17674
0320,102,49064,0.49064
0330,106,37751,0.37751
0340,141,95353,0.95353
0350,76,57552,0.57552
0360,43,108982,1.08982
0370,12,60900,0.609
0410,58,19646,0.19646
0420,135,41112,0.41112
0430,119,109983,1.09983
0440,103,54276,0.54276
0450,144,118483,1.18483
0510,235,113812,1.13812
0520,185,91941,0.91941
0530,74,33446,0.33446
0540,89,20078,0.20078
0610,112,76247,0.76247
0620,178,80672,0.80672
0630,193,83753,0.83753
0640,244,69372,0.69372
0710,46,50344,0.50344
0720,53,52923,0.52923
0730,54,47401,0.47401
0740,142,67378,0.67378
0750,97,53764,0.53764
0760,176,85149,0.85149
0810,167,162548,1.62548
0820,154,74382,0.74382
0830,37,38731,0.38731
0840,146,53827,0.53827
0910,143,66246,0.66246
0920,113,75507,0.75507
0930,145,59802,0.59802
0940,76,39520,0.3952
0950,115,56161,0.56161
1010,122,119584,1.19584
1020,65,93512,0.93512
1030,80,30959,0.30959
1040,163,50036,0.50036
1110,69,65576,0.65576
1120,48,53086,0.53086
1130,60,79321,0.79321
1140,83,80743,0.80743
1150,43,36822,0.36822
1210,113,57082,0.57082
1220,109,59919,0.59919
1240,179,57310,0.5731
1250,138,48950,0.4895
1260,87,50837,0.50837
