id,points,inhabitants,_100k_inhabitants
01100101,10,3580,0.0358
01100102,36,2034,0.02034
01100103,3,5790,0.0579
01100104,5,4889,0.04889
01100205,12,2917,0.02917
01100206,21,1876,0.01876
01100207,18,8844,0.08844
01100308,38,7297,0.07297
01100309,9,12651,0.12651
01100310,31,10181,0.10181
01100311,10,9787,0.09787
01100312,12,10727,0.10727
01100313,13,11590,0.1159
01100415,8,13348,0.13348
01100416,5,13523,0.13523
01200517,12,3924,0.03924
01200518,3,7096,0.07096
01200519,3,9592,0.09592
01200520,7,9513,0.09513
01200521,3,5259,0.05259
01200522,16,11521,0.11521
01200623,16,10990,0.1099
01200624,10,6942,0.06942
01200625,9,6905,0.06905
01200626,7,6079,0.06079
01200627,5,3388,0.03388
01200628,14,3281,0.03281
01200629,5,6039,0.06039
01300730,8,8060,0.0806
01300731,7,8922,0.08922
01300732,6,10078,0.10078
01300733,7,11684,0.11684
01300834,18,14258,0.14258
01300835,13,10821,0.10821
01300836,25,14947,0.14947
01400937,13,10966,0.10966
01400938,6,9681,0.09681
01400939,2,6149,0.06149
01400940,3,7094,0.07094
01400942,14,8789,0.08789
01401043,7,7627,0.07627
01401044,3,10226,0.10226
01401045,6,5531,0.05531
01401046,6,8869,0.08869
01401047,8,8206,0.08206
01401048,3,9520,0.0952
01401049,6,6637,0.06637
02100101,17,7225,0.07225
02100102,15,8660,0.0866
02100103,2,5470,0.0547
02100104,9,5550,0.0555
02100105,6,9263,0.09263
02100106,5,4813,0.04813
02200207,4,2666,0.02666
02200208,7,5745,0.05745
02200209,19,10957,0.10957
02200210,22,12350,0.1235
02200211,7,14595,0.14595
02200212,5,8340,0.0834
02200213,14,10004,0.10004
02300314,16,7085,0.07085
02300315,7,8209,0.08209
02300316,13,4160,0.0416
02300417,5,8301,0.08301
02300418,3,7629,0.07629
02300419,6,10396,0.10396
02400520,6,5904,0.05904
02400521,8,8712,0.08712
02400522,3,11394,0.11394
02400623,12,14037,0.14037
