id,lat,lon,name,street,zip_code,city,planning_area_id
530191,52.55990,13.31709,Kaserne Nordtor,,,,12200411
21487255,52.49777,13.28185,Trabener Steg,,,,04400725
21538161,52.61167,13.31744,Zehntwerderweg,,,,12500928
26745944,52.49756,13.28315,Trabener Steg,,,,04400726
26784992,52.51285,13.29701,Zillestraße,,,,04300414
26868080,52.50674,13.27898,Messegelände/ZOB,,,,04200311
26905405,52.50886,13.27243,U Theodor-Heuss-Platz Süd,,,,04200310
26984675,52.59333,13.28110,An der Mühle,,,,12200515
27007776,52.53681,13.29397,U Jakob-Kaiser-Platz,,,,04100101
27176639,52.56971,13.30052,Otisstraße,,,,12200412
27239370,52.52384,13.14493,Hahneberg,,,,05200525
27245242,52.51855,13.11141,Seeburger Chaussee,,,,
27245246,52.51909,13.11092,Seeburger Chaussee,,,,
27586338,52.52778,13.23191,Krematorium Ruhleben,,,,05100317
27586412,52.52835,13.22038,Güterbahnhof Ruhleben,,,,05200632
27586437,52.52691,13.21514,Teltower Straße,,,,05200632
27587012,52.51651,13.24913,U Olympia-Stadion,,,,04200203
27587988,52.52876,13.23869,Werkring,,,,05100317
28472308,52.52115,13.18936,Melanchthonplatz,,,,05200630
29273261,52.50703,13.28537,S Messe Nord,,,,04300415
29421304,52.57954,13.48272,Malchow/Dorfstraße,,,,11100101
29846059,52.50874,13.16812,Karolinenhöhe,,,,05200528
29885006,52.53336,13.56591,Blumberger Damm/Elisabethstraße,,,,10300731
29885025,52.54946,13.57251,Rudolf-Leonhard-Straße,,,,10100209
29885038,52.54489,13.55801,Rebhuhnweg,,,,10100313
29885043,52.54470,13.56190,Hinter der Mühle,,,,10100313
29885055,52.54503,13.55773,Rebhuhnweg,,,,10100313
29885059,52.54487,13.56187,Hinter der Mühle,,,,10100313
29885343,52.54739,13.56151,Jan-Petersen-Straße,,,,10100210
29885348,52.54883,13.55471,Paul-Dessau-Straße,,,,10100210
29885360,52.54727,13.56104,Jan-Petersen-Straße,,,,10100210
29885367,52.55042,13.54927,S Raoul-Wallenberg-Straße,,,,10100210
29916131,52.56046,13.57422,Schwarzburger Straße,,,,10100206
29918552,52.53374,13.60757,Nossener Straße,,,,10200524
30010588,52.65519,13.28476,Invalidensiedlung,,,,12400721
30134871,52.41884,13.25011,Ludwigsfelder Straße/Sachtlebenstraße,,,,06300528
30558144,52.59214,13.43580,Blankenburger Weg,,,,03200309
30624388,52.56660,13.46412,Darßer Straße/Roelckestraße,,,,03501037
30624434,52.56003,13.46651,Rathaus Weißensee,,,,03501037
30625117,52.56036,13.47621,Piesporter Straße,,,,03501037
30625140,52.55982,13.47236,Neumagener Straße,,,,03501037
30625200,52.55992,13.47333,Neumagener Straße,,,,03501037
30690013,52.56858,13.51950,Prendener Straße,,,,11100204
30731740,52.53202,13.39947,Brunnenstraße/Invalidenstraße,,,,01100415
30770321,52.61942,13.23909,Kiefheider Weg,,,,12400618
30775772,52.57769,13.27757,Liesborner Weg,,,,12200413
31367880,52.55596,13.14279,Siedlereck,,,,
31492302,52.42396,13.62936,Rübezahl,,,,09401329
31532403,52.47389,13.57025,Hoppendorfer Straße,,,,09502043
31921330,52.46191,13.10643,Friedrich-Günther-Park,,,,
33210078,52.53835,13.20066,Moritzstraße,,,,05100316
33223341,52.54422,13.15102,Hackbuschstraße/Straße 603,,,,05100211
33236598,52.53534,13.13719,Staakener Feldstraße,,,,05200422
33484097,52.54433,13.24616,Paulsternstraße/Gartenfelder Straße,,,,05300737
33553106,52.54052,13.13253,Fachinger Straße,,,,05200418
33787111,52.60262,13.20995,Sandhauser Brücke,,,,12400617
34781673,52.53396,13.20668,Stresowplatz,,,,05100317
34781734,52.53262,13.20911,S Stresow,,,,05100317
34782032,52.53237,13.20894,S Stresow,,,,05100317
34782033,52.53248,13.20873,S Stresow,,,,05100317
35249556,52.63104,13.20742,Am Rathenaupark,,,,
35249557,52.63130,13.20730,Am Rathenaupark,,,,
35250221,52.59708,13.20158,Spandauer Landstraße,,,,
38063823,52.36054,13.11247,Drewitzer Straße/Am Buchhorst,,,,
48911444,52.63068,13.30616,Fürstendamm,,,,12400721
49829204,52.60140,13.51912,"Lindenberg (BAR), Dorf",,,,
51595499,52.56594,13.57910,Rabensteiner Straße,,,,10100104
51994959,52.51455,13.50765,Zentralfriedhof,,,,11300725
55042155,52.53160,13.50009,Reinhardsbrunner Straße,,,,11300721
73698849,52.64173,13.51629,Zepernicker Straße,,,,03100102
79593591,52.57534,13.30568,Otisstraße/Quäkerstraße,,,,12200412
79594504,52.57692,13.30733,Otisstraße/Wittestraße,,,,12200412
79595616,52.57206,13.30885,Auguste-Viktoria-Allee/Quäkerstraße,,,,12200310
79597771,52.56661,13.31706,Uranusweg,,,,12200309
79599789,52.57159,13.31158,Eichborndamm/Antonienstraße,,,,12200310
92332110,52.57502,13.31310,Kienhorststraße,,,,12200310
92333037,52.57448,13.31443,Kienhorststraße,,,,12200310
109817063,52.54629,13.51117,Rhinstraße/Gärtnerstraße,,,,11200411
132092492,52.43537,13.28942,Köhlerstraße,,,,06300634
132095890,52.43695,13.29353,Johanneskirchplatz,,,,06300634
132096981,52.43763,13.29518,Baseler Straße,,,,06300634
139983460,52.48909,13.25958,S Grunewald,,,,04200207
139983479,52.48897,13.25965,S Grunewald,,,,04200207
140083405,52.53709,13.14213,Bahnhof Staaken,,,,05200421
165736690,52.58470,13.46118,Mörderberg,,,,03300515
174857525,52.63068,13.28366,An der Buche,,,,12400720
175149811,52.63404,13.27408,Hainbuchenstraße,,,,12400720
194497030,52.58424,13.20737,Bürgerablage,,,,05100101
203590026,52.53889,13.23133,U Haselhorst,,,,05300736
205064297,52.42733,13.36452,Preysingstraße,,,,06200317
213209586,52.56296,13.50405,Prerower Platz,,,,11100309
213209907,52.56356,13.50634,Prerower Platz,,,,11100309
213227866,52.50672,13.22805,Scholzplatz,,,,04200206
213227885,52.50687,13.22783,Scholzplatz,,,,04200206
241456896,52.57609,13.33248,Ollenhauerstraße/Lindauer Allee,,,,12200307
241457063,52.58340,13.32048,Rotbuchenweg,,,,12500930
243828433,52.47242,13.42877,U Leinestraße,,,,08100104
245235823,52.58883,13.32499,U Rathaus Reinickendorf,,,,12500926
245266225,52.57528,13.34760,U Paracelsus-Bad,,,,12100205
245266719,52.57456,13.34707,U Paracelsus-Bad,,,,12100206
247078379,52.49439,13.19940,Schildhorn,,,,04200207
247078386,52.49473,13.19950,Schildhorn,,,,04200207
247558961,52.57524,13.33783,U Lindauer Allee,,,,12100206
