id,points,inhabitants,_100k_inhabitants
011001,33,16293,0.16293
011002,71,13637,0.13637
011003,141,62233,0.62233
011004,73,32384,0.32384
012005,37,46905,0.46905
012006,49,43624,0.43624
013007,22,38744,0.38744
013008,24,40026,0.40026
014009,26,46542,0.46542
014010,53,56616,0.56616
021001,37,40981,0.40981
022002,112,64657,0.64657
023003,49,19454,0.19454
023004,50,26326,0.26326
024005,8,26010,0.2601
024006,16,27252,0.27252
025007,29,31174,0.31174
025008,92,56770,0.5677
031001,3,17674,0.17674
032002,11,30231,0.30231
033004,2,20185,0.20185
033005,3,17566,0.17566
034006,6,18885,0.18885
034007,20,39348,0.39348
034008,7,37120,0.3712
035009,16,41559,0.41559
035010,4,15993,0.15993
036011,33,27973,0.27973
036012,13,28115,0.28115
036013,50,22853,0.22853
036014,4,30041,0.30041
037015,74,27309,0.27309
037016,37,33591,0.33591
041001,2,19646,0.19646
042002,3,13147,0.13147
042003,15,27965,0.27965
043004,60,42997,0.42997
043005,5,16150,0.1615
043006,100,50836,0.50836
044007,7,19829,0.19829
044008,16,34447,0.34447
045009,27,28316,0.28316
045010,115,40669,0.40669
045011,37,49498,0.49498
051001,7,29637,0.29637
051003,15,41028,0.41028
052004,2,23759,0.23759
052005,1,30971,0.30971
052006,17,37211,0.37211
053007,3,20008,0.20008
053008,1,13438,0.13438
054009,10,20078,0.20078
061001,34,22146,0.22146
061002,15,54101,0.54101
062003,4,44698,0.44698
062004,6,35974,0.35974
063005,7,34282,0.34282
063006,16,49471,0.49471
064007,11,26664,0.26664
064008,32,42708,0.42708
071001,50,26387,0.26387
071002,31,23957,0.23957
072003,12,21247,0.21247
072004,57,31676,0.31676
073005,20,25939,0.25939
073006,6,21462,0.21462
074007,6,19307,0.19307
074008,12,32691,0.32691
074009,7,15380,0.1538
075010,8,32705,0.32705
075011,5,21059,0.21059
076012,3,17997,0.17997
076014,2,21257,0.21257
076015,4,31533,0.31533
081001,40,33049,0.33049
081002,53,37581,0.37581
081003,60,37805,0.37805
081004,37,38919,0.38919
081005,2,15194,0.15194
082006,4,21540,0.2154
082007,6,23196,0.23196
082008,1,29646,0.29646
083009,3,20234,0.20234
083010,3,18497,0.18497
084012,5,44165,0.44165
091001,14,13453,0.13453
091002,2,11753,0.11753
091003,5,19404,0.19404
091004,4,21636,0.21636
092005,8,25664,0.25664
092006,5,14508,0.14508
092007,12,22417,0.22417
092008,2,12918,0.12918
093009,3,31244,0.31244
093010,2,15695,0.15695
093011,4,8376,0.08376
093012,2,4487,0.04487
094013,1,12925,0.12925
094015,7,7494,0.07494
094016,2,7059,0.07059
095017,7,19036,0.19036
095018,2,11138,0.11138
095019,1,12525,0.12525
101001,2,25148,0.25148
101002,5,52190,0.5219
101003,9,42246,0.42246
102004,2,44060,0.4406
102005,2,23435,0.23435
102006,1,26017,0.26017
103007,7,30959,0.30959
104008,1,19683,0.19683
104009,6,30353,0.30353
111001,2,6451,0.06451
112004,3,17330,0.1733
112005,6,35756,0.35756
113006,5,34484,0.34484
113007,16,34329,0.34329
113008,1,10508,0.10508
114009,13,35831,0.35831
114010,3,16561,0.16561
114011,6,28351,0.28351
115012,4,4899,0.04899
115013,6,31923,0.31923
121001,13,28760,0.2876
121002,2,28322,0.28322
122003,3,28242,0.28242
122004,3,20355,0.20355
122005,13,11322,0.11322
124006,4,24332,0.24332
124007,8,32978,0.32978
125008,2,16760,0.1676
125009,3,32190,0.3219
126010,1,9583,0.09583
126011,3,27454,0.27454
126012,2,13800,0.138
