id,points,inhabitants,_100k_inhabitants
0110,318,124547,1.24547
0120,86,90529,0.90529
0130,46,78770,0.7877
0140,79,103158,1.03158
0210,37,40981,0.40981
0220,112,64657,0.64657
0230,99,45780,0.4578
0240,24,53262,0.53262
0250,121,87944,0.87944
0310,3,17674,0.17674
0320,11,49064,0.49064
0330,5,37751,0.37751
0340,33,95353,0.95353
0350,20,57552,0.57552
0360,100,108982,1.08982
0370,111,60900,0.609
0410,2,19646,0.19646
0420,18,41112,0.41112
0430,165,109983,1.09983
0440,23,54276,0.54276
0450,179,118483,1.18483
0510,22,113812,1.13812
0520,20,91941,0.91941
0530,4,33446,0.33446
0540,10,20078,0.20078
0610,49,76247,0.76247
0620,10,80672,0.80672
0630,23,83753,0.83753
0640,43,69372,0.69372
0710,81,50344,0.50344
0720,69,52923,0.52923
0730,26,47401,0.47401
0740,25,67378,0.67378
0750,13,53764,0.53764
0760,9,85149,0.85149
0810,192,162548,1.62548
0820,11,74382,0.74382
0830,6,38731,0.38731
0840,5,53827,0.53827
0910,25,66246,0.66246
0920,27,75507,0.75507
0930,11,59802,0.59802
0940,10,39520,0.3952
0950,10,56161,0.56161
1010,16,119584,1.19584
1020,5,93512,0.93512
1030,7,30959,0.30959
1040,7,50036,0.50036
1110,2,65576,0.65576
1120,9,53086,0.53086
1130,22,79321,0.79321
1140,22,80743,0.80743
1150,10,36822,0.36822
1210,15,57082,0.57082
1220,19,59919,0.59919
1240,12,57310,0.5731
1250,5,48950,0.4895
1260,6,50837,0.50837
