id,points,inhabitants,_100k_inhabitants
01100101,1,3580,0.0358
01100102,22,2034,0.02034
01100103,3,5790,0.0579
01100104,7,4889,0.04889
01100205,18,2917,0.02917
01100206,38,1876,0.01876
01100207,15,8844,0.08844
01100308,24,7297,0.07297
01100309,64,12651,0.12651
01100310,34,10181,0.10181
01100311,2,9787,0.09787
01100312,12,10727,0.10727
01100313,5,11590,0.1159
01100414,6,5513,0.05513
01100415,38,13348,0.13348
01100416,29,13523,0.13523
01200517,1,3924,0.03924
01200518,2,7096,0.07096
01200519,9,9592,0.09592
01200520,11,9513,0.09513
01200521,8,5259,0.05259
01200522,6,11521,0.11521
01200623,9,10990,0.1099
01200624,10,6942,0.06942
01200625,7,6905,0.06905
01200626,7,6079,0.06079
01200628,10,3281,0.03281
01200629,6,6039,0.06039
01300730,7,8060,0.0806
01300731,2,8922,0.08922
01300732,2,10078,0.10078
01300733,11,11684,0.11684
01300834,6,14258,0.14258
01300835,5,10821,0.10821
01300836,13,14947,0.14947
01400937,3,10966,0.10966
01400938,13,9681,0.09681
01400939,2,6149,0.06149
01400942,8,8789,0.08789
01401043,7,7627,0.07627
01401044,5,10226,0.10226
01401045,3,5531,0.05531
01401046,10,8869,0.08869
01401047,8,8206,0.08206
01401048,12,9520,0.0952
01401049,8,6637,0.06637
02100101,4,7225,0.07225
02100102,14,8660,0.0866
02100103,5,5470,0.0547
02100104,7,5550,0.0555
02100105,3,9263,0.09263
02100106,4,4813,0.04813
02200207,10,2666,0.02666
02200208,7,5745,0.05745
02200209,11,10957,0.10957
02200210,11,12350,0.1235
02200211,33,14595,0.14595
02200212,12,8340,0.0834
02200213,28,10004,0.10004
02300314,34,7085,0.07085
02300315,12,8209,0.08209
02300316,3,4160,0.0416
02300417,19,8301,0.08301
02300418,9,7629,0.07629
02300419,22,10396,0.10396
02400520,1,5904,0.05904
02400521,2,8712,0.08712
02400522,5,11394,0.11394
02400623,3,14037,0.14037
02400624,6,11887,0.11887
02400625,7,1328,0.01328
02500726,5,9175,0.09175
02500727,3,6519,0.06519
02500728,17,10073,0.10073
02500729,4,5407,0.05407
02500830,7,4071,0.04071
02500831,5,7857,0.07857
02500832,6,9541,0.09541
02500833,43,10045,0.10045
02500834,23,11299,0.11299
02500835,4,8820,0.0882
02500836,4,5137,0.05137
03100102,1,3505,0.03505
03100103,2,9449,0.09449
03200204,3,2423,0.02423
03200205,2,9167,0.09167
03200206,2,6842,0.06842
03200207,4,11799,0.11799
03300411,1,11764,0.11764
03300412,1,5226,0.05226
03300514,1,6869,0.06869
03300516,2,9560,0.0956
03400618,1,4783,0.04783
03400619,4,10596,0.10596
03400620,1,3506,0.03506
03400721,9,11895,0.11895
03400722,3,3807,0.03807
03400723,4,7507,0.07507
