id,points,inhabitants,_100k_inhabitants
01100308,1,7297,0.07297
01100309,1,12651,0.12651
01100311,1,9787,0.09787
01100414,1,5513,0.05513
02100105,1,9263,0.09263
02200209,1,10957,0.10957
02200210,1,12350,0.1235
02200211,1,14595,0.14595
02200212,2,8340,0.0834
02200213,1,10004,0.10004
02300314,3,7085,0.07085
02300315,1,8209,0.08209
02300316,2,4160,0.0416
02300417,1,8301,0.08301
02300419,1,10396,0.10396
03400831,1,0,0.0
03601142,3,10860,0.1086
03601244,1,7614,0.07614
03601347,1,9495,0.09495
03601348,1,7470,0.0747
03701660,1,12614,0.12614
04200311,1,7424,0.07424
05100316,1,10505,0.10505
05300736,1,3575,0.03575
05300737,1,11913,0.11913
07100204,1,10425,0.10425
07200308,1,10698,0.10698
07200413,1,7708,0.07708
10300733,1,5190,0.0519
11400931,1,7064,0.07064
