id,lat,lon,name,street,zip_code,city,planning_area_id
30352328,52.51333,13.28426,,,,Berlin,04200311
616672198,52.53606,13.19171,Sixti Car Club,,,,05100316
1826897235,52.49979,13.42012,stadtmobil,Skalitzer Straße 133,10999.0,Berlin,02300314
1826931830,52.50512,13.43168,Stadtmobil,Audre-Lorde-Straße 17-21,10997.0,Berlin,02300316
3363900043,52.54212,13.42032,,,,,03601348
3674966440,52.53018,13.43207,Stadtmobil,Bötzowstraße 13,10407.0,Berlin,03701660
3875852629,52.54499,13.42696,Flinkster,,,,03601244
4436548357,52.53431,13.38176,,,,,01100414
4605555446,52.52296,13.37874,,,,,01100308
5260315892,52.54731,13.40760,,,,,03601142
6124260756,52.50348,13.43755,Cambio Station Köpenicker,Köpenicker Straße 11,,,02300316
7536994036,52.51359,13.42220,,,,,01100311
7915910821,52.52878,13.40121,stadtmobil,,,,01100309
7995684589,52.47960,13.34639,,,,,07200308
8255683563,52.55417,13.22608,Jelbi-Station Daumstraße/Rhenaniastraße,,,,05300736
8614201454,52.53867,13.23266,Jelbi-Station U Haselhorst,,,,05300737
8614204893,52.51068,13.50098,Jelbi-Station S+U Lichtenberg,,,,11400931
9002051629,52.50586,13.56087,Jelbi,,,,10300733
9074640222,52.54408,13.41808,cambio CarSharing - Station Helmholtz,Lychener Straße 46,10437.0,Berlin,03601347
10263347366,52.49179,13.37914,,,,,02200209
10271579872,52.48671,13.42285,,,,,02200212
10293401273,52.48851,13.41351,,,,,02200212
10293414916,52.49749,13.44367,,,,,02300419
10608414647,52.57221,13.42816,DB InfraGO Granitzstraße,,13189.0,Berlin,03400831
10969860170,52.47559,13.36638,,,,,07200413
11268687349,52.67400,13.29071,,Käthe-Kollwitz-Straße 23,16540.0,Hohen Neuendorf,
11268687350,52.67012,13.28634,,,,,
12118950889,52.48968,13.39576,cambio,,,,02200211
12400195590,52.54868,13.41278,Cambio,,,,03601142
12891470287,52.54856,13.41283,cambio CarSharing - Station Schönhauser,Kopenhagener Straße 78,10437.0,Berlin,03601142
12891747547,52.49499,13.41407,cambio CarSharing - Station Admiral-Jelbi,Planufer 85,10967.0,Berlin,02200213
12891766078,52.49712,13.39171,cambio CarSharing - Station Blücherplatz,Blücherplatz 3,10961.0,Berlin,02200210
12979828797,52.49869,13.40786,Jelbi U Prinzenstraße,,,,02100105
13062273477,52.49610,13.42748,,,,,02300417
13062308746,52.50404,13.41791,,,,,02300314
13062358511,52.50175,13.42430,,,,,02300314
13062387409,52.50026,13.42698,,,,,02300315
13084955493,52.49016,13.35328,,,,,07100204
