id,points,inhabitants,_100k_inhabitants
011003,1,62233,0.62233
011004,2,32384,0.32384
012005,2,46905,0.46905
013007,2,38744,0.38744
014009,2,46542,0.46542
014010,8,56616,0.56616
022002,1,64657,0.64657
024006,2,27252,0.27252
025007,2,31174,0.31174
025008,6,56770,0.5677
031001,1,17674,0.17674
032002,1,30231,0.30231
034006,3,18885,0.18885
034007,3,39348,0.39348
034008,1,37120,0.3712
035009,2,41559,0.41559
036012,1,28115,0.28115
037016,3,33591,0.33591
043004,1,42997,0.42997
043005,3,16150,0.1615
043006,5,50836,0.50836
044008,1,34447,0.34447
045010,1,40669,0.40669
045011,1,49498,0.49498
051001,2,29637,0.29637
052006,3,37211,0.37211
063006,1,49471,0.49471
064008,1,42708,0.42708
071001,3,26387,0.26387
072004,1,31676,0.31676
073006,1,21462,0.21462
074007,1,19307,0.19307
074008,3,32691,0.32691
076012,1,17997,0.17997
076013,1,14362,0.14362
081001,1,33049,0.33049
081002,3,37581,0.37581
081003,1,37805,0.37805
081004,4,38919,0.38919
082006,1,21540,0.2154
082007,1,23196,0.23196
091004,1,21636,0.21636
092007,2,22417,0.22417
095017,1,19036,0.19036
095019,1,12525,0.12525
101001,1,25148,0.25148
101002,1,52190,0.5219
101003,1,42246,0.42246
111002,1,30968,0.30968
113007,3,34329,0.34329
114009,2,35831,0.35831
121002,4,28322,0.28322
