id,points,inhabitants,_100k_inhabitants
0110,3,124547,1.24547
0120,2,90529,0.90529
0130,2,78770,0.7877
0140,10,103158,1.03158
0220,1,64657,0.64657
0240,2,53262,0.53262
0250,8,87944,0.87944
0310,1,17674,0.17674
0320,1,49064,0.49064
0340,7,95353,0.95353
0350,2,57552,0.57552
0360,1,108982,1.08982
0370,3,60900,0.609
0430,9,109983,1.09983
0440,1,54276,0.54276
0450,2,118483,1.18483
0510,2,113812,1.13812
0520,3,91941,0.91941
0630,1,83753,0.83753
0640,1,69372,0.69372
0710,3,50344,0.50344
0720,1,52923,0.52923
0730,1,47401,0.47401
0740,4,67378,0.67378
0760,2,85149,0.85149
0810,9,162548,1.62548
0820,2,74382,0.74382
0910,1,66246,0.66246
0920,2,75507,0.75507
0950,2,56161,0.56161
1010,3,119584,1.19584
1110,1,65576,0.65576
1130,3,79321,0.79321
1140,2,80743,0.80743
1210,4,57082,0.57082
