id,points,inhabitants,_100k_inhabitants
01100311,1,9787,0.09787
01100415,2,13348,0.13348
01200518,1,7096,0.07096
01200519,1,9592,0.09592
01300730,2,8060,0.0806
01400939,2,6149,0.06149
01401043,4,7627,0.07627
01401046,2,8869,0.08869
01401048,1,9520,0.0952
01401049,1,6637,0.06637
02200212,1,8340,0.0834
02400624,2,11887,0.11887
02500727,1,6519,0.06519
02500728,1,10073,0.10073
02500830,1,4071,0.04071
02500831,1,7857,0.07857
02500833,1,10045,0.10045
02500834,2,11299,0.11299
02500835,1,8820,0.0882
03100101,1,4720,0.0472
03200207,1,11799,0.11799
03400619,2,10596,0.10596
03400620,1,3506,0.03506
03400721,1,11895,0.11895
03400722,1,3807,0.03807
03400724,1,8494,0.08494
03400829,1,5968,0.05968
03500935,1,6799,0.06799
03500936,1,10052,0.10052
03601243,1,6990,0.0699
03701658,2,8285,0.08285
03701660,1,12614,0.12614
04300414,1,10581,0.10581
04300517,2,9468,0.09468
04300518,1,6682,0.06682
04300619,1,9007,0.09007
04300621,2,10941,0.10941
04300622,1,5269,0.05269
04300624,1,9314,0.09314
04400830,1,8457,0.08457
04501044,1,5328,0.05328
04501153,1,7563,0.07563
05100103,1,6107,0.06107
05100105,1,7689,0.07689
05200629,1,8357,0.08357
05200630,2,10042,0.10042
06300633,1,11955,0.11955
06400839,1,5370,0.0537
07100101,2,9794,0.09794
07100102,1,8696,0.08696
07200414,1,3778,0.03778
07300618,1,9243,0.09243
07400720,1,11668,0.11668
07400825,3,7213,0.07213
07601237,1,4785,0.04785
07601340,1,6416,0.06416
08100105,1,6338,0.06338
08100208,3,11955,0.11955
08100314,1,7930,0.0793
08100415,1,6388,0.06388
08100416,2,6577,0.06577
08100417,1,9569,0.09569
08200624,1,8988,0.08988
08200727,1,8115,0.08115
09100409,1,4096,0.04096
09200716,2,8373,0.08373
09501736,1,4677,0.04677
09501940,1,2759,0.02759
10100101,1,5837,0.05837
10100208,1,10330,0.1033
10100311,1,2670,0.0267
11100205,1,6304,0.06304
11300721,3,6848,0.06848
11400927,1,4173,0.04173
11400929,1,16901,0.16901
12100204,2,9554,0.09554
12100205,2,13988,0.13988
