id,lat,lon,name,street,zip_code,city,planning_area_id
268915249,52.49589,13.34317,Ev. Kita Viktoria-Luise,Viktoria-Luise-Platz 1,10777.0,Berlin,07100101
268915848,52.51927,13.30541,Wirbelwind,Brauhofstraße 2A,10587.0,Berlin,04300619
268915924,52.47378,13.44712,EKT - Puck e.V.,Zwiestädter Straße 2,12055.0,Berlin,08100416
268916030,52.48340,13.43379,Kinderladen Yong (EKT),Donaustraße 114,12043.0,Berlin,08100314
268916196,52.53482,13.42643,Ev. Kita Winsstraße,Winsstraße 24,10405.0,Berlin,03701658
268917015,52.47511,13.44910,Kita Böhmische Straße,Böhmische Straße 39,,,08100416
475325547,52.46088,13.43405,"Sprache verbindet e. V., Kita Kinderplaneten",Germaniapromenade 8,12347.0,Berlin,08200624
489927889,52.51463,13.32524,Kita an der Technischen Universität Berlin,Marchstraße 8,10587.0,Berlin,04300622
832835232,52.55361,13.36592,Umpa Lumpa,Reinickendorfer Straße 63,13347.0,Berlin,01401049
941475644,52.54084,13.34835,Kleine Früchtchen,Fehmarner Straße 2,,,01401046
1031829528,52.47899,13.29689,Kita Frühling,Kissinger Straße 55,14199.0,Berlin,04400830
1539194728,52.52553,13.30724,Kita Zauberlinge,,10589.0,Berlin,04300518
2176069851,52.45823,13.38175,Kita Tiva,Werderstraße 29,12103.0,Berlin,07400825
2285961891,52.45956,13.37919,Kita Tiponi II,Friedrich-Franz-Straße 39,12103.0,Berlin,07400825
2303808176,52.55005,13.36788,Kita Bienchen,Reinickendorfer Straße 81,,,01401043
2641528075,52.58798,13.41164,Pankower Nest,Beuthstraße 27 B,13156.0,Berlin,03200207
2692239894,52.45076,13.75410,Kita Kinderparadies,Seestraße 11,15569.0,Woltersdorf,
2821286100,52.43796,13.44765,Kita Erdmännchen I,Fritz-Reuter-Allee 173,12359.0,Berlin,08200727
2867833113,52.56124,13.20811,Kita Elfenbein,Streitstraße 59,13587.0,Berlin,05100105
2952352723,52.57374,13.35831,Kita Luftballon,Lindauer Allee 4,13407.0,Berlin,12100205
2952353394,52.56808,13.35698,Kita Die kleinen Füchse,Genfer Straße 33,13407.0,Berlin,12100204
3072343834,52.49465,13.34158,Elterninitiativ-Kindertagesstätte Dachsbau,Münchener Straße 3,10777.0,Berlin,07100101
3112772960,52.45689,13.38335,Tabasu,,,,07400825
3213713658,52.51755,13.42422,Kinderhaus Berlin-Mitte,Neue Blumenstraße 22,10179.0,Berlin,01100311
3310059976,52.57042,13.51754,Leos Hütte,Grevesmühlener Straße 43,13059.0,Berlin,11100205
3602681045,52.50583,13.48012,Fine Turbine,,,,11400927
3919485004,52.44099,13.31455,Moltekids,,,,06300633
4095932189,52.55247,13.35684,Kita Plapperfisch,Seestraße 62,13347.0,Berlin,01401048
4139409989,52.55746,13.37792,Kinderdschungel,Koloniestraße 139,13359.0,Berlin,01300730
4223507993,52.51256,13.45117,Kita Junior 1,Grünberger Straße 26,10245.0,,02400624
4251827103,52.51796,13.46270,Kita Rumpelbande,,,,02500728
4341056691,52.63625,13.49124,Moorwiese,,,,03100101
4529086591,52.36760,13.60222,Naturkita,Rudolf-Breitscheid-Straße 39,15732.0,Schulzendorf,
4912977844,52.55259,13.41969,Kita SEHsternTaler,Greifenhagener Straße 33,10437.0,Berlin,03601243
4920611563,52.50894,13.49674,Kita Vitale Großstadtmäuse III,Eitelstraße 85,10317.0,Berlin,11400929
5094128260,52.37293,13.25982,Kita „Am Röthepfuhl“,Güterfelderstraße 35/36,14513.0,Teltow,
5233009250,52.57445,13.35522,Kita Kinderinsel Alt-Reinickendorf,,,,12100205
