id,points,inhabitants,_100k_inhabitants
011001,2,16293,0.16293
011002,1,13637,0.13637
011003,5,62233,0.62233
011004,2,32384,0.32384
012006,2,43624,0.43624
013008,2,40026,0.40026
014009,1,46542,0.46542
021001,1,40981,0.40981
022002,3,64657,0.64657
023003,2,19454,0.19454
024005,1,26010,0.2601
024006,2,27252,0.27252
025008,3,56770,0.5677
032002,1,30231,0.30231
035009,2,41559,0.41559
036011,1,27973,0.27973
036012,1,28115,0.28115
037015,2,27309,0.27309
037016,1,33591,0.33591
043004,1,42997,0.42997
043006,3,50836,0.50836
045010,3,40669,0.40669
045011,2,49498,0.49498
051003,4,41028,0.41028
061001,1,22146,0.22146
071001,1,26387,0.26387
072004,1,31676,0.31676
073005,2,25939,0.25939
074009,1,15380,0.1538
081001,1,33049,0.33049
081002,3,37581,0.37581
081003,2,37805,0.37805
081004,2,38919,0.38919
083009,1,20234,0.20234
092005,1,25664,0.25664
092007,1,22417,0.22417
101002,1,52190,0.5219
102004,1,44060,0.4406
102005,1,23435,0.23435
122005,1,11322,0.11322
