id,points,inhabitants,_100k_inhabitants
0110,10,124547,1.24547
0120,2,90529,0.90529
0130,2,78770,0.7877
0140,1,103158,1.03158
0210,1,40981,0.40981
0220,3,64657,0.64657
0230,2,45780,0.4578
0240,3,53262,0.53262
0250,3,87944,0.87944
0320,1,49064,0.49064
0350,2,57552,0.57552
0360,2,108982,1.08982
0370,3,60900,0.609
0430,4,109983,1.09983
0450,5,118483,1.18483
0510,4,113812,1.13812
0610,1,76247,0.76247
0710,1,50344,0.50344
0720,1,52923,0.52923
0730,2,47401,0.47401
0740,1,67378,0.67378
0810,8,162548,1.62548
0830,1,38731,0.38731
0920,2,75507,0.75507
1010,1,119584,1.19584
1020,2,93512,0.93512
1220,1,59919,0.59919
