id,points,inhabitants,_100k_inhabitants
01100102,2,2034,0.02034
01100206,1,1876,0.01876
01100309,2,12651,0.12651
01100310,2,10181,0.10181
01100313,1,11590,0.1159
01100415,1,13348,0.13348
01100416,1,13523,0.13523
01200624,2,6942,0.06942
01300835,1,10821,0.10821
01300836,1,14947,0.14947
01400941,1,3863,0.03863
02100104,1,5550,0.0555
02200209,1,10957,0.10957
02200212,1,8340,0.0834
02200213,1,10004,0.10004
02300314,2,7085,0.07085
02400522,1,11394,0.11394
02400625,2,1328,0.01328
02500830,1,4071,0.04071
02500833,1,10045,0.10045
02500835,1,8820,0.0882
03200206,1,6842,0.06842
03500934,1,10363,0.10363
03500935,1,6799,0.06799
03601142,1,10860,0.1086
03601243,1,6990,0.0699
03701554,1,11453,0.11453
03701556,1,8598,0.08598
03701660,1,12614,0.12614
04300416,1,11646,0.11646
04300622,2,5269,0.05269
04300623,1,12187,0.12187
04501041,2,5420,0.0542
04501042,1,3664,0.03664
04501146,1,4744,0.04744
04501153,1,7563,0.07563
05100316,4,10505,0.10505
06100103,1,6186,0.06186
07100101,1,9794,0.09794
07200410,1,5538,0.05538
07300516,1,8896,0.08896
07300517,1,10082,0.10082
07400927,1,11415,0.11415
08100101,1,4626,0.04626
08100206,3,9350,0.0935
08100310,1,7560,0.0756
08100311,1,7076,0.07076
08100416,1,6577,0.06577
08100418,1,9193,0.09193
08300934,1,12623,0.12623
09200510,1,8024,0.08024
09200716,1,8373,0.08373
10100210,1,10868,0.10868
10200421,1,1757,0.01757
10200524,1,11814,0.11814
12200515,1,11322,0.11322
