id,lat,lon,name,street,zip_code,city,planning_area_id
29040741,52.53437,13.35962,Filmrauschpalast,Lehrter Straße 35,10557.0,Berlin,01200624
79615774,52.58391,13.28600,CineStar,,,,12200515
101186634,52.54175,13.54202,UCI Am Eastgate,Märkische Allee 176-178,12681.0,Berlin,10100210
251559871,52.51291,13.45819,Kino Intimes,Boxhagener Straße 107,10245.0,Berlin,02500830
256754256,52.52589,13.41143,Kino Babylon,Rosa-Luxemburg-Straße 30,10178.0,Berlin,01100310
270347505,52.42218,13.75383,Kino Movieland,,,,
272004025,52.53850,13.20634,Cineplex,,,,05100316
273477667,52.46205,13.51217,Kino Spreehöfe,Wilhelminenhofstraße 89,12459.0,Berlin,09200510
277004600,52.47695,13.33045,Cosima,Sieglindestraße 10,12159.0,Berlin,07300517
281887442,52.54881,13.45092,Kino Toni & Tonino,Antonplatz 1,13086.0,Berlin,03500935
297512119,52.46693,13.32861,Cinema,Bundesallee 111,12161.0,Berlin,07300516
299288097,52.53546,13.20245,Kino im Kulturhaus Spandau,,,,05100316
306592727,52.41760,13.22637,Neue Kammerspiele,Karl-Marx-Straße 18,14532.0,Kleinmachnow,
312618622,52.50676,13.30842,Kant Kino,Kantstraße 54,10627.0,Berlin,04300623
313942258,52.53779,13.60411,CineStar,,,,10200421
331345531,52.48999,13.41014,Sputnik Kino,Hasenheide 54,10967.0,Berlin,02200212
333351711,52.48196,13.43169,Cineplex,,,,08100206
339825650,52.53649,13.40776,Lichtblick,Kastanienallee 77,10435.0,Berlin,03701554
343650200,52.52406,13.40190,Hackesche Höfe Kino,Rosenthaler Straße 40-41,10178.0,Berlin,01100309
343650283,52.52456,13.40184,Kino Central,Rosenthaler Straße 39,10178.0,Berlin,01100309
350460866,52.50152,13.41455,fsk - Kino am Oranienplatz,Segitzdamm 2,10969.0,Berlin,02100104
350460874,52.50065,13.41692,Babylon Kreuzberg,Dresdener Straße 126,10999.0,Berlin,02300314
352907002,52.48633,13.35939,Xenon,Kolonnenstraße 5,10827.0,Berlin,07200410
355946428,52.49304,13.38535,Yorck,Yorckstraße 86,10965.0,Berlin,02200209
388325296,52.58035,13.40148,Blauer Stern,Hermann-Hesse-Straße 11,13156.0,Berlin,03200206
391462594,52.42952,13.45544,UCI Kinowelt,Johannisthaler Chaussee 295,12351.0,Berlin,08300934
437291301,52.52021,13.41209,Cinestar Cubix am Alexanderplatz,Rathausstraße 1,10178.0,Berlin,01100310
447078290,52.55255,13.43058,Brotfabrik,,13086.0,Berlin,03500934
448811295,52.49033,13.42340,Moviemento,Kottbusser Damm 22,10967.0,Berlin,02200213
474801031,52.47748,13.43940,Passage,Karl-Marx-Straße 131,12043.0,Berlin,08100416
494156434,52.52075,13.44735,Tilsiter Lichtspiele,Richard-Sorge-Straße 25A,10249.0,Berlin,02400522
609911082,52.53365,13.40081,ACUDkino,Veteranenstraße 21,10119.0,Berlin,01100416
638313755,52.43584,13.54789,Casablanca,Friedenstraße 12,12489.0,Berlin,09200716
660899079,52.50406,13.42348,Freiluftkino Kreuzberg,Mariannenplatz 2,10997.0,Berlin,02300314
662864720,52.47879,13.42802,Rollberg Kino,Rollbergstraße 70,12053.0,Berlin,08100206
675243681,52.50864,13.37374,CinemaxX,Potsdamer Straße 5,10785.0,Berlin,01100102
792057385,52.53616,13.60946,Die Kiste,Heidenauer Straße 10,12627.0,Berlin,10200524
837792482,52.48342,13.42442,Neues Off,Hermannstraße 20,12049.0,Berlin,08100101
979081268,52.46414,13.32665,Titania-Palast,Gutsmuthsstraße 27-28,12163.0,Berlin,06100103
1197273317,52.53644,13.20150,OpenAirKino Spandau,Carl-Schurz-Straße 13,13597.0,Berlin,05100316
1336816758,52.53833,13.20280,Sweet Secrets,Jüdenstraße 29,13597.0,Berlin,05100316
1569218585,52.48961,13.42753,Kino Sex Shop,,,,08100311
1787511231,52.51187,13.46164,b-ware! ladenkino,Gärtnerstraße 19,10245.0,Berlin,02500833
1863569258,52.52903,13.43027,Filmtheater am Friedrichshain,Bötzowstraße 1-5,10407.0,Berlin,03701660
1934149453,52.50442,13.31965,filmkunst 66,Bleibtreustraße 12,10623.0,Berlin,04501041
1965270875,52.48379,13.42954,BE-KAS Sexothek & Kino,,,,08100206
2160083741,52.50606,13.33058,Delphi LUX,Kantstraße 10,10623.0,Berlin,04300622
2445454963,52.48468,13.32000,Eva Lichtspiele,Blissestraße 18,10713.0,Berlin,04501146
2458223837,52.55244,13.41956,Kino Krokodil,Greifenhagener Straße 32,10437.0,Berlin,03601243
2476268052,52.47898,13.32935,Bundesplatz Studio,Bundesplatz 14,10715.0,Berlin,04501153
2479053617,52.50209,13.32493,Cinema Paris,Kurfürstendamm 211,10719.0,Berlin,04501041
3675973920,52.50325,13.33002,Astor Film Lounge,Kurfürstendamm 225,10719.0,Berlin,04501042
3817115996,52.55858,13.33956,City Kino Wedding im Centre Français,,,,01400941
4007032909,52.54110,13.38494,Schneiders Filmclub,Gustav-Meyer-Allee 25,13355.0,Berlin,01300835
4723897691,52.48269,13.44191,Wolf Kino,Weserstraße 59,12045.0,Berlin,08100418
4894834027,52.53445,13.36000,umsonst&draussen,Lehrter Straße 35,10557.0,Berlin,01200624
5153435222,52.49166,13.43304,Il Kino,Nansenstraße 22,12047.0,Berlin,08100310
5389518870,52.49899,13.34270,Connection Shop und Kino,,,,07100101
6058229939,52.50526,13.44180,UCI Luxe East Side Gallery,Mildred-Harnack-Straße 13,10243.0,Berlin,02400625
6582271201,52.51843,13.39753,Zeughauskino,Unter den Linden 2,10117.0,Berlin,01100206
6697621223,52.50777,13.42599,Videokino Peliculoso,Köpenicker Straße 137,10179.0,Berlin,01100313
7141376790,52.52949,13.41302,Kino in der Königstadt,Straßburger Straße 55,10405.0,Berlin,03701556
7710353352,52.51273,13.44057,Hofkino,Franz-Mehring-Platz 1,10243.0,Berlin,02400625
7947855087,52.50543,13.29939,Klick Kino,Windscheidstraße 19,10627.0,Berlin,04300416
8012457520,52.38813,13.12158,fx center babelsberg,,,,
9079726511,52.52958,13.39586,Zinema,Bergstraße 2,10115.0,Berlin,01100415
9858868570,52.50878,13.36718,Sommerkino Kulturforum,Matthäikirchplatz 6,10785.0,Berlin,01100102
9938090502,52.46479,13.41066,Freiluftkino Insel,Oberlandstraße 26-35,12099.0,Berlin,07400927
10287958985,52.54379,13.36723,Sinema Transtopia,Lindower Straße 20/22,,,01300836
11200668007,52.54789,13.41304,Colosseum Filmtheater Berlin,Schönhauser Allee 123,10437.0,Berlin,03601142
12620520303,52.51347,13.32625,Charlies Campus Filmclub (Unikino TU Berlin),Straße des 17. Juni 136,10623.0,Berlin,04300622
13101175108,52.49796,13.46614,Freiluftkino Neue Zukunft,,,,02500835
