id,points,inhabitants,_100k_inhabitants
011002,3,13637,0.13637
011003,3,62233,0.62233
011004,2,32384,0.32384
012006,2,43624,0.43624
013008,1,40026,0.40026
014009,19,46542,0.46542
014010,2,56616,0.56616
021001,3,40981,0.40981
022002,2,64657,0.64657
023004,1,26326,0.26326
024006,3,27252,0.27252
025008,2,56770,0.5677
031001,2,17674,0.17674
032002,1,30231,0.30231
033004,1,20185,0.20185
034007,4,39348,0.39348
035009,1,41559,0.41559
035010,1,15993,0.15993
036011,1,27973,0.27973
036013,1,22853,0.22853
036014,1,30041,0.30041
042003,1,27965,0.27965
043004,2,42997,0.42997
043006,4,50836,0.50836
044007,1,19829,0.19829
044008,1,34447,0.34447
045009,4,28316,0.28316
045010,2,40669,0.40669
045011,4,49498,0.49498
051003,2,41028,0.41028
054009,1,20078,0.20078
061001,1,22146,0.22146
062003,2,44698,0.44698
062004,1,35974,0.35974
063006,1,49471,0.49471
064007,1,26664,0.26664
064008,3,42708,0.42708
071001,1,26387,0.26387
073006,1,21462,0.21462
074009,1,15380,0.1538
075010,1,32705,0.32705
075011,1,21059,0.21059
076015,1,31533,0.31533
081002,1,37581,0.37581
082008,1,29646,0.29646
084011,1,9662,0.09662
091004,1,21636,0.21636
092007,2,22417,0.22417
092008,2,12918,0.12918
094015,1,7494,0.07494
095017,1,19036,0.19036
095018,1,11138,0.11138
101003,1,42246,0.42246
102004,1,44060,0.4406
104009,1,30353,0.30353
112005,1,35756,0.35756
113006,2,34484,0.34484
113007,1,34329,0.34329
114009,1,35831,0.35831
114011,1,28351,0.28351
115013,2,31923,0.31923
121002,1,28322,0.28322
122003,1,28242,0.28242
122005,3,11322,0.11322
