id,points,inhabitants,_100k_inhabitants
0110,8,124547,1.24547
0120,2,90529,0.90529
0130,1,78770,0.7877
0140,21,103158,1.03158
0210,3,40981,0.40981
0220,2,64657,0.64657
0230,1,45780,0.4578
0240,3,53262,0.53262
0250,2,87944,0.87944
0310,2,17674,0.17674
0320,1,49064,0.49064
0330,1,37751,0.37751
0340,4,95353,0.95353
0350,2,57552,0.57552
0360,3,108982,1.08982
0420,1,41112,0.41112
0430,6,109983,1.09983
0440,2,54276,0.54276
0450,10,118483,1.18483
0510,2,113812,1.13812
0540,1,20078,0.20078
0610,1,76247,0.76247
0620,3,80672,0.80672
0630,1,83753,0.83753
0640,4,69372,0.69372
0710,1,50344,0.50344
0730,1,47401,0.47401
0740,1,67378,0.67378
0750,2,53764,0.53764
0760,1,85149,0.85149
0810,1,162548,1.62548
0820,1,74382,0.74382
0840,1,53827,0.53827
0910,1,66246,0.66246
0920,4,75507,0.75507
0940,1,39520,0.3952
0950,2,56161,0.56161
1010,1,119584,1.19584
1020,1,93512,0.93512
1040,1,50036,0.50036
1120,1,53086,0.53086
1130,3,79321,0.79321
1140,2,80743,0.80743
1150,2,36822,0.36822
1210,1,57082,0.57082
1220,4,59919,0.59919
