id,points,inhabitants,_100k_inhabitants
01100205,1,2917,0.02917
01100206,2,1876,0.01876
01100308,3,7297,0.07297
01100415,2,13348,0.13348
01200625,1,6905,0.06905
01200626,1,6079,0.06079
01300836,1,14947,0.14947
01400938,17,9681,0.09681
01400942,2,8789,0.08789
01401045,1,5531,0.05531
01401048,1,9520,0.0952
02100102,2,8660,0.0866
02100104,1,5550,0.0555
02200210,1,12350,0.1235
02200211,1,14595,0.14595
02300417,1,8301,0.08301
02400624,3,11887,0.11887
02500833,1,10045,0.10045
02500834,1,11299,0.11299
03100103,2,9449,0.09449
03200206,1,6842,0.06842
03300412,1,5226,0.05226
03400723,3,7507,0.07507
03400725,1,7645,0.07645
03500933,1,7686,0.07686
03501038,1,7506,0.07506
03601142,1,10860,0.1086
03601347,1,9495,0.09495
03601449,1,9928,0.09928
04200308,1,6113,0.06113
04300414,1,10581,0.10581
04300416,1,11646,0.11646
04300622,1,5269,0.05269
04300623,3,12187,0.12187
04400727,1,8322,0.08322
04400834,1,3384,0.03384
04500938,2,8281,0.08281
04500939,2,6761,0.06761
04501042,1,3664,0.03664
04501045,1,9363,0.09363
04501147,1,5452,0.05452
04501151,1,7420,0.0742
04501153,2,7563,0.07563
05100316,2,10505,0.10505
05400942,1,3691,0.03691
06100101,1,6912,0.06912
06200314,1,7210,0.0721
06200315,1,6890,0.0689
06200422,1,7009,0.07009
06300629,1,6988,0.06988
06400736,1,5139,0.05139
06400838,2,7341,0.07341
06400842,1,4773,0.04773
07100101,1,9794,0.09794
07300618,1,9243,0.09243
07400927,1,11415,0.11415
07501030,1,8753,0.08753
07501135,1,2257,0.02257
07601544,1,9262,0.09262
08100209,1,8834,0.08834
08200832,1,12116,0.12116
08401139,1,4092,0.04092
09100407,1,8670,0.0867
09200715,1,4259,0.04259
09200716,1,8373,0.08373
09200819,2,8588,0.08588
09401534,1,7494,0.07494
09501737,1,14359,0.14359
09501838,1,11138,0.11138
10100312,1,16216,0.16216
10200421,1,1757,0.01757
10400939,1,4529,0.04529
11200514,1,16289,0.16289
11300617,1,4407,0.04407
11300620,1,11346,0.11346
11300724,1,4372,0.04372
11400929,1,16901,0.16901
11401136,1,8336,0.08336
11501340,1,11246,0.11246
11501341,1,10103,0.10103
12100204,1,9554,0.09554
12200309,1,11286,0.11286
12200515,3,11322,0.11322
