id,lat,lon,name,street,zip_code,city,planning_area_id
669088712,52.43969,13.50016,Ärztehaus Johannisthal,Sterndamm 152,12487.0,Berlin,09100407
694302689,52.51514,13.49094,Ärztehaus am Roedeliusplatz,Schottstraße 4,10365.0,Berlin,11300724
872223518,52.49884,13.41985,Ärztehaus,,,,02300417
874357625,52.50279,13.41329,MVZ am Moritzplatz,Oranienstraße 158,10969.0,Berlin,02100104
911925361,52.57214,13.41697,Ärztehaus Damerowstraße,Damerowstraße 7,13187.0,Berlin,03400723
933513566,52.43929,13.21529,Ärztehaus am Schlachtensee,Breisgauer Straße 1-3,14129.0,Berlin,06400838
1038248666,52.50449,13.46806,Chirurgie & Orthopädie am Ostkreuz,Sonntagstraße 1,10245.0,Berlin,02500834
1168212013,52.42278,13.43525,MVZ-Vitalis,Alt-Buckow 9-11,12349.0,Berlin,08200832
1217659471,52.44414,13.23851,Nierenzentrum Zehlendorf,Fischerhüttenstraße 111,14163.0,Berlin,06400838
1272472319,52.51516,13.45114,DTZ Berlin - Ärztehaus Kadiner Straße,Kadiner Straße 23,10243.0,Berlin,02400624
1336685638,52.53695,13.20445,Ärztehaus,,,,05100316
1547846970,52.46483,13.69818,Ärztehaus Altes Kino,Brandenburgische Straße 76,15566.0,Schöneiche bei Berlin,
1618861746,52.44728,13.57586,Ärzte Zentrum Köpenick,,,,09401534
1724523076,52.44445,13.29126,Tagesklinik unter den Eichen,Unter den Eichen 93,12205.0,Berlin,06300629
1732901969,52.54662,13.35817,Medico Leopoldplatz,Müllerstraße 151,13353.0,Berlin,01400942
1734428743,52.58092,13.40264,Ärztehaus,Hermann-Hesse-Straße 4,13156.0,Berlin,03200206
1974936511,52.49106,13.29298,Praxis für Radioonkologie und Strahlentherapie,,,,04400727
2021436781,52.52751,13.54199,"Sana Gesundheitszentrum Marzahn ""Ernst Ludwig Heim""",Helene-Weigel-Platz 10,12681.0,Berlin,10100312
2105895889,52.45555,13.38608,Ärztehaus am Tempelhofer Hafen,Tempelhofer Damm 227,12099.0,Berlin,07400927
2126141390,52.59139,13.28371,Ärztehaus,Schloßstraße 5,13507.0,Berlin,12200515
2335086445,52.51220,13.45512,"Sana Gesundheitszentrum Friedrichshain ""Frédéric Joliot-Curie""",Grünberger Straße 43-45,10245.0,Berlin,02500833
2435045640,52.50674,13.39460,Rückenzentrum am Markgrafenpark,Markgrafenstraße 19,10969.0,Berlin,02100102
2495554370,52.48965,13.38875,MVZ Diagnostisches Zentrum Kreuzberg,,,,02200211
2509419045,52.46449,13.43322,Ärztehaus Neubritzer Tor,Hermannstraße 147,12051.0,Berlin,08100209
2557712726,52.52506,13.34413,Magnet MVZ Berlin,Alt-Moabit 90,10559.0,Berlin,01200626
2821025302,52.50768,13.30600,Nierenzentrum Charlottenburg,Wilmersdorfer Straße 57,10627.0,Berlin,04300623
2851155103,52.47664,13.31334,Zahnklinik/Zahnärztlicher Notfalldienst,Aßmannshauser Straße 4-6,14197.0,Berlin,04400834
2935287105,52.58389,13.28833,Gesundheitszentrum,,,,12200515
3310721906,52.58067,13.42383,Ärztehaus Galenusstraße,Galenusstraße 59,13187.0,Berlin,03400725
3371705079,52.43154,13.71563,Ärztehaus Rahnsdorf,Fürstenwalder Allee 318,12589.0,Berlin,09501838
3374664253,52.54251,13.34307,Frauenheilkunde und Geburtsmedizin,,,,01400938
3374664287,52.54147,13.34412,Klinik für Anästhesiologie und operative Intensivmedizin,,,,01400938
3374664288,52.54141,13.34250,Klinik für Augenheilkunde,,,,01400938
3374664289,52.54171,13.34521,Klinik für Neurologie,,,,01400938
3374664291,52.54118,13.34128,"Klinik für Psychiatrie, Psychosomatik und Psychotherapie des Kindes- und Jugendalters",,,,01400938
3374665793,52.54242,13.34187,Kliniken für Kinderheilkunde und Kinderchirurgie,,,,01400938
3374665794,52.53980,13.34522,Institut für Tropenmedizin und Internationale Gesundheit,,,,01400938
3442710834,52.61166,13.47396,Ärztehaus Karow,,,,03300412
3566078016,52.48255,13.52632,Ärztehaus Karlshorst,Ehrenfelsstraße 47,10318.0,Berlin,11501340
3656692668,52.44694,13.38519,MVZ Mariendorf,Mariendorfer Damm 64,12109.0,Berlin,07501030
3772788958,52.54168,13.34560,"Hals-, Nasen-, Ohrenheilkunde",,,,01400938
3772788960,52.54015,13.34431,Strahlentherapie Ambulantes Gesundheitszentrum,,,,01400938
3772788961,52.54022,13.34441,Nuklearmedizin Funktionsdiagnostik,,,,01400938
3772788962,52.53974,13.34523,Pharmakovigilanz- und Beratungszentrum für Embryonaltoxikologie,,,,01400938
3772789057,52.54077,13.34420,Klinik für Nuklearmedizin,,,,01400938
3772789058,52.54027,13.34522,Medizinische Klinik m.S. Infektiologie,,,,01400938
3772789059,52.54265,13.34510,Medizinische Kliniken,,,,01400938
3772789060,52.54152,13.34529,"Mund, Kiefer, Gesichtschirurgie",,,,01400938
3772789061,52.54130,13.34407,Unfall- und Wiederherstellungschirurgie,,,,01400938
3772804457,52.54079,13.34446,Klinik für Strahlenheilkunde,,,,01400938
3869328066,52.51158,13.31090,MVZ Dr. Kaleth & Kollegen,"Bismarckstraße 95,96",10625.0,Berlin,04300623
3923385926,52.49867,13.30661,Avicenna Klinik,Paulsborner Straße 2,10709.0,Berlin,04500938
4136419292,52.51216,13.38026,Ärztehaus Mitte Medizinisches Versorgungszentrum,In den Ministergärten 1,10117.0,Berlin,01100205
4317979052,52.45172,13.26305,MVZ Zehlendorf,Am Waldfriedhof 23,14169.0,Berlin,06400842
4436482371,52.55296,13.38021,MVZ Gesundbrunnen,Badstraße 32,13357.0,Berlin,01401045
4448386321,52.56746,13.31495,Gesundheitszentrum,General-Woyna-Straße 1,13403.0,Berlin,12200309
4450678325,52.43127,13.33658,copv.berlin,Kaiser-Wilhelm-Straße 24-26,12247.0,Berlin,06200314
4490976196,52.36703,13.13690,Ärztehaus,Konrad-Wolf-Allee 57,14480.0,Potsdam,
4553683090,52.54158,13.36887,Medio Berlin Ärztehaus Mitte,Fennstraße 3,13347.0,Berlin,01300836
4678698964,52.54894,13.59232,Ärztehaus Eiche,Landsberger Chaussee 14,16356.0,Ahrensfelde,
4834609482,52.56968,13.40621,MVZ Pankow Innere Medizin,Breite Straße 33,13187.0,Berlin,03400723
5030326571,52.53585,13.19523,MVZ am Bahnhof Spandau,Galenstraße 3,13597.0,Berlin,05100316
5037228530,52.45085,13.62388,Ärzte Zentrum am Markt,Bölschestraße 113,12587.0,Berlin,09501737
5049915761,52.48620,13.33248,B18 Gesundheitszentrum,Badensche Straße 18,10715.0,Berlin,04501153
5056974011,52.45654,13.31974,Privatklinik Schlossstraße - Fachklinik für Brustvergrößerung und Brustformung,,,,06100101
5186166876,52.50562,13.29929,MVZ Windscheidstraße,Windscheidstraße 18,10627.0,Berlin,04300416
5223291551,52.54103,13.41361,Ärztehaus Danziger Tor,,,,03601347
5318240550,52.42732,13.32628,Ärztehaus am Kranoldplatz,Oberhofer Weg 2,12209.0,Berlin,06200422
5325121987,52.51109,13.61210,Ärztehaus Mahlsdorf,Treskowstraße 73,,,10400939
5337915341,52.49697,13.33165,OP-Zentrum Spichernstraße,Spichernstraße 11,10777.0,Berlin,04501045
5418942204,52.52382,13.48005,Nierenzentrum Lichtenberg,Möllendorffstraße 45,10367.0,Berlin,11300620
5451412274,52.54920,13.41284,Ärzte Schönhauser,Schönhauser Allee 118,10437.0,Berlin,03601142
5779019383,52.49789,13.18066,Biberburg Med-Service GmbH,Gatower Straße 241,,,05400942
5890341827,52.56194,13.33216,Hausärztlich-Internistisches Versorgungszentrum,Scharnweberstraße 1,13405.0,Berlin,12100204
5903202921,52.55033,13.45913,HELIOS Medical Center Berlin-Weißensee,Berliner Allee 105,13088.0,Berlin,03500933
6171061086,52.47885,13.52428,Arztpraxen,Treskowallee 128,10318.0,Berlin,11501341
6347320701,52.52701,13.47877,CPC,Weißenseer Weg 111,10369.0,Berlin,11300617
6441944584,52.50704,13.30627,Ärztehaus,Wilmersdorfer Straße 62,10627.0,Berlin,04300623
6513517778,52.52632,13.37579,Psychiatrische Institutsambulanz,Bonhoefferweg 3,,,01100308
6710135969,52.55201,13.46624,Medizinisches Versorgungszentrum am Alexianer St. Joseph-​Krankenhaus Berlin-​Weißensee,Berliner Allee 158,13088.0,Berlin,03501038
7232410182,52.62672,13.50708,Hochschulambulanz Charité Buch,,,,03100103
7613394448,52.48860,13.30129,Ärztehaus Hohenzollerndamm,Hohenzollerndamm 47a,10713.0,Berlin,04500939
7640755741,52.47673,13.34227,Ästhetikwelt-Berlin,Hauptstraße 93,12159.0,Berlin,07300618
7680987922,52.47938,13.32762,MVZ psychische Gesundheit,Bundesplatz 4,10715.0,Berlin,04501151
7831880615,52.52925,13.39307,ZAR Berlin,Gartenstraße 5,10115.0,Berlin,01100415
7994883600,52.49761,13.29584,Ärztehaus,,,,04500938
8000598805,52.48670,13.32150,Ärztehaus,Berliner Straße 37,10715.0,Berlin,04501147
8245997146,52.48623,13.33239,Panomarana Klinik,Badensche Straße 18,10715.0,Berlin,04501153
8358306416,52.50435,13.34100,Ärztehaus am Europacenter,Nürnberger Straße 67,10787.0,Berlin,07100101
8378417924,52.49779,13.50974,Ärztehaus,Balatonstraße 20,10319.0,Berlin,11401136
8435708025,52.49716,13.30663,Zentrales Schlaflabor,Paderborner Straße 2/2A,10709.0,Berlin,04500939
8491450219,52.53343,13.47680,Ärztehaus,Landsberger Allee 201,13055.0,Berlin,11200514
8662563074,52.51166,13.44890,Perspektive Daheim,Gubener Straße 44,10243.0,Berlin,02400624
8850856433,52.42402,13.39457,Ärztehaus am Birnhornweg,Birnhornweg 5,12107.0,Berlin,07501135
