id,points,inhabitants,_100k_inhabitants
011001,4,16293,0.16293
011002,1,13637,0.13637
011003,14,62233,0.62233
011004,4,32384,0.32384
012005,9,46905,0.46905
012006,8,43624,0.43624
013007,14,38744,0.38744
013008,8,40026,0.40026
014009,6,46542,0.46542
014010,10,56616,0.56616
021001,10,40981,0.40981
022002,13,64657,0.64657
023003,6,19454,0.19454
023004,7,26326,0.26326
024005,7,26010,0.2601
024006,9,27252,0.27252
025007,4,31174,0.31174
025008,11,56770,0.5677
031001,2,17674,0.17674
032003,2,18833,0.18833
033004,1,20185,0.20185
033005,1,17566,0.17566
034006,2,18885,0.18885
034007,3,39348,0.39348
034008,1,37120,0.3712
035009,3,41559,0.41559
036011,4,27973,0.27973
036013,6,22853,0.22853
036014,1,30041,0.30041
037015,1,27309,0.27309
037016,4,33591,0.33591
041001,2,19646,0.19646
042002,1,13147,0.13147
042003,2,27965,0.27965
043004,4,42997,0.42997
043005,3,16150,0.1615
043006,4,50836,0.50836
044007,1,19829,0.19829
044008,5,34447,0.34447
045009,2,28316,0.28316
045010,6,40669,0.40669
045011,4,49498,0.49498
051001,5,29637,0.29637
051003,3,41028,0.41028
052005,4,30971,0.30971
052006,1,37211,0.37211
053008,4,13438,0.13438
054009,1,20078,0.20078
061002,3,54101,0.54101
062003,2,44698,0.44698
062004,2,35974,0.35974
063005,3,34282,0.34282
063006,2,49471,0.49471
064007,1,26664,0.26664
064008,3,42708,0.42708
071001,2,26387,0.26387
071002,3,23957,0.23957
072003,1,21247,0.21247
072004,7,31676,0.31676
073005,2,25939,0.25939
073006,4,21462,0.21462
074007,2,19307,0.19307
074008,3,32691,0.32691
074009,2,15380,0.1538
075010,5,32705,0.32705
075011,1,21059,0.21059
076012,2,17997,0.17997
081001,7,33049,0.33049
081002,9,37581,0.37581
081003,5,37805,0.37805
081004,5,38919,0.38919
081005,3,15194,0.15194
082006,1,21540,0.2154
082007,2,23196,0.23196
082008,2,29646,0.29646
083009,3,20234,0.20234
084012,1,44165,0.44165
091001,2,13453,0.13453
091002,1,11753,0.11753
091003,1,19404,0.19404
091004,3,21636,0.21636
092005,3,25664,0.25664
092006,1,14508,0.14508
092007,1,22417,0.22417
092008,3,12918,0.12918
093009,3,31244,0.31244
093010,2,15695,0.15695
093011,1,8376,0.08376
094013,2,12925,0.12925
094015,1,7494,0.07494
095017,1,19036,0.19036
095018,1,11138,0.11138
095019,2,12525,0.12525
101001,1,25148,0.25148
101002,2,52190,0.5219
101003,3,42246,0.42246
102004,1,44060,0.4406
102005,1,23435,0.23435
102006,1,26017,0.26017
103007,1,30959,0.30959
104008,1,19683,0.19683
104009,4,30353,0.30353
111002,3,30968,0.30968
111003,6,28157,0.28157
112004,2,17330,0.1733
112005,2,35756,0.35756
113006,2,34484,0.34484
113007,3,34329,0.34329
113008,1,10508,0.10508
114009,4,35831,0.35831
114010,2,16561,0.16561
114011,4,28351,0.28351
115012,1,4899,0.04899
115013,4,31923,0.31923
121001,3,28760,0.2876
121002,2,28322,0.28322
122003,1,28242,0.28242
122004,1,20355,0.20355
122005,3,11322,0.11322
124006,1,24332,0.24332
124007,6,32978,0.32978
126011,4,27454,0.27454
126012,2,13800,0.138
