id,points,inhabitants,_100k_inhabitants
0110,23,124547,1.24547
0120,17,90529,0.90529
0130,22,78770,0.7877
0140,16,103158,1.03158
0210,10,40981,0.40981
0220,13,64657,0.64657
0230,13,45780,0.4578
0240,16,53262,0.53262
0250,15,87944,0.87944
0310,2,17674,0.17674
0320,2,49064,0.49064
0330,2,37751,0.37751
0340,6,95353,0.95353
0350,3,57552,0.57552
0360,11,108982,1.08982
0370,5,60900,0.609
0410,2,19646,0.19646
0420,3,41112,0.41112
0430,11,109983,1.09983
0440,6,54276,0.54276
0450,12,118483,1.18483
0510,8,113812,1.13812
0520,5,91941,0.91941
0530,4,33446,0.33446
0540,1,20078,0.20078
0610,3,76247,0.76247
0620,4,80672,0.80672
0630,5,83753,0.83753
0640,4,69372,0.69372
0710,5,50344,0.50344
0720,8,52923,0.52923
0730,6,47401,0.47401
0740,7,67378,0.67378
0750,6,53764,0.53764
0760,2,85149,0.85149
0810,29,162548,1.62548
0820,5,74382,0.74382
0830,3,38731,0.38731
0840,1,53827,0.53827
0910,7,66246,0.66246
0920,8,75507,0.75507
0930,6,59802,0.59802
0940,3,39520,0.3952
0950,4,56161,0.56161
1010,6,119584,1.19584
1020,3,93512,0.93512
1030,1,30959,0.30959
1040,5,50036,0.50036
1110,9,65576,0.65576
1120,4,53086,0.53086
1130,6,79321,0.79321
1140,10,80743,0.80743
1150,5,36822,0.36822
1210,5,57082,0.57082
1220,5,59919,0.59919
1240,7,57310,0.5731
1260,6,50837,0.50837
