id,points,inhabitants,_100k_inhabitants
01100103,3,5790,0.0579
01100104,1,4889,0.04889
01100206,1,1876,0.01876
01100308,1,7297,0.07297
01100309,3,12651,0.12651
01100310,3,10181,0.10181
01100311,2,9787,0.09787
01100312,4,10727,0.10727
01100313,1,11590,0.1159
01100415,2,13348,0.13348
01100416,2,13523,0.13523
01200517,1,3924,0.03924
01200519,3,9592,0.09592
01200520,2,9513,0.09513
01200521,2,5259,0.05259
01200522,1,11521,0.11521
01200623,3,10990,0.1099
01200624,1,6942,0.06942
01200625,1,6905,0.06905
01200626,2,6079,0.06079
01200629,1,6039,0.06039
01300730,6,8060,0.0806
01300731,1,8922,0.08922
01300732,3,10078,0.10078
01300733,4,11684,0.11684
01300834,3,14258,0.14258
01300835,2,10821,0.10821
01300836,3,14947,0.14947
01400937,3,10966,0.10966
01400939,1,6149,0.06149
01400942,2,8789,0.08789
01401043,2,7627,0.07627
01401044,3,10226,0.10226
01401046,1,8869,0.08869
01401047,1,8206,0.08206
01401048,2,9520,0.0952
01401049,1,6637,0.06637
02100102,2,8660,0.0866
02100103,1,5470,0.0547
02100104,3,5550,0.0555
02100105,2,9263,0.09263
02100106,2,4813,0.04813
02200207,1,2666,0.02666
02200208,4,5745,0.05745
02200210,3,12350,0.1235
02200211,3,14595,0.14595
02200212,2,8340,0.0834
02300314,6,7085,0.07085
02300417,1,8301,0.08301
02300418,4,7629,0.07629
02300419,2,10396,0.10396
02400520,3,5904,0.05904
02400521,2,8712,0.08712
02400522,2,11394,0.11394
02400623,1,14037,0.14037
02400624,8,11887,0.11887
02500726,1,9175,0.09175
02500727,2,6519,0.06519
02500728,1,10073,0.10073
02500830,1,4071,0.04071
02500831,2,7857,0.07857
02500832,2,9541,0.09541
02500834,2,11299,0.11299
02500835,4,8820,0.0882
03100103,2,9449,0.09449
03200308,1,5261,0.05261
03200310,1,8088,0.08088
03300411,1,11764,0.11764
03300516,1,9560,0.0956
03400619,1,10596,0.10596
03400620,1,3506,0.03506
03400721,2,11895,0.11895
03400723,1,7507,0.07507
03400826,1,7222,0.07222
03500935,1,6799,0.06799
03500936,2,10052,0.10052
03601141,2,7057,0.07057
03601142,2,10860,0.1086
03601346,1,5888,0.05888
03601347,2,9495,0.09495
03601348,3,7470,0.0747
03601451,1,6527,0.06527
03701554,1,11453,0.11453
03701659,2,9477,0.09477
03701660,2,12614,0.12614
04100101,2,11768,0.11768
04200207,1,2996,0.02996
04200308,2,6113,0.06113
04300413,3,9973,0.09973
04300416,1,11646,0.11646
04300517,1,9468,0.09468
04300518,2,6682,0.06682
04300622,4,5269,0.05269
04400726,1,5417,0.05417
04400830,1,8457,0.08457
04400833,3,3901,0.03901
04400834,1,3384,0.03384
04500939,2,6761,0.06761
04501040,1,5895,0.05895
04501042,1,3664,0.03664
04501043,1,10999,0.10999
04501044,1,5328,0.05328
04501045,2,9363,0.09363
04501147,1,5452,0.05452
04501148,1,4564,0.04564
04501150,1,3016,0.03016
04501153,1,7563,0.07563
05100101,1,4504,0.04504
05100103,1,6107,0.06107
05100104,3,6960,0.0696
05100314,1,7493,0.07493
05100316,2,10505,0.10505
05200527,3,12030,0.1203
05200528,1,7291,0.07291
05200634,1,4319,0.04319
05300841,4,4605,0.04605
05400943,1,10533,0.10533
06100205,1,9988,0.09988
06100207,2,8168,0.08168
06200313,2,7395,0.07395
06200421,1,8417,0.08417
06200423,1,8606,0.08606
06300526,1,3350,0.0335
06300527,1,8541,0.08541
06300528,1,10947,0.10947
06300630,1,5667,0.05667
06300633,1,11955,0.11955
06400735,1,10188,0.10188
06400838,1,7341,0.07341
06400840,1,7080,0.0708
06400841,1,6191,0.06191
07100102,1,8696,0.08696
07100103,1,7897,0.07897
07100204,1,10425,0.10425
07100205,2,5177,0.05177
07200308,1,10698,0.10698
07200409,1,9300,0.093
07200410,2,5538,0.05538
07200411,2,2741,0.02741
07200414,2,3778,0.03778
07300516,2,8896,0.08896
07300618,1,9243,0.09243
07300619,3,12219,0.12219
07400721,2,7639,0.07639
07400822,1,3291,0.03291
07400824,1,7387,0.07387
07400825,1,7213,0.07213
07400927,2,11415,0.11415
07501029,1,8544,0.08544
07501030,2,8753,0.08753
07501031,1,9124,0.09124
07501032,1,6284,0.06284
07501133,1,8254,0.08254
07601237,2,4785,0.04785
08100102,5,8181,0.08181
08100104,1,6699,0.06699
08100105,1,6338,0.06338
08100206,2,9350,0.0935
08100207,3,7442,0.07442
08100208,2,11955,0.11955
08100209,2,8834,0.08834
08100310,1,7560,0.0756
08100311,2,7076,0.07076
08100312,1,11499,0.11499
08100314,1,7930,0.0793
08100415,2,6388,0.06388
08100417,1,9569,0.09569
08100418,2,9193,0.09193
08100521,3,9457,0.09457
08200623,1,6692,0.06692
08200726,1,6109,0.06109
08200729,1,1869,0.01869
08200833,2,9255,0.09255
08300934,1,12623,0.12623
08300935,2,7611,0.07611
08401243,1,10078,0.10078
09100101,2,13453,0.13453
09100202,1,4280,0.0428
09100304,1,12007,0.12007
09100407,1,8670,0.0867
09100408,2,8870,0.0887
09200511,1,13207,0.13207
09200512,2,4433,0.04433
09200613,1,10704,0.10704
09200717,1,9785,0.09785
09200819,3,8588,0.08588
09300920,1,13253,0.13253
09300922,1,6013,0.06013
09300923,1,9100,0.091
09301025,2,11919,0.11919
09301126,1,8376,0.08376
09401329,2,11009,0.11009
09401534,1,7494,0.07494
09501737,1,14359,0.14359
09501838,1,11138,0.11138
09501940,2,2759,0.02759
10100102,1,3680,0.0368
10100210,2,10868,0.10868
10100312,1,16216,0.16216
10100313,1,4981,0.04981
10100314,1,6455,0.06455
10200421,1,1757,0.01757
10200524,1,11814,0.11814
10200629,1,9187,0.09187
10300732,1,7237,0.07237
10400836,1,3981,0.03981
10400938,1,10234,0.10234
10400941,3,9743,0.09743
11100204,2,7463,0.07463
11100206,1,7807,0.07807
11100307,5,11702,0.11702
11100308,1,9886,0.09886
11200410,1,10413,0.10413
11200411,1,6917,0.06917
11200512,1,3999,0.03999
11200513,1,10466,0.10466
11300616,1,5992,0.05992
11300618,1,3850,0.0385
11300724,1,4372,0.04372
11300725,2,10202,0.10202
11300826,1,10508,0.10508
11400928,1,2933,0.02933
11400929,3,16901,0.16901
11401033,2,6890,0.0689
11401135,3,11011,0.11011
11401136,1,8336,0.08336
11501238,1,4899,0.04899
11501339,3,10574,0.10574
11501341,1,10103,0.10103
12100102,3,9980,0.0998
12100205,1,13988,0.13988
12100206,1,4780,0.0478
12200308,1,5868,0.05868
12200411,1,294,0.00294
12200515,3,11322,0.11322
12400616,1,6113,0.06113
12400721,4,7891,0.07891
12400723,2,8090,0.0809
12601134,4,16006,0.16006
12601235,2,10610,0.1061
