id,points,inhabitants,_100k_inhabitants
011001,7,16293,0.16293
011002,4,13637,0.13637
011003,45,62233,0.62233
011004,17,32384,0.32384
012005,28,46905,0.46905
012006,18,43624,0.43624
013007,30,38744,0.38744
013008,17,40026,0.40026
014009,22,46542,0.46542
014010,53,56616,0.56616
021001,20,40981,0.40981
022002,32,64657,0.64657
023003,23,19454,0.19454
023004,20,26326,0.26326
024005,7,26010,0.2601
024006,11,27252,0.27252
025007,27,31174,0.31174
025008,73,56770,0.5677
032002,2,30231,0.30231
032003,2,18833,0.18833
033005,1,17566,0.17566
034006,1,18885,0.18885
034007,8,39348,0.39348
034008,8,37120,0.3712
035009,18,41559,0.41559
035010,2,15993,0.15993
036011,19,27973,0.27973
036012,12,28115,0.28115
036013,24,22853,0.22853
036014,2,30041,0.30041
037015,22,27309,0.27309
037016,14,33591,0.33591
041001,1,19646,0.19646
042002,1,13147,0.13147
042003,4,27965,0.27965
043004,9,42997,0.42997
043005,1,16150,0.1615
043006,32,50836,0.50836
044007,1,19829,0.19829
044008,7,34447,0.34447
045009,4,28316,0.28316
045010,14,40669,0.40669
045011,17,49498,0.49498
051001,1,29637,0.29637
051003,9,41028,0.41028
052004,1,23759,0.23759
052005,2,30971,0.30971
052006,6,37211,0.37211
053007,2,20008,0.20008
053008,2,13438,0.13438
054009,1,20078,0.20078
061001,6,22146,0.22146
061002,7,54101,0.54101
062003,5,44698,0.44698
062004,4,35974,0.35974
063005,2,34282,0.34282
063006,3,49471,0.49471
064007,2,26664,0.26664
064008,5,42708,0.42708
071001,5,26387,0.26387
071002,9,23957,0.23957
072003,6,21247,0.21247
072004,20,31676,0.31676
073005,4,25939,0.25939
073006,3,21462,0.21462
074007,4,19307,0.19307
074008,5,32691,0.32691
074009,4,15380,0.1538
075010,4,32705,0.32705
075011,2,21059,0.21059
076014,2,21257,0.21257
081001,23,33049,0.33049
081002,30,37581,0.37581
081003,36,37805,0.37805
081004,17,38919,0.38919
081005,2,15194,0.15194
082006,5,21540,0.2154
082007,1,23196,0.23196
083009,2,20234,0.20234
084011,1,9662,0.09662
084012,2,44165,0.44165
091001,8,13453,0.13453
091003,7,19404,0.19404
091004,2,21636,0.21636
092005,9,25664,0.25664
092006,4,14508,0.14508
092007,5,22417,0.22417
093010,1,15695,0.15695
093011,3,8376,0.08376
094015,2,7494,0.07494
095017,1,19036,0.19036
095019,5,12525,0.12525
101001,1,25148,0.25148
101002,1,52190,0.5219
101003,1,42246,0.42246
102005,2,23435,0.23435
102006,1,26017,0.26017
103007,3,30959,0.30959
104008,2,19683,0.19683
111002,1,30968,0.30968
111003,1,28157,0.28157
112004,3,17330,0.1733
112005,2,35756,0.35756
113006,1,34484,0.34484
113007,8,34329,0.34329
113008,2,10508,0.10508
114009,18,35831,0.35831
114010,1,16561,0.16561
114011,4,28351,0.28351
115012,1,4899,0.04899
121001,12,28760,0.2876
121002,6,28322,0.28322
122003,3,28242,0.28242
122005,8,11322,0.11322
124006,1,24332,0.24332
125008,1,16760,0.1676
