id,points,inhabitants,_100k_inhabitants
0110,73,124547,1.24547
0120,46,90529,0.90529
0130,47,78770,0.7877
0140,75,103158,1.03158
0210,20,40981,0.40981
0220,32,64657,0.64657
0230,43,45780,0.4578
0240,18,53262,0.53262
0250,100,87944,0.87944
0320,4,49064,0.49064
0330,1,37751,0.37751
0340,17,95353,0.95353
0350,20,57552,0.57552
0360,57,108982,1.08982
0370,36,60900,0.609
0410,1,19646,0.19646
0420,5,41112,0.41112
0430,42,109983,1.09983
0440,8,54276,0.54276
0450,35,118483,1.18483
0510,10,113812,1.13812
0520,9,91941,0.91941
0530,4,33446,0.33446
0540,1,20078,0.20078
0610,13,76247,0.76247
0620,9,80672,0.80672
0630,5,83753,0.83753
0640,7,69372,0.69372
0710,14,50344,0.50344
0720,26,52923,0.52923
0730,7,47401,0.47401
0740,13,67378,0.67378
0750,6,53764,0.53764
0760,2,85149,0.85149
0810,108,162548,1.62548
0820,6,74382,0.74382
0830,2,38731,0.38731
0840,3,53827,0.53827
0910,17,66246,0.66246
0920,18,75507,0.75507
0930,4,59802,0.59802
0940,2,39520,0.3952
0950,6,56161,0.56161
1010,3,119584,1.19584
1020,3,93512,0.93512
1030,3,30959,0.30959
1040,2,50036,0.50036
1110,2,65576,0.65576
1120,5,53086,0.53086
1130,11,79321,0.79321
1140,23,80743,0.80743
1150,1,36822,0.36822
1210,18,57082,0.57082
1220,11,59919,0.59919
1240,1,57310,0.5731
1250,1,48950,0.4895
