id,points,inhabitants,_100k_inhabitants
01100102,3,2034,0.02034
01100104,4,4889,0.04889
01100205,1,2917,0.02917
01100206,1,1876,0.01876
01100207,2,8844,0.08844
01100308,7,7297,0.07297
01100309,16,12651,0.12651
01100310,11,10181,0.10181
01100311,2,9787,0.09787
01100312,7,10727,0.10727
01100313,2,11590,0.1159
01100415,7,13348,0.13348
01100416,10,13523,0.13523
01200517,3,3924,0.03924
01200518,3,7096,0.07096
01200519,5,9592,0.09592
01200520,6,9513,0.09513
01200521,6,5259,0.05259
01200522,5,11521,0.11521
01200623,6,10990,0.1099
01200624,2,6942,0.06942
01200625,5,6905,0.06905
01200626,2,6079,0.06079
01200627,1,3388,0.03388
01200628,1,3281,0.03281
01200629,1,6039,0.06039
01300730,10,8060,0.0806
01300731,6,8922,0.08922
01300732,7,10078,0.10078
01300733,7,11684,0.11684
01300834,5,14258,0.14258
01300835,3,10821,0.10821
01300836,9,14947,0.14947
01400937,3,10966,0.10966
01400938,7,9681,0.09681
01400939,2,6149,0.06149
01400942,10,8789,0.08789
01401043,6,7627,0.07627
01401044,10,10226,0.10226
01401045,6,5531,0.05531
01401046,9,8869,0.08869
01401047,9,8206,0.08206
01401048,6,9520,0.0952
01401049,7,6637,0.06637
02100101,3,7225,0.07225
02100102,3,8660,0.0866
02100103,5,5470,0.0547
02100104,2,5550,0.0555
02100105,5,9263,0.09263
02100106,2,4813,0.04813
02200208,1,5745,0.05745
02200209,4,10957,0.10957
02200210,6,12350,0.1235
02200211,7,14595,0.14595
02200212,3,8340,0.0834
02200213,11,10004,0.10004
02300314,9,7085,0.07085
02300315,10,8209,0.08209
02300316,4,4160,0.0416
02300417,5,8301,0.08301
02300418,3,7629,0.07629
02300419,12,10396,0.10396
02400521,2,8712,0.08712
02400522,5,11394,0.11394
02400623,4,14037,0.14037
02400624,5,11887,0.11887
02400625,2,1328,0.01328
02500726,10,9175,0.09175
02500727,2,6519,0.06519
02500728,13,10073,0.10073
02500729,2,5407,0.05407
02500830,8,4071,0.04071
02500831,6,7857,0.07857
02500832,7,9541,0.09541
02500833,29,10045,0.10045
02500834,15,11299,0.11299
02500835,8,8820,0.0882
03200205,1,9167,0.09167
03200206,1,6842,0.06842
03200309,1,5484,0.05484
03200310,1,8088,0.08088
03300516,1,9560,0.0956
03400619,1,10596,0.10596
03400721,4,11895,0.11895
03400722,1,3807,0.03807
03400723,3,7507,0.07507
03400826,2,7222,0.07222
03400827,3,9703,0.09703
03400828,1,4934,0.04934
03400830,1,9293,0.09293
03400831,1,0,0.0
03500933,1,7686,0.07686
03500934,3,10363,0.10363
03500935,8,6799,0.06799
03500936,6,10052,0.10052
03501037,1,8487,0.08487
03501038,1,7506,0.07506
03601139,1,4040,0.0404
03601140,1,6016,0.06016
03601141,9,7057,0.07057
03601142,8,10860,0.1086
03601243,5,6990,0.0699
03601244,3,7614,0.07614
03601245,4,13511,0.13511
03601346,8,5888,0.05888
03601347,8,9495,0.09495
03601348,8,7470,0.0747
03601451,1,6527,0.06527
03601452,1,4746,0.04746
03701554,15,11453,0.11453
03701555,6,7258,0.07258
03701556,1,8598,0.08598
03701658,3,8285,0.08285
03701659,7,9477,0.09477
03701660,4,12614,0.12614
04100102,1,7878,0.07878
04200205,1,2522,0.02522
04200310,2,7533,0.07533
04200311,2,7424,0.07424
04300413,4,9973,0.09973
04300414,1,10581,0.10581
04300415,1,6258,0.06258
04300416,3,11646,0.11646
04300518,1,6682,0.06682
04300619,3,9007,0.09007
04300620,2,4118,0.04118
04300621,6,10941,0.10941
04300622,2,5269,0.05269
04300623,14,12187,0.12187
04300624,5,9314,0.09314
04400729,1,2840,0.0284
04400830,2,8457,0.08457
04400832,2,6998,0.06998
04400834,1,3384,0.03384
04400835,2,10164,0.10164
04500936,1,5621,0.05621
04500937,1,7653,0.07653
04500938,1,8281,0.08281
04500939,1,6761,0.06761
04501040,4,5895,0.05895
04501042,3,3664,0.03664
04501044,4,5328,0.05328
04501045,3,9363,0.09363
04501146,1,4744,0.04744
04501147,3,5452,0.05452
04501148,1,4564,0.04564
04501149,6,9878,0.09878
04501150,2,3016,0.03016
04501151,1,7420,0.0742
04501152,2,6861,0.06861
04501153,1,7563,0.07563
05100103,1,6107,0.06107
05100312,1,4007,0.04007
05100316,7,10505,0.10505
05100317,1,4458,0.04458
05200419,1,1632,0.01632
05200527,2,12030,0.1203
05200630,4,10042,0.10042
05200631,1,8679,0.08679
05200634,1,4319,0.04319
05300737,2,11913,0.11913
05300839,2,8314,0.08314
05400942,1,3691,0.03691
06100102,3,9048,0.09048
06100103,3,6186,0.06186
06100205,2,9988,0.09988
06100208,5,7065,0.07065
06200313,3,7395,0.07395
06200314,1,7210,0.0721
06200316,1,5788,0.05788
06200422,4,7009,0.07009
06300526,1,3350,0.0335
06300528,1,10947,0.10947
06300630,1,5667,0.05667
06300633,2,11955,0.11955
06400735,2,10188,0.10188
06400838,1,7341,0.07341
06400839,1,5370,0.0537
06400840,1,7080,0.0708
06400841,2,6191,0.06191
07100101,1,9794,0.09794
07100102,3,8696,0.08696
07100103,1,7897,0.07897
07100204,2,10425,0.10425
07100205,4,5177,0.05177
07100206,3,8355,0.08355
07200308,6,10698,0.10698
07200409,8,9300,0.093
07200410,4,5538,0.05538
07200411,4,2741,0.02741
07200413,2,7708,0.07708
