id,points,inhabitants,_100k_inhabitants
01100206,1,1876,0.01876
01100207,1,8844,0.08844
01100308,1,7297,0.07297
01100309,1,12651,0.12651
01100311,1,9787,0.09787
01300730,2,8060,0.0806
01300835,1,10821,0.10821
01300836,1,14947,0.14947
01401044,2,10226,0.10226
02100102,1,8660,0.0866
02200209,1,10957,0.10957
03601244,1,7614,0.07614
03601346,1,5888,0.05888
03601348,1,7470,0.0747
03701556,1,8598,0.08598
06100102,1,9048,0.09048
07100204,1,10425,0.10425
07200409,2,9300,0.093
07200410,2,5538,0.05538
08100103,1,7205,0.07205
08100206,1,9350,0.0935
08100312,1,11499,0.11499
08100416,1,6577,0.06577
08100419,1,7192,0.07192
