id,lat,lon,name,street,zip_code,city,planning_area_id
705765189,52.45923,13.31951,lanconference.de,Rothenburgstraße 41,12163.0,Berlin,06100102
1232688398,52.48628,13.35992,CoWoS,Kolonnenstraße 8,10827.0,Berlin,07200410
1244345598,52.51440,13.41857,DB mindbox,Holzmarktstraße 6-9,10179.0,Berlin,01100311
1784674880,52.54323,13.41421,Office Club,Pappelallee 78/79,10437.0,Berlin,03601346
3605164303,52.48688,13.43280,Weserland Coworking Berlin,Weserstraße 21,12045.0,Berlin,08100312
3768830257,52.48659,13.35569,Roof Up,Akazienstraße 3,10823.0,Berlin,07200409
4225752737,52.53404,13.37040,Amapola Coworking,Scharnhorststraße 24,10115.0,Berlin,01100308
4306070496,52.51234,13.39013,mindspace,Friedrichstraße 68,10117.0,Berlin,01100206
4476799907,52.52466,13.40469,WeWork Hackescher Markt,Neue Schönhauser Straße 3-5,10178.0,Berlin,01100309
4498449571,52.47408,13.42658,D.Collective,Okerstraße 45,12049.0,Berlin,08100103
5103564057,52.54122,13.39060,Ahoy! Berlin,Wattstraße 11,13355.0,Berlin,01300835
5367928671,52.49160,13.36039,rent24,Potsdamer Straße 188,10783.0,Berlin,07100204
6251995790,52.54968,13.36995,Cultivation Space,Gottschedstrasse 4,13357.0,Berlin,01401044
6311537150,52.54839,13.42657,Happy Pigeons Co-working,,,,03601244
6403066082,52.50657,13.39160,betahaus,Rudi-Dutschke-Straße 23,10969.0,Berlin,02100102
6753987908,52.52944,13.41334,KUGU Home GmbH,Straßburger Straße 9F,10405.0,Berlin,03701556
6915842784,52.47592,13.44373,Unicorn Village,Richardstraße 85/86,12043.0,Berlin,08100416
7126670562,52.48676,13.35559,Space Shack,Akazienstraße 3a,10823.0,Berlin,07200409
7310118044,52.54186,13.42538,Wonder,Prenzlauer Allee 186,10405.0,Berlin,03601348
8919934740,52.56039,13.37717,,,,,01300730
9577860884,52.54193,13.37226,Werkstatt23,Schönwalder Straße 23,13347.0,Berlin,01300836
10064479039,52.50791,13.39143,Mindspace,,,,01100207
10133253469,52.55984,13.37717,,,,,01300730
10133253470,52.55370,13.37458,,,,,01401044
10741548148,52.47913,13.43266,Rollwerk,Rollbergstraße 28a,12053.0,Berlin,08100206
11051017210,52.49305,13.38353,UMA Hub,Großbeerenstraße 60,,,02200209
11285466133,52.48462,13.44938,workish.berlin,,,,08100419
12553582106,52.48635,13.35881,Cowos,,,,07200410
