id,points,inhabitants,_100k_inhabitants
011001,3,16293,0.16293
011002,13,13637,0.13637
011003,16,62233,0.62233
011004,15,32384,0.32384
012005,14,46905,0.46905
012006,10,43624,0.43624
013007,10,38744,0.38744
013008,10,40026,0.40026
014009,24,46542,0.46542
014010,12,56616,0.56616
021001,15,40981,0.40981
022002,21,64657,0.64657
023003,9,19454,0.19454
023004,7,26326,0.26326
024005,5,26010,0.2601
024006,13,27252,0.27252
025007,14,31174,0.31174
025008,17,56770,0.5677
031001,2,17674,0.17674
032002,13,30231,0.30231
032003,1,18833,0.18833
033004,5,20185,0.20185
033005,5,17566,0.17566
034006,2,18885,0.18885
034007,17,39348,0.39348
034008,11,37120,0.3712
035009,16,41559,0.41559
035010,4,15993,0.15993
036011,20,27973,0.27973
036012,6,28115,0.28115
036013,20,22853,0.22853
036014,15,30041,0.30041
037015,22,27309,0.27309
037016,26,33591,0.33591
041001,1,19646,0.19646
042003,8,27965,0.27965
043004,8,42997,0.42997
043005,5,16150,0.1615
043006,40,50836,0.50836
044007,6,19829,0.19829
044008,26,34447,0.34447
045009,32,28316,0.28316
045010,39,40669,0.40669
045011,48,49498,0.49498
051001,2,29637,0.29637
051002,1,43147,0.43147
051003,10,41028,0.41028
052004,2,23759,0.23759
052005,2,30971,0.30971
052006,11,37211,0.37211
053007,1,20008,0.20008
053008,2,13438,0.13438
054009,9,20078,0.20078
061001,77,22146,0.22146
061002,16,54101,0.54101
062003,14,44698,0.44698
062004,14,35974,0.35974
063005,2,34282,0.34282
063006,12,49471,0.49471
064007,4,26664,0.26664
064008,15,42708,0.42708
071001,14,26387,0.26387
071002,5,23957,0.23957
072003,30,21247,0.21247
072004,26,31676,0.31676
073005,62,25939,0.25939
073006,23,21462,0.21462
074007,6,19307,0.19307
074008,5,32691,0.32691
074009,5,15380,0.1538
075010,6,32705,0.32705
075011,3,21059,0.21059
076012,2,17997,0.17997
076014,6,21257,0.21257
076015,20,31533,0.31533
081001,15,33049,0.33049
081002,41,37581,0.37581
081003,19,37805,0.37805
081004,7,38919,0.38919
081005,1,15194,0.15194
082006,9,21540,0.2154
082007,3,23196,0.23196
082008,2,29646,0.29646
083009,5,20234,0.20234
084011,3,9662,0.09662
084012,9,44165,0.44165
091001,14,13453,0.13453
091002,2,11753,0.11753
091003,3,19404,0.19404
091004,7,21636,0.21636
092005,10,25664,0.25664
092006,8,14508,0.14508
092007,10,22417,0.22417
092008,3,12918,0.12918
093009,6,31244,0.31244
093010,6,15695,0.15695
093011,4,8376,0.08376
094013,9,12925,0.12925
094014,1,12042,0.12042
094015,8,7494,0.07494
094016,2,7059,0.07059
095017,3,19036,0.19036
095018,1,11138,0.11138
095019,3,12525,0.12525
095020,8,13462,0.13462
101002,1,52190,0.5219
101003,3,42246,0.42246
102004,7,44060,0.4406
102005,3,23435,0.23435
102006,4,26017,0.26017
103007,11,30959,0.30959
104008,9,19683,0.19683
104009,7,30353,0.30353
111002,1,30968,0.30968
111003,2,28157,0.28157
112004,3,17330,0.1733
112005,5,35756,0.35756
113006,4,34484,0.34484
113007,12,34329,0.34329
113008,1,10508,0.10508
114009,8,35831,0.35831
114011,8,28351,0.28351
115012,1,4899,0.04899
115013,15,31923,0.31923
121001,13,28760,0.2876
121002,17,28322,0.28322
122003,3,28242,0.28242
122005,8,11322,0.11322
124006,5,24332,0.24332
124007,21,32978,0.32978
125008,1,16760,0.1676
125009,2,32190,0.3219
126011,18,27454,0.27454
