id,points,inhabitants,_100k_inhabitants
0110,47,124547,1.24547
0120,24,90529,0.90529
0130,20,78770,0.7877
0140,36,103158,1.03158
0210,15,40981,0.40981
0220,21,64657,0.64657
0230,16,45780,0.4578
0240,18,53262,0.53262
0250,31,87944,0.87944
0310,2,17674,0.17674
0320,14,49064,0.49064
0330,10,37751,0.37751
0340,30,95353,0.95353
0350,20,57552,0.57552
0360,61,108982,1.08982
0370,48,60900,0.609
0410,1,19646,0.19646
0420,8,41112,0.41112
0430,53,109983,1.09983
0440,32,54276,0.54276
0450,119,118483,1.18483
0510,13,113812,1.13812
0520,15,91941,0.91941
0530,3,33446,0.33446
0540,9,20078,0.20078
0610,93,76247,0.76247
0620,28,80672,0.80672
0630,14,83753,0.83753
0640,19,69372,0.69372
0710,19,50344,0.50344
0720,56,52923,0.52923
0730,85,47401,0.47401
0740,16,67378,0.67378
0750,9,53764,0.53764
0760,28,85149,0.85149
0810,83,162548,1.62548
0820,14,74382,0.74382
0830,5,38731,0.38731
0840,12,53827,0.53827
0910,26,66246,0.66246
0920,31,75507,0.75507
0930,16,59802,0.59802
0940,20,39520,0.3952
0950,15,56161,0.56161
1010,4,119584,1.19584
1020,14,93512,0.93512
1030,11,30959,0.30959
1040,16,50036,0.50036
1110,3,65576,0.65576
1120,8,53086,0.53086
1130,17,79321,0.79321
1140,16,80743,0.80743
1150,16,36822,0.36822
1210,30,57082,0.57082
1220,11,59919,0.59919
1240,26,57310,0.5731
1250,3,48950,0.4895
1260,18,50837,0.50837
