id,points,inhabitants,_100k_inhabitants
01100102,1,2034,0.02034
01100103,2,5790,0.0579
01100205,1,2917,0.02917
01100206,5,1876,0.01876
01100207,7,8844,0.08844
01100308,6,7297,0.07297
01100309,8,12651,0.12651
01100310,1,10181,0.10181
01100313,1,11590,0.1159
01100414,2,5513,0.05513
01100415,7,13348,0.13348
01100416,6,13523,0.13523
01200519,3,9592,0.09592
01200520,2,9513,0.09513
01200521,4,5259,0.05259
01200522,5,11521,0.11521
01200623,1,10990,0.1099
01200626,5,6079,0.06079
01200629,4,6039,0.06039
01300730,3,8060,0.0806
01300731,1,8922,0.08922
01300732,1,10078,0.10078
01300733,5,11684,0.11684
01300834,2,14258,0.14258
01300835,2,10821,0.10821
01300836,6,14947,0.14947
01400937,2,10966,0.10966
01400938,7,9681,0.09681
01400939,5,6149,0.06149
01400940,1,7094,0.07094
01400942,9,8789,0.08789
01401043,3,7627,0.07627
01401045,3,5531,0.05531
01401046,1,8869,0.08869
01401047,2,8206,0.08206
01401048,3,9520,0.0952
02100101,4,7225,0.07225
02100102,8,8660,0.0866
02100104,2,5550,0.0555
02100105,1,9263,0.09263
02200208,1,5745,0.05745
02200209,5,10957,0.10957
02200210,4,12350,0.1235
02200211,9,14595,0.14595
02200213,2,10004,0.10004
02300314,5,7085,0.07085
02300315,3,8209,0.08209
02300316,1,4160,0.0416
02300417,2,8301,0.08301
02300418,3,7629,0.07629
02300419,2,10396,0.10396
02400520,1,5904,0.05904
02400522,4,11394,0.11394
02400623,3,14037,0.14037
02400624,9,11887,0.11887
02400625,1,1328,0.01328
02500726,5,9175,0.09175
02500727,2,6519,0.06519
02500728,6,10073,0.10073
02500729,1,5407,0.05407
02500831,3,7857,0.07857
02500832,4,9541,0.09541
02500833,2,10045,0.10045
02500834,5,11299,0.11299
02500835,2,8820,0.0882
02500836,1,5137,0.05137
03100103,2,9449,0.09449
03200205,3,9167,0.09167
03200206,5,6842,0.06842
03200207,5,11799,0.11799
03200308,1,5261,0.05261
03300411,3,11764,0.11764
03300412,2,5226,0.05226
03300514,3,6869,0.06869
03300516,2,9560,0.0956
03400619,2,10596,0.10596
03400721,4,11895,0.11895
03400722,1,3807,0.03807
03400723,12,7507,0.07507
03400826,5,7222,0.07222
03400827,2,9703,0.09703
03400830,4,9293,0.09293
03500933,2,7686,0.07686
03500934,1,10363,0.10363
03500935,3,6799,0.06799
03500936,10,10052,0.10052
03501037,1,8487,0.08487
03501038,3,7506,0.07506
03601139,1,4040,0.0404
03601140,2,6016,0.06016
03601141,9,7057,0.07057
03601142,8,10860,0.1086
03601243,4,6990,0.0699
03601245,2,13511,0.13511
03601346,4,5888,0.05888
03601347,7,9495,0.09495
03601348,9,7470,0.0747
03601449,7,9928,0.09928
03601450,4,5449,0.05449
03601451,4,6527,0.06527
03701554,6,11453,0.11453
03701555,10,7258,0.07258
03701556,6,8598,0.08598
03701658,14,8285,0.08285
03701659,5,9477,0.09477
03701660,7,12614,0.12614
04100101,1,11768,0.11768
04200308,3,6113,0.06113
04200309,1,6895,0.06895
04200310,3,7533,0.07533
04200311,1,7424,0.07424
04300413,2,9973,0.09973
04300414,1,10581,0.10581
04300415,2,6258,0.06258
04300416,3,11646,0.11646
04300517,2,9468,0.09468
04300518,3,6682,0.06682
04300619,1,9007,0.09007
04300621,8,10941,0.10941
04300622,7,5269,0.05269
04300623,9,12187,0.12187
04300624,15,9314,0.09314
04400726,3,5417,0.05417
04400727,1,8322,0.08322
04400728,1,3189,0.03189
04400729,1,2840,0.0284
04400830,2,8457,0.08457
04400832,2,6998,0.06998
04400834,6,3384,0.03384
04400835,16,10164,0.10164
04500936,1,5621,0.05621
04500937,10,7653,0.07653
04500938,16,8281,0.08281
04500939,5,6761,0.06761
04501040,6,5895,0.05895
04501041,10,5420,0.0542
04501042,13,3664,0.03664
04501043,5,10999,0.10999
04501044,4,5328,0.05328
04501045,1,9363,0.09363
04501147,4,5452,0.05452
04501148,2,4564,0.04564
04501149,3,9878,0.09878
04501150,6,3016,0.03016
04501151,20,7420,0.0742
04501152,4,6861,0.06861
04501153,9,7563,0.07563
05100105,2,7689,0.07689
05100210,1,7911,0.07911
05100315,2,7334,0.07334
05100316,7,10505,0.10505
05100317,1,4458,0.04458
05200423,2,6809,0.06809
05200527,2,12030,0.1203
05200629,1,8357,0.08357
05200630,8,10042,0.10042
05200631,1,8679,0.08679
05200633,1,2159,0.02159
05300737,1,11913,0.11913
05300841,2,4605,0.04605
05400942,8,3691,0.03691
05400944,1,2183,0.02183
06100101,12,6912,0.06912
06100102,49,9048,0.09048
06100103,16,6186,0.06186
06100204,1,6803,0.06803
06100205,1,9988,0.09988
06100206,8,7751,0.07751
06100207,1,8168,0.08168
06100208,3,7065,0.07065
06100209,1,9322,0.09322
06100210,1,5004,0.05004
06200312,1,6285,0.06285
06200313,8,7395,0.07395
06200314,4,7210,0.0721
06200316,1,5788,0.05788
06200421,5,8417,0.08417
06200422,9,7009,0.07009
06300525,1,5820,0.0582
06300526,1,3350,0.0335
06300630,2,5667,0.05667
06300632,2,13695,0.13695
06300633,6,11955,0.11955
06300634,2,8285,0.08285
06400735,3,10188,0.10188
06400737,1,11337,0.11337
06400838,3,7341,0.07341
06400839,4,5370,0.0537
06400841,1,6191,0.06191
06400842,4,4773,0.04773
06400844,3,7263,0.07263
07100101,7,9794,0.09794
07100102,6,8696,0.08696
07100103,1,7897,0.07897
07100204,2,10425,0.10425
07100205,1,5177,0.05177
07100206,2,8355,0.08355
07200307,25,10549,0.10549
07200308,5,10698,0.10698
07200409,11,9300,0.093
07200410,13,5538,0.05538
07200413,2,7708,0.07708
07300515,18,6961,0.06961
07300516,24,8896,0.08896
07300517,20,10082,0.10082
07300618,19,9243,0.09243
07300619,4,12219,0.12219
07400720,4,11668,0.11668
07400721,2,7639,0.07639
07400823,2,9690,0.0969
07400824,3,7387,0.07387
07400927,5,11415,0.11415
07501029,1,8544,0.08544
07501030,3,8753,0.08753
07501031,1,9124,0.09124
07501032,1,6284,0.06284
07501133,1,8254,0.08254
07501134,2,10548,0.10548
07601237,2,4785,0.04785
07601443,6,10849,0.10849
07601544,7,9262,0.09262
07601545,5,8570,0.0857
07601546,8,6977,0.06977
08100101,4,4626,0.04626
08100102,4,8181,0.08181
08100103,4,7205,0.07205
08100104,2,6699,0.06699
08100105,1,6338,0.06338
08100206,20,9350,0.0935
08100207,11,7442,0.07442
08100208,8,11955,0.11955
08100209,2,8834,0.08834
08100310,2,7560,0.0756
08100311,5,7076,0.07076
08100312,5,11499,0.11499
08100314,7,7930,0.0793
08100415,4,6388,0.06388
08100416,2,6577,0.06577
08100417,1,9569,0.09569
08100521,1,9457,0.09457
08200622,3,5860,0.0586
08200623,4,6692,0.06692
08200624,2,8988,0.08988
08200727,2,8115,0.08115
08200730,1,3373,0.03373
08200832,2,12116,0.12116
08300934,4,12623,0.12623
08300935,1,7611,0.07611
08401138,2,2900,0.029
08401139,1,4092,0.04092
08401242,1,6893,0.06893
08401243,3,10078,0.10078
08401244,5,7315,0.07315
09100101,14,13453,0.13453
09100203,2,7473,0.07473
09100304,3,12007,0.12007
09100407,1,8670,0.0867
09100408,6,8870,0.0887
09200510,2,8024,0.08024
09200511,8,13207,0.13207
09200613,8,10704,0.10704
09200715,2,4259,0.04259
09200716,4,8373,0.08373
09200717,4,9785,0.09785
09200819,3,8588,0.08588
09300920,5,13253,0.13253
09300922,1,6013,0.06013
09301024,3,3776,0.03776
09301025,3,11919,0.11919
09301126,4,8376,0.08376
09401329,9,11009,0.11009
09401433,1,4478,0.04478
09401534,8,7494,0.07494
09401635,2,7059,0.07059
09501737,3,14359,0.14359
09501838,1,11138,0.11138
09501939,3,6829,0.06829
09502042,2,4315,0.04315
09502043,6,9147,0.09147
10100209,1,9642,0.09642
10100312,3,16216,0.16216
10200421,3,1757,0.01757
10200422,1,7368,0.07368
10200423,3,6138,0.06138
10200524,1,11814,0.11814
10200525,2,5380,0.0538
10200629,4,9187,0.09187
10300731,3,7926,0.07926
10300732,6,7237,0.07237
10300733,2,5190,0.0519
10400835,2,7832,0.07832
10400836,4,3981,0.03981
10400837,3,7870,0.0787
10400938,2,10234,0.10234
10400939,4,4529,0.04529
10400941,1,9743,0.09743
11100205,1,6304,0.06304
11100307,1,11702,0.11702
11100308,1,9886,0.09886
11200410,1,10413,0.10413
11200411,2,6917,0.06917
11200514,5,16289,0.16289
11300616,2,5992,0.05992
11300620,2,11346,0.11346
11300721,1,6848,0.06848
11300722,4,10326,0.10326
11300724,3,4372,0.04372
11300725,4,10202,0.10202
11300826,1,10508,0.10508
11400927,1,4173,0.04173
11400929,4,16901,0.16901
11400931,3,7064,0.07064
11401135,1,11011,0.11011
11401136,6,8336,0.08336
11401137,1,9004,0.09004
11501238,1,4899,0.04899
11501339,5,10574,0.10574
11501340,9,11246,0.11246
11501341,1,10103,0.10103
12100101,7,11188,0.11188
12100102,2,9980,0.0998
12100103,4,7592,0.07592
12100204,7,9554,0.09554
12100205,10,13988,0.13988
12200309,3,11286,0.11286
12200515,8,11322,0.11322
12400616,1,6113,0.06113
12400617,1,6704,0.06704
12400618,1,3789,0.03789
