id,lat,lon,name,street,zip_code,city,planning_area_id
266680057,52.50700,13.59854,Augenarzt Dr. med. Bashar Moustafa,Münsterberger Weg 122,12621.0,Berlin,10400836
268915280,52.54302,13.36266,Dr. Katja Meißner,Willdenowstraße 5B,13353.0,Berlin,01401047
362631112,52.52217,13.16631,Medizinisches Versorgungszentrum Heerstraße Nord,Obstallee 22A,13593.0,Berlin,05200527
365346926,52.36671,13.60840,,,,,
407094165,52.50626,13.59005,,Karlstraße 12a,12621.0,Berlin,10400836
409925339,52.50500,13.55755,Polimedica,,,,10300733
420517141,52.38648,13.40368,Agnes Kranz,Bahnhofstraße 51,12305.0,Berlin,07601544
420517414,52.38547,13.39944,Arztpraxis Mehdi Zadeh,Briesingstraße 13A,12307.0,Berlin,07601544
443669345,52.43919,13.21429,Kinderarztpraxis am Schlachtensee,Altvaterstraße 2,14129.0,Berlin,06400737
497180977,52.40502,13.56857,Praxis Dipl.-Med. Thomas Domnik,Grottewitzstraße 25,12526.0,Berlin,09301024
497183294,52.40010,13.57262,Dr. med. Stefan Donat,Krumme Straße 10a,12526.0,Berlin,09301025
506410619,52.47061,13.44172,Dr. Darian Dalmis,Karl-Marx-Straße 215,12055.0,Berlin,08100417
510622643,52.52450,13.69181,Ellen Ortmann,,,,
510622648,52.52185,13.70336,Christian Sturm,,,,
510622651,52.52159,13.70373,Angelika Zander,,,,
510622654,52.52167,13.70381,Michael Kreißig,,,,
510622658,52.52282,13.70995,Gisela Briesemeister,,,,
525495501,52.58751,13.28533,Dr. med. Leia Anvari,Berliner Straße 12,13507.0,Berlin,12200515
531228825,52.54265,13.37614,Dr. med. Klaus Dierlich,Neue Hochstraße 24,13347.0,Berlin,01300836
567148666,52.54216,13.37417,Kinderpraxis Denise Bosch Rosa,Schönwalder Straße 28,13347.0,Berlin,01300836
567546837,52.52263,13.45091,Dr. med. Birgit Klee,Straßmannstraße 23,10249.0,Berlin,02500726
567546841,52.52374,13.45079,Dr. med. Ayhan Dogan,Ebelingstraße 15,10249.0,Berlin,02500726
575192282,52.54299,13.37008,Dr. med Baris Sahin,,,,01300836
582854283,52.42172,13.37045,Kathrin Repp,Marienfelder Allee 43-45,12277.0,Berlin,07601237
610474614,52.53752,13.40133,Gemeinschaftspraxis Arkonaplatz,Arkonaplatz 5,10435.0,Berlin,01100416
612811382,52.52489,13.48008,Radiologisches Zentrum,Möllendorffstraße 52,10367.0,Berlin,11300620
612814377,52.51208,13.49682,Nierenzentrum Frankfurter Allee,Frankfurter Allee 241,10365.0,Berlin,11300725
620850014,52.44528,13.44542,Dr. Dominic Mutlu,Paster-Behrens-Straße 54,12359.0,Berlin,08200727
625237510,52.65738,13.53546,Dr. Lehr,,,,
667893281,52.53852,13.41651,Praxis an der Kulturbrauerei,Hagenauer Straße 1,10435.0,Berlin,03701555
699536409,52.41688,13.49637,Mohamad Al-Raai,Alt-Rudow 70,12355.0,Berlin,08401243
739999336,52.43395,13.35957,Peter Kraemer & Khadijeh Jahangir-Bakhtiary,Kamenzer Damm 40,12249.0,Berlin,06200316
745730922,52.48729,13.43165,Arztpraxis Abdelhamid Brahimi,,,,08100312
747200086,52.58141,13.40291,Hausarztpraxis am Ossietzkyplatz,Dietzgenstraße 17,13156.0,Berlin,03200206
747457640,52.58236,13.40402,Dr.med. Stephan Oertel,Dietzgenstraße 26,13156.0,Berlin,03200207
747457659,52.58202,13.40431,Dr. med. André Weller,Dietzgenstraße 22,13156.0,Berlin,03200207
747509370,52.58699,13.40152,Wolfgang Kühne,,,,03200205
761371651,52.44493,13.56668,Karin-Ilona Richter,,,,09200819
769069920,52.66799,13.31926,Hausärzte König/Schwenkenbecher,,16562.0,,
783980696,52.41450,13.36506,Dr. Bärbel Ennuschat,Marienfelder Allee 133,12277.0,Berlin,07601237
814795064,52.53538,13.43393,Dr. med. Matthias Oelrich,Danziger Straße 126,10407.0,Berlin,03701660
816598832,52.51893,13.34257,Augenärztin Breitenbach,Bartningallee 5,10557.0,Berlin,01200629
821966643,52.47673,13.43855,DOCS of BERLIN,Karl-Marx-Straße 142,12043.0,Berlin,08100207
848507627,52.49950,13.41843,Georg Laszlo Kruppa,Skalitzer Straße 136,10999.0,Berlin,02300314
871633756,52.50325,13.41260,Praxisgemeinschaft Moritzplatz,Oranienstraße 53,10969.0,Berlin,02100104
872178153,52.49969,13.42249,Dr. med. Karim Soltani Allgemeinmedizin,Mariannenstraße 9-10,10999.0,Berlin,02300314
872180781,52.49966,13.42246,J. Ekteshafi Augenheilkunde,Mariannenstraße 9-10,10999.0,Berlin,02300314
872541543,52.50176,13.41989,Gynäkologisches Versorgungszentrum Kreuzberg MVZ,,,,02300314
913248492,52.51517,13.49827,Wirbelsäulenzentrum Vertebral,Siegfriedstraße 201,10365.0,Berlin,11300725
929462289,52.53189,13.15501,Frauenarztpraxis Berlin,,,,05200423
941475632,52.54096,13.34804,Dr. med. Zadan Plagens,Föhrer Straße 7,13353.0,Berlin,01401046
974783005,52.43723,13.23690,Dr. Susanne Kraas,Karl-Hofer-Straße 39,14163.0,Berlin,06400839
976653171,52.49223,13.32356,FaceSculptClinic,Uhlandstraße 131,10717.0,Berlin,04501149
988277355,52.39299,13.42042,,Skarbinastraße 79,12309.0,Berlin,07601545
