id,points,inhabitants,_100k_inhabitants
011001,27,16293,0.16293
011002,52,13637,0.13637
011003,99,62233,0.62233
011004,25,32384,0.32384
012005,59,46905,0.46905
012006,27,43624,0.43624
013007,28,38744,0.38744
013008,31,40026,0.40026
014009,37,46542,0.46542
014010,52,56616,0.56616
021001,36,40981,0.40981
022002,69,64657,0.64657
023003,42,19454,0.19454
023004,44,26326,0.26326
024005,6,26010,0.2601
024006,32,27252,0.27252
025007,40,31174,0.31174
025008,78,56770,0.5677
031001,4,17674,0.17674
032002,9,30231,0.30231
032003,3,18833,0.18833
033004,7,20185,0.20185
033005,3,17566,0.17566
034006,9,18885,0.18885
034007,20,39348,0.39348
034008,8,37120,0.3712
035009,21,41559,0.41559
035010,4,15993,0.15993
036011,22,27973,0.27973
036012,10,28115,0.28115
036013,26,22853,0.22853
036014,16,30041,0.30041
037015,37,27309,0.27309
037016,15,33591,0.33591
041001,2,19646,0.19646
042002,7,13147,0.13147
042003,14,27965,0.27965
043004,25,42997,0.42997
043005,12,16150,0.1615
043006,76,50836,0.50836
044007,1,19829,0.19829
044008,11,34447,0.34447
045009,10,28316,0.28316
045010,52,40669,0.40669
045011,26,49498,0.49498
051001,4,29637,0.29637
051002,4,43147,0.43147
051003,30,41028,0.41028
052004,2,23759,0.23759
052005,8,30971,0.30971
052006,41,37211,0.37211
053007,7,20008,0.20008
053008,12,13438,0.13438
054009,2,20078,0.20078
061001,32,22146,0.22146
061002,15,54101,0.54101
062003,14,44698,0.44698
062004,12,35974,0.35974
063005,12,34282,0.34282
063006,16,49471,0.49471
064007,9,26664,0.26664
064008,17,42708,0.42708
071001,34,26387,0.26387
071002,18,23957,0.23957
072003,23,21247,0.21247
072004,40,31676,0.31676
073005,18,25939,0.25939
073006,11,21462,0.21462
074007,8,19307,0.19307
074008,22,32691,0.32691
074009,16,15380,0.1538
075010,13,32705,0.32705
075011,9,21059,0.21059
076012,6,17997,0.17997
076013,4,14362,0.14362
076014,6,21257,0.21257
076015,12,31533,0.31533
081001,37,33049,0.33049
081002,47,37581,0.37581
081003,46,37805,0.37805
081004,28,38919,0.38919
081005,5,15194,0.15194
082006,11,21540,0.2154
082007,16,23196,0.23196
082008,8,29646,0.29646
083009,7,20234,0.20234
083010,4,18497,0.18497
084011,5,9662,0.09662
084012,15,44165,0.44165
091001,17,13453,0.13453
091002,4,11753,0.11753
091003,14,19404,0.19404
091004,5,21636,0.21636
092005,19,25664,0.25664
092006,13,14508,0.14508
092007,19,22417,0.22417
092008,6,12918,0.12918
093009,7,31244,0.31244
093010,5,15695,0.15695
093011,3,8376,0.08376
093012,1,4487,0.04487
094013,2,12925,0.12925
094014,5,12042,0.12042
094015,5,7494,0.07494
094016,2,7059,0.07059
095017,4,19036,0.19036
095018,2,11138,0.11138
095019,21,12525,0.12525
095020,1,13462,0.13462
101001,7,25148,0.25148
101002,14,52190,0.5219
101003,16,42246,0.42246
102004,9,44060,0.4406
102005,9,23435,0.23435
102006,7,26017,0.26017
103007,7,30959,0.30959
104008,4,19683,0.19683
104009,9,30353,0.30353
111002,10,30968,0.30968
111003,16,28157,0.28157
112004,7,17330,0.1733
112005,16,35756,0.35756
113006,9,34484,0.34484
113007,22,34329,0.34329
113008,4,10508,0.10508
114009,24,35831,0.35831
114010,5,16561,0.16561
114011,8,28351,0.28351
115012,1,4899,0.04899
115013,3,31923,0.31923
121001,11,28760,0.2876
121002,9,28322,0.28322
122003,16,28242,0.28242
122004,4,20355,0.20355
122005,17,11322,0.11322
124006,6,24332,0.24332
124007,6,32978,0.32978
125008,5,16760,0.1676
125009,13,32190,0.3219
126010,3,9583,0.09583
126011,7,27454,0.27454
126012,4,13800,0.138
