id,points,inhabitants,_100k_inhabitants
0110,203,124547,1.24547
0120,86,90529,0.90529
0130,59,78770,0.7877
0140,89,103158,1.03158
0210,36,40981,0.40981
0220,69,64657,0.64657
0230,86,45780,0.4578
0240,38,53262,0.53262
0250,118,87944,0.87944
0310,4,17674,0.17674
0320,12,49064,0.49064
0330,10,37751,0.37751
0340,37,95353,0.95353
0350,25,57552,0.57552
0360,74,108982,1.08982
0370,52,60900,0.609
0410,2,19646,0.19646
0420,21,41112,0.41112
0430,113,109983,1.09983
0440,12,54276,0.54276
0450,88,118483,1.18483
0510,38,113812,1.13812
0520,51,91941,0.91941
0530,19,33446,0.33446
0540,2,20078,0.20078
0610,47,76247,0.76247
0620,26,80672,0.80672
0630,28,83753,0.83753
0640,26,69372,0.69372
0710,52,50344,0.50344
0720,63,52923,0.52923
0730,29,47401,0.47401
0740,46,67378,0.67378
0750,22,53764,0.53764
0760,28,85149,0.85149
0810,163,162548,1.62548
0820,35,74382,0.74382
0830,11,38731,0.38731
0840,20,53827,0.53827
0910,40,66246,0.66246
0920,57,75507,0.75507
0930,16,59802,0.59802
0940,14,39520,0.3952
0950,28,56161,0.56161
1010,37,119584,1.19584
1020,25,93512,0.93512
1030,7,30959,0.30959
1040,13,50036,0.50036
1110,26,65576,0.65576
1120,23,53086,0.53086
1130,35,79321,0.79321
1140,37,80743,0.80743
1150,4,36822,0.36822
1210,20,57082,0.57082
1220,37,59919,0.59919
1240,12,57310,0.5731
1250,18,48950,0.4895
1260,14,50837,0.50837
