id,points,inhabitants,_100k_inhabitants
01100101,1,3580,0.0358
01100102,16,2034,0.02034
01100103,7,5790,0.0579
01100104,3,4889,0.04889
01100205,19,2917,0.02917
01100206,22,1876,0.01876
01100207,11,8844,0.08844
01100308,7,7297,0.07297
01100309,32,12651,0.12651
01100310,50,10181,0.10181
01100311,2,9787,0.09787
01100312,2,10727,0.10727
01100313,6,11590,0.1159
01100415,15,13348,0.13348
01100416,10,13523,0.13523
01200517,6,3924,0.03924
01200518,8,7096,0.07096
01200519,10,9592,0.09592
01200520,13,9513,0.09513
01200521,18,5259,0.05259
01200522,4,11521,0.11521
01200623,6,10990,0.1099
01200624,6,6942,0.06942
01200625,4,6905,0.06905
01200626,6,6079,0.06079
01200628,5,3281,0.03281
01300730,8,8060,0.0806
01300731,4,8922,0.08922
01300732,2,10078,0.10078
01300733,14,11684,0.11684
01300834,6,14258,0.14258
01300835,3,10821,0.10821
01300836,22,14947,0.14947
01400937,4,10966,0.10966
01400938,14,9681,0.09681
01400939,7,6149,0.06149
01400940,1,7094,0.07094
01400942,11,8789,0.08789
01401043,4,7627,0.07627
01401044,6,10226,0.10226
01401045,7,5531,0.05531
01401046,9,8869,0.08869
01401047,12,8206,0.08206
01401048,8,9520,0.0952
01401049,6,6637,0.06637
02100101,3,7225,0.07225
02100102,15,8660,0.0866
02100103,4,5470,0.0547
02100104,5,5550,0.0555
02100105,5,9263,0.09263
02100106,4,4813,0.04813
02200207,3,2666,0.02666
02200208,6,5745,0.05745
02200209,8,10957,0.10957
02200210,11,12350,0.1235
02200211,22,14595,0.14595
02200212,7,8340,0.0834
02200213,12,10004,0.10004
02300314,27,7085,0.07085
02300315,13,8209,0.08209
02300316,2,4160,0.0416
02300417,20,8301,0.08301
02300418,7,7629,0.07629
02300419,17,10396,0.10396
02400520,1,5904,0.05904
02400521,3,8712,0.08712
02400522,2,11394,0.11394
02400623,13,14037,0.14037
02400624,6,11887,0.11887
02400625,13,1328,0.01328
02500726,6,9175,0.09175
02500727,4,6519,0.06519
02500728,14,10073,0.10073
02500729,16,5407,0.05407
02500830,5,4071,0.04071
02500831,6,7857,0.07857
02500832,6,9541,0.09541
02500833,32,10045,0.10045
02500834,20,11299,0.11299
02500835,9,8820,0.0882
03100101,1,4720,0.0472
03100103,3,9449,0.09449
03200205,2,9167,0.09167
03200206,6,6842,0.06842
03200207,1,11799,0.11799
03200309,1,5484,0.05484
03200310,2,8088,0.08088
03300411,3,11764,0.11764
03300412,4,5226,0.05226
03300516,2,9560,0.0956
03300517,1,1088,0.01088
03400618,4,4783,0.04783
03400619,5,10596,0.10596
03400721,6,11895,0.11895
03400722,2,3807,0.03807
03400723,9,7507,0.07507
03400724,2,8494,0.08494
03400725,1,7645,0.07645
03400826,3,7222,0.07222
03400827,1,9703,0.09703
03400828,3,4934,0.04934
03400831,1,0,0.0
03500933,3,7686,0.07686
03500934,6,10363,0.10363
03500935,6,6799,0.06799
03500936,6,10052,0.10052
03501037,3,8487,0.08487
03501038,1,7506,0.07506
03601139,1,4040,0.0404
03601140,4,6016,0.06016
03601141,1,7057,0.07057
03601142,16,10860,0.1086
03601243,5,6990,0.0699
03601244,3,7614,0.07614
03601245,2,13511,0.13511
03601346,7,5888,0.05888
03601347,11,9495,0.09495
03601348,8,7470,0.0747
03601449,4,9928,0.09928
03601450,2,5449,0.05449
03601451,3,6527,0.06527
03601452,3,4746,0.04746
03601453,4,3391,0.03391
03701554,14,11453,0.11453
03701555,15,7258,0.07258
03701556,8,8598,0.08598
03701657,2,3215,0.03215
03701658,1,8285,0.08285
03701659,4,9477,0.09477
03701660,8,12614,0.12614
04100101,2,11768,0.11768
04200205,2,2522,0.02522
04200207,5,2996,0.02996
04200308,1,6113,0.06113
04200310,4,7533,0.07533
04200311,9,7424,0.07424
04300412,3,4539,0.04539
04300413,4,9973,0.09973
04300414,6,10581,0.10581
04300415,3,6258,0.06258
04300416,9,11646,0.11646
04300517,6,9468,0.09468
04300518,6,6682,0.06682
04300619,5,9007,0.09007
04300620,7,4118,0.04118
04300621,7,10941,0.10941
04300622,8,5269,0.05269
04300623,39,12187,0.12187
04300624,10,9314,0.09314
04400727,1,8322,0.08322
04400830,3,8457,0.08457
04400832,4,6998,0.06998
04400833,1,3901,0.03901
04400834,1,3384,0.03384
04400835,2,10164,0.10164
04500936,3,5621,0.05621
04500937,2,7653,0.07653
04500938,4,8281,0.08281
04500939,1,6761,0.06761
04501040,6,5895,0.05895
04501041,3,5420,0.0542
04501042,25,3664,0.03664
04501043,9,10999,0.10999
04501044,3,5328,0.05328
04501045,6,9363,0.09363
04501146,2,4744,0.04744
04501147,5,5452,0.05452
04501148,2,4564,0.04564
04501149,5,9878,0.09878
04501150,2,3016,0.03016
04501151,3,7420,0.0742
04501152,3,6861,0.06861
04501153,4,7563,0.07563
05100102,1,4377,0.04377
05100103,1,6107,0.06107
05100105,2,7689,0.07689
05100206,1,3623,0.03623
05100208,1,11137,0.11137
05100209,2,11935,0.11935
05100312,3,4007,0.04007
05100313,2,7231,0.07231
05100314,4,7493,0.07493
05100315,3,7334,0.07334
05100316,17,10505,0.10505
05100317,1,4458,0.04458
05200419,1,1632,0.01632
05200420,1,5910,0.0591
05200524,2,3380,0.0338
05200527,4,12030,0.1203
05200528,2,7291,0.07291
05200629,17,8357,0.08357
05200630,9,10042,0.10042
05200631,13,8679,0.08679
05200634,2,4319,0.04319
05300736,2,3575,0.03575
05300737,5,11913,0.11913
05300839,1,8314,0.08314
05300840,2,503,0.00503
05300841,9,4605,0.04605
05400943,1,10533,0.10533
05400944,1,2183,0.02183
06100101,1,6912,0.06912
06100102,20,9048,0.09048
06100103,11,6186,0.06186
06100204,2,6803,0.06803
06100205,4,9988,0.09988
06100206,3,7751,0.07751
06100208,5,7065,0.07065
06100209,1,9322,0.09322
06200312,1,6285,0.06285
06200313,8,7395,0.07395
06200314,1,7210,0.0721
06200315,1,6890,0.0689
06200316,1,5788,0.05788
06200317,2,6257,0.06257
06200419,1,4539,0.04539
06200420,2,7403,0.07403
06200421,4,8417,0.08417
06200422,5,7009,0.07009
06300525,2,5820,0.0582
06300526,9,3350,0.0335
06300528,1,10947,0.10947
06300629,2,6988,0.06988
06300630,7,5667,0.05667
06300631,2,2881,0.02881
06300633,5,11955,0.11955
06400735,2,10188,0.10188
06400736,1,5139,0.05139
06400737,6,11337,0.11337
06400838,2,7341,0.07341
06400839,3,5370,0.0537
06400841,2,6191,0.06191
06400842,2,4773,0.04773
06400843,7,4690,0.0469
06400844,1,7263,0.07263
07100101,7,9794,0.09794
07100102,15,8696,0.08696
07100103,12,7897,0.07897
07100204,10,10425,0.10425
07100205,3,5177,0.05177
07100206,5,8355,0.08355
07200307,11,10549,0.10549
07200308,12,10698,0.10698
07200409,18,9300,0.093
07200410,7,5538,0.05538
07200411,12,2741,0.02741
07200413,3,7708,0.07708
07300515,1,6961,0.06961
07300516,7,8896,0.08896
07300517,10,10082,0.10082
07300618,5,9243,0.09243
07300619,6,12219,0.12219
07400720,8,11668,0.11668
07400822,4,3291,0.03291
07400823,3,9690,0.0969
07400824,9,7387,0.07387
07400825,6,7213,0.07213
07400927,14,11415,0.11415
07400928,2,3965,0.03965
07501029,1,8544,0.08544
07501030,5,8753,0.08753
07501031,7,9124,0.09124
07501133,5,8254,0.08254
07501134,4,10548,0.10548
07601236,3,10335,0.10335
07601237,3,4785,0.04785
07601339,1,5721,0.05721
07601340,2,6416,0.06416
07601341,1,2225,0.02225
07601442,5,10408,0.10408
07601443,1,10849,0.10849
07601544,10,9262,0.09262
07601546,1,6977,0.06977
07601547,1,3828,0.03828
08100101,4,4626,0.04626
08100102,19,8181,0.08181
08100103,4,7205,0.07205
08100104,6,6699,0.06699
08100105,4,6338,0.06338
08100206,19,9350,0.0935
08100207,5,7442,0.07442
08100208,15,11955,0.11955
08100209,8,8834,0.08834
08100310,3,7560,0.0756
08100311,7,7076,0.07076
08100312,10,11499,0.11499
08100314,26,7930,0.0793
08100415,10,6388,0.06388
08100416,8,6577,0.06577
08100417,6,9569,0.09569
08100418,2,9193,0.09193
08100419,2,7192,0.07192
08100520,1,5737,0.05737
08100521,4,9457,0.09457
08200622,2,5860,0.0586
08200623,3,6692,0.06692
08200624,6,8988,0.08988
08200726,1,6109,0.06109
08200727,4,8115,0.08115
08200728,1,1206,0.01206
08200729,8,1869,0.01869
08200730,2,3373,0.03373
08200831,2,8275,0.08275
08200832,6,12116,0.12116
08300934,4,12623,0.12623
08300935,3,7611,0.07611
08301036,1,7448,0.07448
08301037,3,11049,0.11049
08401138,2,2900,0.029
08401139,3,4092,0.04092
08401241,2,8319,0.08319
08401242,1,6893,0.06893
08401243,7,10078,0.10078
08401244,1,7315,0.07315
08401245,4,3720,0.0372
09100101,17,13453,0.13453
09100202,1,4280,0.0428
09100203,3,7473,0.07473
09100304,11,12007,0.12007
09100305,2,4338,0.04338
09100306,1,3059,0.03059
09100407,1,8670,0.0867
09100408,2,8870,0.0887
09100409,2,4096,0.04096
09200510,6,8024,0.08024
09200511,11,13207,0.13207
09200512,2,4433,0.04433
09200613,13,10704,0.10704
09200715,13,4259,0.04259
09200716,5,8373,0.08373
09200717,1,9785,0.09785
09200819,6,8588,0.08588
09300920,3,13253,0.13253
09300921,1,2878,0.02878
09300922,3,6013,0.06013
09301024,4,3776,0.03776
09301025,1,11919,0.11919
09301126,3,8376,0.08376
09301228,1,2635,0.02635
09401329,2,11009,0.11009
09401431,3,5992,0.05992
09401433,2,4478,0.04478
09401534,5,7494,0.07494
09401635,2,7059,0.07059
09501737,4,14359,0.14359
09501838,2,11138,0.11138
09501939,18,6829,0.06829
09501941,3,2937,0.02937
09502043,1,9147,0.09147
10100102,1,3680,0.0368
