id,lat,lon,name,street,zip_code,city,planning_area_id
30022140,52.49349,13.38768,Curry 36,Mehringdamm 36,10961.0,Berlin,02200208
84646591,52.53084,13.38296,Subway,Chausseestraße 22,10115.0,Berlin,01100415
86001790,52.51581,13.38992,Subway,Behrenstraße 47,10117.0,Berlin,01100206
89274884,52.52006,13.41147,Dunkin,Rathausstraße 5,10178.0,Berlin,01100310
89312691,52.52265,13.41272,Burger King,,,Berlin,01100310
106982123,52.50991,13.53153,McDonalds,Alt-Friedrichsfelde 61,10315.0,Berlin,11401034
149607221,52.54047,13.41221,Konnopke’s Imbiß,Schönhauser Allee 44b,10435.0,Berlin,03701554
248652663,52.53921,13.42160,Zweistrom,Kollwitzstraße 104,10435.0,Berlin,03701555
249094185,52.54085,13.41255,Risa Chicken,Danziger Straße 2,10435.0,Berlin,03701555
253891060,52.54385,13.41562,Kreuzburger,Pappelallee 19,10437.0,Berlin,03601347
260753892,52.46955,13.37114,McDonalds,Alboinstraße 4,12103.0,Berlin,07400823
262353303,52.45622,13.50913,Boss Burger,Schnellerstraße 21,12439.0,Berlin,09200613
262366174,52.51515,13.46275,SanMax,Frankfurter Allee 41,10247.0,Berlin,02500728
265462005,52.67491,13.53764,Asia Imbiss,,16321.0,Bernau bei Berlin,
268072807,52.59573,13.29093,Marians Imbiss,Waidmannsluster Damm 18,13509.0,Berlin,12500824
269475044,52.50178,13.41653,Milchladen,Dresdener Straße 20,10999.0,Berlin,02300314
276134995,52.42729,13.36558,Hans Wurscht,Preysingstraße 9,12249.0,Berlin,06200317
276795907,52.43250,13.40802,Spielelandschaft,,,,07501134
277012294,52.39117,13.09446,Babelsberger Küche,Schulstraße 16,14482.0,Potsdam,
277805929,52.48038,13.38514,Burger King,Tempelhofer Damm 28-30,12101.0,Berlin,07400720
279301771,52.52646,13.38824,Dada Falafel,Linienstraße 132,10115.0,Berlin,01100309
279408216,52.56584,13.50351,World of Pizza,Zingster Straße 14,13051.0,Berlin,11100307
282420132,52.51048,13.45621,Pizza Dach Aceto Lokanta,Simon-Dach-Straße 12,10245.0,Berlin,02500833
282739417,52.51684,13.46195,Casablanca,,,,02500728
282742878,52.51835,13.46584,Bistro Samariter,,,,02500728
