id,points,inhabitants,_100k_inhabitants
011003,1,62233,0.62233
012005,2,46905,0.46905
013008,1,40026,0.40026
022002,2,64657,0.64657
024006,2,27252,0.27252
031001,1,17674,0.17674
033004,1,20185,0.20185
035009,1,41559,0.41559
043004,1,42997,0.42997
045010,1,40669,0.40669
045011,1,49498,0.49498
051003,1,41028,0.41028
064008,1,42708,0.42708
075011,1,21059,0.21059
081002,1,37581,0.37581
095018,1,11138,0.11138
103007,1,30959,0.30959
115013,2,31923,0.31923
121002,1,28322,0.28322
122005,1,11322,0.11322
