id,points,inhabitants,_100k_inhabitants
01100309,1,12651,0.12651
01200522,2,11521,0.11521
01300836,1,14947,0.14947
02200210,2,12350,0.1235
02400624,2,11887,0.11887
03100103,1,9449,0.09449
03300413,1,3195,0.03195
03500933,1,7686,0.07686
04300416,1,11646,0.11646
04501042,1,3664,0.03664
04501147,1,5452,0.05452
05100313,1,7231,0.07231
06400841,1,6191,0.06191
07501133,1,8254,0.08254
08100208,1,11955,0.11955
09501838,1,11138,0.11138
10300733,1,5190,0.0519
11501339,2,10574,0.10574
12100205,1,13988,0.13988
12200515,1,11322,0.11322
