id,points,inhabitants,_100k_inhabitants
0110,36,124547,1.24547
0120,11,90529,0.90529
0130,4,78770,0.7877
0140,8,103158,1.03158
0210,3,40981,0.40981
0220,12,64657,0.64657
0230,9,45780,0.4578
0240,6,53262,0.53262
0250,25,87944,0.87944
0310,1,17674,0.17674
0320,3,49064,0.49064
0330,1,37751,0.37751
0340,11,95353,0.95353
0350,5,57552,0.57552
0360,31,108982,1.08982
0370,23,60900,0.609
0410,1,19646,0.19646
0420,2,41112,0.41112
0430,18,109983,1.09983
0440,5,54276,0.54276
0450,27,118483,1.18483
0510,2,113812,1.13812
0520,2,91941,0.91941
0530,2,33446,0.33446
0610,17,76247,0.76247
0620,3,80672,0.80672
0630,3,83753,0.83753
0640,3,69372,0.69372
0710,7,50344,0.50344
0720,8,52923,0.52923
0730,18,47401,0.47401
0740,4,67378,0.67378
0750,2,53764,0.53764
0810,15,162548,1.62548
0820,3,74382,0.74382
0840,1,53827,0.53827
0910,3,66246,0.66246
0920,7,75507,0.75507
0930,1,59802,0.59802
0940,2,39520,0.3952
0950,8,56161,0.56161
1010,4,119584,1.19584
1020,5,93512,0.93512
1030,3,30959,0.30959
1040,4,50036,0.50036
1110,2,65576,0.65576
1120,3,53086,0.53086
1130,5,79321,0.79321
1140,3,80743,0.80743
1150,2,36822,0.36822
1220,4,59919,0.59919
1240,1,57310,0.5731
1250,1,48950,0.4895
1260,6,50837,0.50837
