id,points,inhabitants,_100k_inhabitants
01100101,1,3580,0.0358
01100102,2,2034,0.02034
01100205,1,2917,0.02917
01100206,3,1876,0.01876
01100207,2,8844,0.08844
01100308,5,7297,0.07297
01100309,6,12651,0.12651
01100310,7,10181,0.10181
01100311,1,9787,0.09787
01100414,1,5513,0.05513
01100415,4,13348,0.13348
01100416,3,13523,0.13523
01200519,1,9592,0.09592
01200520,2,9513,0.09513
01200521,1,5259,0.05259
01200522,1,11521,0.11521
01200623,1,10990,0.1099
01200624,2,6942,0.06942
01200626,3,6079,0.06079
01300834,1,14258,0.14258
01300836,3,14947,0.14947
01400937,1,10966,0.10966
01400938,1,9681,0.09681
01400939,1,6149,0.06149
01400942,1,8789,0.08789
01401048,4,9520,0.0952
02100101,1,7225,0.07225
02100102,1,8660,0.0866
02100104,1,5550,0.0555
02200207,2,2666,0.02666
02200210,2,12350,0.1235
02200211,3,14595,0.14595
02200212,2,8340,0.0834
02200213,3,10004,0.10004
02300314,1,7085,0.07085
02300315,4,8209,0.08209
02300417,1,8301,0.08301
02300418,2,7629,0.07629
02300419,1,10396,0.10396
02400624,4,11887,0.11887
02400625,2,1328,0.01328
02500728,3,10073,0.10073
02500729,2,5407,0.05407
02500830,1,4071,0.04071
02500831,3,7857,0.07857
02500832,3,9541,0.09541
02500833,6,10045,0.10045
02500834,5,11299,0.11299
02500835,2,8820,0.0882
03100103,1,9449,0.09449
03200207,1,11799,0.11799
03200308,1,5261,0.05261
03200310,1,8088,0.08088
03300411,1,11764,0.11764
03400618,1,4783,0.04783
03400721,4,11895,0.11895
03400723,3,7507,0.07507
03400826,3,7222,0.07222
03500936,4,10052,0.10052
03501037,1,8487,0.08487
03601140,3,6016,0.06016
03601141,4,7057,0.07057
03601142,7,10860,0.1086
03601243,2,6990,0.0699
03601245,2,13511,0.13511
03601346,2,5888,0.05888
03601347,5,9495,0.09495
03601348,3,7470,0.0747
03601449,1,9928,0.09928
03601450,1,5449,0.05449
03601453,1,3391,0.03391
03701555,6,7258,0.07258
03701556,2,8598,0.08598
03701658,3,8285,0.08285
03701659,3,9477,0.09477
03701660,9,12614,0.12614
04100102,1,7878,0.07878
04200310,2,7533,0.07533
04300414,1,10581,0.10581
04300416,2,11646,0.11646
04300518,1,6682,0.06682
04300619,1,9007,0.09007
04300621,2,10941,0.10941
04300622,4,5269,0.05269
04300623,6,12187,0.12187
04300624,1,9314,0.09314
04400830,4,8457,0.08457
04400832,1,6998,0.06998
04500936,1,5621,0.05621
04500937,2,7653,0.07653
04500938,2,8281,0.08281
04500939,1,6761,0.06761
04501040,3,5895,0.05895
04501041,2,5420,0.0542
04501042,3,3664,0.03664
04501043,2,10999,0.10999
04501044,1,5328,0.05328
04501045,1,9363,0.09363
04501147,2,5452,0.05452
04501149,2,9878,0.09878
04501150,1,3016,0.03016
04501152,1,6861,0.06861
04501153,3,7563,0.07563
05100315,1,7334,0.07334
05100316,1,10505,0.10505
05200629,1,8357,0.08357
05200630,1,10042,0.10042
05300736,1,3575,0.03575
05300841,1,4605,0.04605
06100101,2,6912,0.06912
06100102,1,9048,0.09048
06100103,5,6186,0.06186
06100206,1,7751,0.07751
06100207,3,8168,0.08168
06100208,3,7065,0.07065
06100210,2,5004,0.05004
06200312,1,6285,0.06285
06200422,2,7009,0.07009
06300526,2,3350,0.0335
06300632,1,13695,0.13695
06400841,2,6191,0.06191
06400842,1,4773,0.04773
07100102,2,8696,0.08696
07100103,2,7897,0.07897
07100204,1,10425,0.10425
07100206,2,8355,0.08355
07200307,1,10549,0.10549
07200409,3,9300,0.093
07200410,1,5538,0.05538
07200411,1,2741,0.02741
07200413,2,7708,0.07708
07300515,3,6961,0.06961
07300516,6,8896,0.08896
07300517,5,10082,0.10082
07300618,3,9243,0.09243
07300619,1,12219,0.12219
07400720,1,11668,0.11668
07400822,1,3291,0.03291
07400823,1,9690,0.0969
07400927,1,11415,0.11415
07501031,1,9124,0.09124
07501133,1,8254,0.08254
08100101,1,4626,0.04626
08100102,3,8181,0.08181
08100103,1,7205,0.07205
08100206,2,9350,0.0935
08100207,1,7442,0.07442
08100209,1,8834,0.08834
08100311,1,7076,0.07076
08100312,1,11499,0.11499
08100416,2,6577,0.06577
08100418,2,9193,0.09193
08200624,1,8988,0.08988
08200831,1,8275,0.08275
08200833,1,9255,0.09255
08401139,1,4092,0.04092
09100101,2,13453,0.13453
09100202,1,4280,0.0428
09200613,2,10704,0.10704
09200716,3,8373,0.08373
09200717,1,9785,0.09785
09200819,1,8588,0.08588
09300922,1,6013,0.06013
09401534,1,7494,0.07494
09401635,1,7059,0.07059
09501736,2,4677,0.04677
09501737,2,14359,0.14359
09501838,1,11138,0.11138
09501939,3,6829,0.06829
