id,lat,lon,name,street,zip_code,city,planning_area_id
277958275,52.58460,13.31179,Kieser Training,Holzhauser Straße 140d,13509.0,Berlin,12500825
277958277,52.54676,13.44250,Kieser Training,Ostseestraße 107,10409.0,Berlin,03601245
277958288,52.47999,13.30518,Kieser Training,Forckenbeckstraße 9-13,14199.0,Berlin,04400830
277958289,52.44290,13.32969,Kieser Training,Teltowkanalstraße 2,12247.0,Berlin,06200312
277958291,52.43399,13.46900,Kieser Training,Rudower Straße 132,12351.0,Berlin,08401139
277958294,52.38110,13.11618,Kieser Training,,,,
349301672,52.50643,13.31420,Brooklyn Fitboxing Charlottenburg,Kantstraße 38,10625.0,Berlin,04300624
353900373,52.58880,13.28022,Future Fit,Alt-Tegel 21,13507.0,Berlin,12200515
416628781,52.64692,13.53178,Life Fitness Panketal,,,,
428142496,52.53292,13.35019,Rocket Station,,10559.0,,01200623
440337320,52.48102,13.43369,authentic body control,Boddinstraße 4,,,08100206
499500765,52.51685,13.46182,Yogi Escape,Rigaer Straße 25,10247.0,Berlin,02500728
617268225,52.53618,13.47469,McFit,Konrad-Wolf-Straße 56-60,13055.0,Berlin,11200514
645677448,52.52676,13.33324,Fitbox,Turmstraße 74,10551.0,Berlin,01200521
664244052,52.47443,13.29252,Pilatesraum Berlin,Breite Straße 33,14199.0,Berlin,04400832
673611600,52.50215,13.30807,Viva Studio,Wilmersdorfer Straße 98,10629.0,Berlin,04501040
786216888,52.53993,13.42108,Womens Lift Lounge,Danziger Straße 55,10435.0,Berlin,03601348
810590618,52.50059,13.29431,Aspria,,,,04500937
812219708,52.46443,13.32696,Superfit,Schloßstraße 1,12163.0,Berlin,06100103
823473534,52.48662,13.32837,McFit,Berliner Straße 148,10715.0,Berlin,04501150
833174269,52.46488,13.32770,Elbgym,Walther-Schreiber-Platz 1,12161.0,Berlin,07300516
879311582,52.51239,13.39082,Holmes Place,Anton-Wilhelm-Amo-Straße 50,10117.0,Berlin,01100206
891052374,52.52589,13.30820,Tayfun Personal Trainer,Kaiserin-Augusta-Allee 45,10589.0,Berlin,04300518
901662461,52.52180,13.49886,McFit,Siegfriedstraße 177,10365.0,Berlin,11300721
925525521,52.50457,13.33731,SuperFit Europa-Center,Tauentzienstraße 9-12,,,04501042
928931970,52.46097,13.32508,Fitness First,Schloßstraße 110,12163.0,Berlin,06100103
932651529,52.51105,13.44880,SunYoga,Torellstraße 7,10243.0,Berlin,02400624
958096426,52.49275,13.41424,Yoga im Graefekiez,Grimmstraße 19,10967.0,Berlin,02200213
970070951,52.46453,13.32705,Superfit Woman,Schloßstraße 1,12163.0,Berlin,06100103
1056915608,52.43747,13.26389,Fitness First,Clayallee 328-334,14169.0,Berlin,06400841
1056915620,52.43784,13.26419,Fitness First,Clayallee 328-334,14169.0,Berlin,06400841
1094853553,52.51003,13.45488,Beat81,Libauer Straße 1,10245.0,Berlin,02500834
1112755252,52.42964,13.26116,Mrs. Sporty,Mühlenstraße 4,14167.0,Berlin,06300526
1120057604,52.54964,13.41471,Fitness First,Schönhauser Allee 80,10439.0,Berlin,03601243
1207853570,52.63627,13.20021,Ars Vivendi FitnessClub,,,,
1218312075,52.52935,13.42557,Yoga Hub Berlin,Greifswalder Straße 8d,10405.0,Berlin,03701660
1270475988,52.51294,13.44090,Fitness Company Berlin,Rüdersdorfer Straße 71,10243.0,Berlin,02400625
1279265631,52.50724,13.32625,Fitness and More,,,,04300622
1333143675,52.47067,13.33106,Sivananda Yoga,Schmiljanstraße 24,12161.0,Berlin,07300517
1336704497,52.53711,13.20584,Gymfit,,,,05100316
1387894027,52.47720,13.28951,Mrs. Sporty,,,,04400830
1389043773,52.53130,13.42780,B23 Space,Greifswalder Straße 23,10405.0,Berlin,03701660
1389063019,52.50234,13.32259,UFC Gym,Kurfürstendamm 38,10719.0,Berlin,04501041
1412978028,52.47056,13.10785,LocalFit,,,,
1438454178,52.50837,13.30584,Superfit,Wilmersdorfer Straße 54,10627.0,Berlin,04300623
1438455119,52.51861,13.41600,SuperFit,Grunerstraße 20,10179.0,Berlin,01100311
1457608587,52.55376,13.36041,McFit,Seestraße 64,13347.0,Berlin,01401048
1470020226,52.49341,13.38866,SunYoga,Mehringdamm 33,10961.0,Berlin,02200210
1471968739,52.54890,13.40799,Bewegungsstudio,,,,03601142
1576962361,52.48841,13.42986,Sacred Space,,,,08100311
1577855726,52.42235,13.43798,M&M Fitness-Center,,,,08200833
1583959145,52.50522,13.61236,McFit,Alt-Mahlsdorf 24,12623.0,Berlin,10400939
1584743772,52.53915,13.42153,Hadi Zalzadeh,Kollwitzstraße 102,10435.0,Berlin,03701555
1588139056,52.50955,13.46988,Green Studio Pilates,Jessnerstraße 58,10247.0,Berlin,02500832
1610111889,52.48977,13.39301,Yoga-Institut Berlin,Bergmannstraße 91,10961.0,Berlin,02200211
1715298789,52.54924,13.35463,Fit T9 Frauenfitness,Müllerstraße 36,13353.0,Berlin,01401048
1718478056,52.47642,13.32941,myoga,Sieglindestraße 7,12159.0,Berlin,07300517
1762116722,52.43061,13.37554,McFit,,,,07501133
1870398737,52.49740,13.35049,Rent-A-Trainer-Berlin Gym,Nollendorfstraße 23,10777.0,Berlin,07100102
1915070108,52.49792,13.31923,Urban Boost,Pariser Straße 43,10707.0,Berlin,04501044
1918474939,52.47783,13.28603,Zentrum für Yoga & Qigong,,,,04400830
1970628072,52.60696,13.41985,Mrs. Sporty,Hugenottenplatz 3,13127.0,Berlin,03200310
1981014509,52.43768,13.54697,Impuls EMS-Studio,Genossenschaftsstraße 69,12489.0,Berlin,09200716
2059798815,52.48796,13.35672,Yoga in der Schwangerschaft Frauke Stadali,Belziger Straße 7,10823.0,Berlin,07200409
2082268403,52.50630,13.30710,Fitness First,,,,04300623
2116638898,52.51156,13.32117,Kieser Training,,,,04300622
2149937826,52.46968,13.37436,McFit,Schöneberger Straße 12-15,12103.0,Berlin,07400823
2158310119,52.55082,13.40903,Abnehmen im Liegen,Schivelbeiner Straße 35,10439.0,Berlin,03601141
2187588493,52.51193,13.30491,Holmes Place,Wilmersdorfer Straße 38,10585.0,Berlin,04300621
2306175948,52.52488,13.34569,McFit,Alt-Moabit 96D,10559.0,Berlin,01200626
2334538079,52.50003,13.31013,Three Boons Yoga,,10707.0,Berlin,04501043
2427830701,52.46392,13.49833,McFit,,,,09200613
2445179072,52.49534,13.42014,JOHN REED Fitness,Kottbusser Damm 1,10967.0,Berlin,02200213
2445856559,52.48304,13.52546,EMSLounge,,,,11501339
2449154365,52.53605,13.27578,Sport & Therapiezentrum,,,,05300841
2477046562,52.47746,13.42429,Tagtigall,Herrfurthstraße 6a,12049.0,Berlin,08100102
2489837401,52.54719,13.40942,Mindful Life Berlin,Gleimstraße 19,10437.0,Berlin,03601142
2619903725,52.39060,13.09741,Sporteve Potsdam Frauenfitness,Kopernikusstraße 12,14482.0,Potsdam,
2690994059,52.59669,13.35522,Crunchfit,Wilhelmsruher Damm 128,13439.0,Berlin,12601235
2764574468,52.52831,13.40952,Rocycle Berlin Mitte,Linienstraße 41,10119.0,Berlin,01100310
2821190540,52.45500,13.42901,Venice Sporting Club,Tempelhofer Weg 44,12347.0,Berlin,08200624
2840752454,52.45696,13.62442,Localfit,Fürstenwalder Damm 479,12587.0,Berlin,09501736
