id,lat,lon,name,street,zip_code,city,planning_area_id
4308868168,52.50984,13.43025,YAAM,An der Schillingbrücke 3,10243.0,Berlin,02400623
4918149344,52.53947,13.57734,Warung Bali,,,,10100316
8019483080,52.52369,13.36907,Foodfactory,,,,01200628
9592974397,52.53644,13.57640,,,,,10100316
10050980178,52.36658,13.50556,LH Lounge B20,,,,
10922260039,52.51831,13.41573,,,,,01100311
11108024845,52.63043,13.73739,,,,,
11539826178,52.41156,13.30550,Mensa OSZ,,,,06200420
11890993822,52.53189,13.41199,Markthalle Pfefferberg,Schönhauser Allee 176,10119.0,Berlin,03701554
12802906550,52.51000,13.37278,Kerb Food Hall,,,,01100102
