id,points,inhabitants,_100k_inhabitants
011001,7,16293,0.16293
011002,1,13637,0.13637
011003,12,62233,0.62233
011004,6,32384,0.32384
012005,3,46905,0.46905
012006,4,43624,0.43624
013007,3,38744,0.38744
013008,3,40026,0.40026
014009,1,46542,0.46542
014010,5,56616,0.56616
021001,2,40981,0.40981
022002,22,64657,0.64657
023003,6,19454,0.19454
023004,5,26326,0.26326
024005,1,26010,0.2601
024006,6,27252,0.27252
025007,5,31174,0.31174
025008,11,56770,0.5677
031001,1,17674,0.17674
032002,2,30231,0.30231
033004,2,20185,0.20185
034007,4,39348,0.39348
034008,2,37120,0.3712
035009,4,41559,0.41559
036011,7,27973,0.27973
036012,3,28115,0.28115
036013,6,22853,0.22853
036014,1,30041,0.30041
037015,8,27309,0.27309
037016,5,33591,0.33591
042003,1,27965,0.27965
043004,4,42997,0.42997
043006,5,50836,0.50836
044007,1,19829,0.19829
044008,2,34447,0.34447
045009,2,28316,0.28316
045010,5,40669,0.40669
045011,6,49498,0.49498
051001,1,29637,0.29637
051003,2,41028,0.41028
053007,1,20008,0.20008
053008,1,13438,0.13438
054009,2,20078,0.20078
061001,4,22146,0.22146
061002,5,54101,0.54101
062003,3,44698,0.44698
062004,4,35974,0.35974
063005,3,34282,0.34282
063006,4,49471,0.49471
064008,3,42708,0.42708
071001,5,26387,0.26387
071002,2,23957,0.23957
072003,2,21247,0.21247
072004,7,31676,0.31676
073005,4,25939,0.25939
073006,2,21462,0.21462
074007,1,19307,0.19307
074008,1,32691,0.32691
074009,1,15380,0.1538
075011,1,21059,0.21059
076012,2,17997,0.17997
076013,1,14362,0.14362
076014,1,21257,0.21257
076015,2,31533,0.31533
081001,5,33049,0.33049
081002,3,37581,0.37581
081003,5,37805,0.37805
081004,4,38919,0.38919
082007,1,23196,0.23196
083010,1,18497,0.18497
084012,2,44165,0.44165
091001,5,13453,0.13453
091003,1,19404,0.19404
091004,1,21636,0.21636
092005,2,25664,0.25664
092006,1,14508,0.14508
093010,1,15695,0.15695
093011,3,8376,0.08376
094014,1,12042,0.12042
094015,3,7494,0.07494
095017,3,19036,0.19036
095018,1,11138,0.11138
101002,1,52190,0.5219
101003,1,42246,0.42246
102004,1,44060,0.4406
102005,1,23435,0.23435
102006,1,26017,0.26017
104008,1,19683,0.19683
104009,1,30353,0.30353
111001,1,6451,0.06451
111003,3,28157,0.28157
112005,2,35756,0.35756
113007,2,34329,0.34329
114009,3,35831,0.35831
114011,1,28351,0.28351
115013,2,31923,0.31923
121001,2,28760,0.2876
121002,1,28322,0.28322
122003,2,28242,0.28242
122005,5,11322,0.11322
124006,1,24332,0.24332
124007,6,32978,0.32978
125009,3,32190,0.3219
